id,level,region,tokens,cka_paired,cka_donor_mean,delta_cka,energy_corr_paired,energy_corr_donor_mean,delta_energy_corr
010010,P3,all,5120,0.2631288468837738,0.08863594383001328,0.17449290305376053,0.5106279599422092,0.17012690094730964,0.3405010589948996
010010,P3,fg,526,0.6613377332687378,0.1317385658621788,0.529599167406559,0.5074144174184054,0.14027778957460824,0.3671366278437972
010010,P3,bg,4594,0.2168143391609192,0.10631072521209717,0.11050361394882202,0.37728956142610137,0.2135994335366731,0.16369012788942827
010010,P4,all,1280,0.29858317971229553,0.07782741412520408,0.22075576558709145,0.5423909486182715,0.055247302407383445,0.48714364621088807
010010,P4,fg,129,0.7966462969779968,0.13144874721765518,0.6651975497603416,0.8093238809232308,0.05706159366023119,0.7522622872629996
010010,P4,bg,1151,0.1908593326807022,0.0980270192027092,0.092832313477993,0.2155732170377122,0.0798757740514238,0.13569744298628839
010010,P5,all,320,0.5837832689285278,0.5854296684265137,-0.0016463994979858398,0.18205574796944707,0.24930382119161268,-0.06724807322216561
010010,P5,fg,34,0.7264916896820068,0.6779507398605347,0.04854094982147217,0.496199745613634,0.524033853728384,-0.027834108114749956
010010,P5,bg,286,0.5576045513153076,0.5638425469398498,-0.006237995624542192,0.07819804772835985,0.14554955137117076,-0.06735150364281091
010011,P3,all,5120,0.19386878609657288,0.09427003562450409,0.09959875047206879,0.3075167939474118,0.12383026676920043,0.18368652717821138
010011,P3,fg,379,0.4909648895263672,0.16798724830150605,0.32297764122486117,0.20147002569904285,-0.025250995078659445,0.2267210207777023
010011,P3,bg,4741,0.19501616060733795,0.11035303622484208,0.08466312438249587,0.28456084223395955,0.14777170257670022,0.13678913965725933
010011,P4,all,1280,0.14890706539154053,0.08914647996425629,0.05976058542728424,0.13010109102144893,0.017597850663798615,0.11250324035765032
010011,P4,fg,100,0.6540465354919434,0.15846559703350066,0.4955809384584427,0.5582345821445229,-0.0609321511725963,0.6191667333171192
010011,P4,bg,1180,0.1325451135635376,0.1044981062412262,0.0280470073223114,0.02310567903019379,0.035826051452173824,-0.012720372421980035
010011,P5,all,320,0.5787429809570312,0.5719595313072204,0.006783449649810813,0.28901709356551386,0.3026029209490656,-0.01358582738355174
010011,P5,fg,26,0.3920348584651947,0.38906627893447876,0.0029685795307159424,-0.42849243021755634,-0.49113752989897064,0.0626450996814143
010011,P5,bg,294,0.6038116216659546,0.606637465953827,-0.002825844287872359,0.33006465071363356,0.3530101225984484,-0.022945471884814828
010015,P3,all,5120,0.1271064132452011,0.11415466219186783,0.01295175105333328,0.1568710461874228,0.232140164465451,-0.07526911827802818
010015,P3,fg,105,0.5860501527786255,0.2889259994029999,0.2971241533756256,0.21145872446953373,0.009099178801845468,0.20235954566768827
010015,P3,bg,5015,0.12705785036087036,0.11971536725759506,0.007342483103275302,0.14320777335860002,0.24005865194846104,-0.09685087858986102
010015,P4,all,1280,0.08568897843360901,0.1294545277953148,-0.04376554936170579,-0.053426706260352695,0.07963103316005979,-0.1330577394204125
010015,P4,fg,24,0.8893349170684814,0.4579603910446167,0.4313745260238647,0.9296937314943543,-0.09561509138514428,1.0253088228794986
010015,P4,bg,1256,0.08437471091747284,0.13417965471744536,-0.04980494379997252,-0.07124558152639374,0.08418867651959634,-0.1554342580459901
010015,P5,all,320,0.6415456533432007,0.6397971510887146,0.001748502254486084,0.4020833349090239,0.3793361739236317,0.0227471609853922
010015,P5,fg,8,0.626761794090271,0.5856728732585907,0.04108892083168025,-0.36704087149537695,0.07675738223352205,-0.44379825372889903
010015,P5,bg,312,0.6393060684204102,0.6377947688102722,0.0015112996101379617,0.40350918648241907,0.38100531560954676,0.02250387087287231
010021,P3,all,5120,0.1546453833580017,0.10804902017116547,0.04659636318683624,0.26776488305160023,0.1615144108051672,0.10625047224643303
010021,P3,fg,168,0.6600281596183777,0.34344977140426636,0.31657838821411133,0.45778898525455386,0.09615838981839009,0.36163059543616377
010021,P3,bg,4952,0.14792262017726898,0.11442265957593918,0.0334999606013298,0.17427189037535554,0.15683087462379092,0.01744101575156462
010021,P4,all,1280,0.10718788206577301,0.13542662262916566,-0.02823874056339265,0.0049294458396974715,0.061860148383331294,-0.056930702543633825
010021,P4,fg,45,0.8229362964630127,0.29610750675201414,0.5268287897109986,0.7283668660948562,-0.21081387622164577,0.939180742316502
010021,P4,bg,1235,0.10679648816585541,0.153462016582489,-0.0466655284166336,-0.11237302908586169,0.09202823341978573,-0.20440126250564744
010021,P5,all,320,0.5873192548751831,0.5858878850936889,0.0014313697814941628,0.18817936964359405,0.1789609467759372,0.00921842286765684
010021,P5,fg,11,0.6088240146636963,0.5542735695838928,0.054550445079803445,0.44916129363893265,0.03377157106589015,0.4153897225730425
010021,P5,bg,309,0.5977315306663513,0.6008089900016784,-0.003077459335327104,0.17925000234804866,0.18243863078989148,-0.0031886284418428112
010047,P3,all,5120,0.16657058894634247,0.08540249317884445,0.08116809576749802,0.29303978037192213,0.15680087765102604,0.1362389027208961
010047,P3,fg,262,0.6623105406761169,0.19558652341365815,0.4667240172624588,0.4141791380902698,0.04413932510459317,0.3700398129856766
010047,P3,bg,4858,0.15390561521053314,0.09597095549106598,0.057934659719467166,0.18907607221697817,0.17451378667764939,0.014562285539328784
010047,P4,all,1280,0.10159622132778168,0.09745460748672485,0.004141613841056824,0.12584027560572897,0.0992755701937896,0.026564705411939366
010047,P4,fg,81,0.8147163987159729,0.2515881031751633,0.5631282955408097,0.7556614641723663,0.07059222704832424,0.6850692371240421
010047,P4,bg,1199,0.08041169494390488,0.10574227869510651,-0.025330583751201632,-0.041383137322565586,0.09780541384594318,-0.13918855116850876
010047,P5,all,320,0.5544655323028564,0.5754855513572693,-0.021020019054412864,0.2873534447639806,0.31906954390104225,-0.03171609913706164
010047,P5,fg,20,0.698247492313385,0.6188219428062439,0.07942554950714109,0.67080019629608,0.3694144545859548,0.3013857417101252
010047,P5,bg,300,0.5572062134742737,0.5813513994216919,-0.024145185947418213,0.26688917557157177,0.32067062617160785,-0.053781450600036085
010054,P3,all,5120,0.1597268134355545,0.10338913202285767,0.056337681412696836,0.13487403307093038,0.15061910541393037,-0.01574507234299999
010054,P3,fg,163,0.648298978805542,0.25457156002521514,0.39372741878032685,0.6945176777299067,0.05209662353230391,0.6424210541976028
010054,P3,bg,4957,0.16219483315944672,0.11003949791193009,0.05215533524751663,0.10145467327574692,0.156613557545735,-0.05515888426998808
010054,P4,all,1280,0.10660780221223831,0.11404339522123337,-0.007435593008995059,-0.05234322228726131,0.022206150074605097,-0.0745493723618664
010054,P4,fg,39,0.7234129309654236,0.32309613525867464,0.40031679570674894,0.7330644048280353,0.029831837259522976,0.7032325675685123
010054,P4,bg,1241,0.106169193983078,0.12161963135004043,-0.01545043736696243,-0.1056310855366161,0.024370171902024805,-0.1300012574386409
010054,P5,all,320,0.5719848275184631,0.6104091525077819,-0.0384243249893188,0.32474252914092266,0.3045156602043839,0.020226868936538744
010054,P5,fg,12,0.5407096147537231,0.5326863408088685,0.008023273944854692,-0.10659235127421493,0.14023429057641637,-0.2468266418506313
010054,P5,bg,308,0.5685692429542542,0.6065378427505493,-0.03796859979629519,0.32683871619989835,0.3054075950117838,0.021431121188114577
010062,P3,all,5120,0.2797964811325073,0.10322120115160942,0.1765752799808979,0.48442132109044606,0.17937622608836637,0.30504509500207966
010062,P3,fg,441,0.5957000851631165,0.13554010391235352,0.46015998125076296,0.24983698725996392,-0.04354644846928897,0.2933834357292529
010062,P3,bg,4679,0.2714349627494812,0.12298053205013275,0.14845443069934844,0.4371239403511261,0.20192146302486647,0.23520247732625965
010062,P4,all,1280,0.3360518217086792,0.1088088445365429,0.22724297717213632,0.5620400334806354,0.09296961200949107,0.4690704214711443
010062,P4,fg,103,0.8267813920974731,0.1377873256802559,0.6889940664172173,0.821062452069516,0.15189659558361335,0.6691658564859027
010062,P4,bg,1177,0.2784157991409302,0.13588590398430825,0.14252989515662193,0.3011605690030175,0.06495514799621013,0.2362054210068074
010062,P5,all,320,0.6088932752609253,0.5392424166202545,0.06965085864067078,0.26358942504047334,0.21290664082682484,0.050682784213648496
010062,P5,fg,19,0.5117329955101013,0.4813645750284195,0.030368420481681813,-0.06355116544857772,0.06238929297992174,-0.12594045842849946
010062,P5,bg,301,0.6312121748924255,0.5656559288501739,0.06555624604225163,0.33090999446011615,0.2576432165446877,0.07326677791542846
010071,P3,all,5120,0.19045434892177582,0.09996845573186874,0.09048589318990707,0.27855690759918966,0.17127746147458298,0.10727944612460669
010071,P3,fg,312,0.6462759971618652,0.2883319020271301,0.35794409513473513,0.4325574223710837,-0.03090415798128119,0.4634615803523649
010071,P3,bg,4808,0.18324629962444305,0.10202496647834777,0.08122133314609528,0.20349219574864025,0.18973053818802396,0.013761657560616286
010071,P4,all,1280,0.13541588187217712,0.12578225284814834,0.009633629024028784,0.18276700735281726,0.1297268163244105,0.053040191028406763
010071,P4,fg,69,0.8408759236335754,0.25895863175392153,0.5819172918796539,0.8550258331145532,-0.08668169362097389,0.941707526735527
010071,P4,bg,1211,0.11965110898017883,0.13679154217243195,-0.017140433192253113,-0.009672357484371225,0.1578547528850222,-0.16752711036939344
010071,P5,all,320,0.578171968460083,0.5723647952079773,0.0058071732521056685,0.25520151786628315,0.26039714961006377,-0.0051956317437806265
010071,P5,fg,17,0.6369864344596863,0.5694090723991394,0.06757736206054688,0.5667939164932942,0.5816461587647563,-0.01485224227146209
010071,P5,bg,303,0.5653193593025208,0.5581515312194825,0.007167828083038286,0.18864900589958097,0.18380599074462678,0.0048430151549541944
010076,P3,all,5120,0.12830421328544617,0.0924433022737503,0.03586091101169586,0.2891138196589776,0.15812217034170076,0.13099164931727683
010076,P3,fg,395,0.49681228399276733,0.17579596042633056,0.3210163235664368,0.418591345444783,0.09515002584358065,0.32344131960120237
010076,P3,bg,4725,0.11732884496450424,0.10764260590076447,0.009686239063739777,0.20104423938044289,0.1416040608593224,0.05944017852112049
010076,P4,all,1280,0.11748155951499939,0.0753954604268074,0.04208609908819198,0.15570069442907428,0.09155428342633073,0.06414641100274354
010076,P4,fg,106,0.6251700520515442,0.23165786564350127,0.3935121864080429,0.6630241807894721,0.2704294341913384,0.3925947465981337
010076,P4,bg,1174,0.09857393056154251,0.08795731514692307,0.010616615414619446,-0.007365280071023552,0.03746660009457801,-0.04483188016560156
010076,P5,all,320,0.45977920293807983,0.42962718605995176,0.030152016878128074,0.1067903680201819,0.15125489635408992,-0.04446452833390803
010076,P5,fg,24,0.20761577785015106,0.1944838911294937,0.013131886720657349,-0.23242001819581173,-0.2731559469402933,0.04073592874448159
010076,P5,bg,296,0.4892185926437378,0.4539297878742218,0.03528880476951601,0.13327524364332025,0.172259887812762,-0.03898464416944175
010088,P3,all,5120,0.28879350423812866,0.08128408789634704,0.2075094163417816,0.48325915546348996,0.1152121352154564,0.3680470202480336
010088,P3,fg,632,0.5881493091583252,0.11432672142982483,0.4738225877285004,0.3816292709505479,-0.10168605822120211,0.48331532917175
010088,P3,bg,4488,0.2631377875804901,0.10947147011756897,0.15366631746292114,0.3770928274452989,0.16435193447737037,0.2127408929679285
010088,P4,all,1280,0.4015316069126129,0.0767984077334404,0.32473319917917254,0.6102855675769452,0.033225598983528816,0.5770599685934164
010088,P4,fg,164,0.7199310660362244,0.11290579438209533,0.607025271654129,0.7792069393046186,-0.08707064255196659,0.8662775818565852
010088,P4,bg,1116,0.3578002154827118,0.10847698599100113,0.24932322949171065,0.35787150127993633,0.03969367948294072,0.3181778217969956
010088,P5,all,320,0.650116503238678,0.5918310284614563,0.05828547477722168,0.297627876705465,0.29761413955463756,1.3737150827419775e-05
