id,rgb_gt,ir_gt,class_id,iou,center_shift_norm,center_shift_over_rgb_sqrt_area,dx_norm,dy_norm,rgb_hit,ir_hit,rgb_pred_iou,ir_pred_iou,rgb_wrong_class_overlap,ir_wrong_class_overlap,ir_minus_rgb_loc_iou,rgb_luminance
070176,6,6,0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.4138560408501035,False,False,0.4138560408501035,51.21564483642578
070188,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.805166991509462,0.8323755929793554,False,False,0.027208601469893345,65.5993881225586
070188,1,1,0,1.0,0.0,0.0,0.0,0.0,False,True,0.16607965639139394,0.7665481873249972,False,False,0.6004685309336033,65.5993881225586
070188,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6911278837750188,0.8376996366103738,False,False,0.14657175283535506,65.5993881225586
070188,3,3,0,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.667496821766131,False,False,0.667496821766131,65.5993881225586
070188,4,4,0,1.0,0.0,0.0,0.0,0.0,False,False,0.025170530447711816,0.02196793714067657,False,False,-0.0032025933070352446,65.5993881225586
070188,5,5,0,1.0,0.0,0.0,0.0,0.0,False,False,0.017457760844653544,0.047590323368263576,False,False,0.030132562523610032,65.5993881225586
070193,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8494580428848704,0.9480753294680001,False,False,0.09861728658312974,65.72627258300781
070193,1,1,0,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.7334582893882042,False,False,0.7334582893882042,65.72627258300781
070193,2,2,0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,65.72627258300781
070198,0,0,0,1.0,0.0,0.0,0.0,0.0,False,True,0.41572883233954727,0.9717876701084307,False,False,0.5560588377688834,66.46798706054688
070199,0,0,0,1.0,0.0,0.0,0.0,0.0,False,True,0.4547457326543035,0.8212537948415529,False,False,0.3665080621872494,66.74595642089844
070214,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7342647100746155,0.9892367288324107,False,False,0.2549720187577952,61.069679260253906
070214,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6628095372696992,0.9353527351783093,False,False,0.27254319790861015,61.069679260253906
070214,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7492605003397044,0.8949615197824247,False,False,0.1457010194427203,61.069679260253906
070222,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.5259570478206133,0.7827086159599712,False,False,0.25675156813935796,65.59272003173828
070222,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7924881767619635,0.9729086792312349,False,False,0.18042050246927144,65.59272003173828
070222,2,2,0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,65.59272003173828
070279,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.5767411722921455,0.9363935285232886,False,False,0.3596523562311431,65.70074462890625
070279,1,1,0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,65.70074462890625
070279,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6135431599290672,0.9279053569654664,False,False,0.3143621970363992,65.70074462890625
070285,0,0,0,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.943768616266503,False,False,0.943768616266503,66.8967056274414
070285,1,1,0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,66.8967056274414
070299,0,0,0,1.0,0.0,0.0,0.0,0.0,False,False,0.3814205482173664,0.4537386615013396,False,False,0.07231811328397325,56.522918701171875
070299,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.9115322716376196,0.7530317178984469,False,False,-0.1585005537391727,56.522918701171875
070299,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7660065312707774,0.864689409673005,False,False,0.09868287840222756,56.522918701171875
070302,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7840526716628231,0.9103378074558988,False,False,0.12628513579307565,51.89748764038086
070302,1,1,0,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.8477420632635173,False,False,0.8477420632635173,51.89748764038086
070302,2,2,0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,51.89748764038086
070363,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.9395895214990978,0.8921901880228252,False,False,-0.047399333476272565,49.6164436340332
070363,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.779950717663393,0.8315210014676812,False,False,0.051570283804288186,49.6164436340332
070363,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8335076212981906,0.7791394768987528,False,False,-0.05436814439943771,49.6164436340332
070363,3,3,0,1.0,0.0,0.0,0.0,0.0,False,False,0.08867617000356322,0.14649058355226138,False,False,0.057814413548698165,49.6164436340332
070363,4,4,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7171849632184277,0.9264107775520724,False,False,0.20922581433364462,49.6164436340332
070363,5,5,0,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.9057739200532068,False,False,0.9057739200532068,49.6164436340332
070363,6,6,0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.1786817413675481,False,False,0.1786817413675481,49.6164436340332
070369,0,0,0,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.5196739784247585,False,False,0.5196739784247585,59.72333908081055
070369,1,1,0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,59.72333908081055
070369,2,2,0,1.0,0.0,0.0,0.0,0.0,False,True,0.1797673065264235,0.9131437083700362,False,False,0.7333764018436127,59.72333908081055
070369,3,3,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8962621471809983,0.9528953336003795,False,False,0.0566331864193812,59.72333908081055
070369,4,4,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6090758418873549,0.8702590626591454,False,False,0.26118322077179057,59.72333908081055
070373,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6422220459951687,0.9313486076301091,False,False,0.2891265616349403,67.44271087646484
070373,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.5000669747243665,0.8886955453874016,False,False,0.38862857066303513,67.44271087646484
070373,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7716056498086244,0.8623512360244819,False,False,0.09074558621585749,67.44271087646484
070373,3,3,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7449961462135756,0.8735579289872745,False,False,0.1285617827736989,67.44271087646484
070373,4,4,0,1.0,0.0,0.0,0.0,0.0,False,True,0.10139482776246662,0.559128500104829,False,False,0.45773367234236234,67.44271087646484
070408,0,0,0,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.7742675550171559,False,False,0.7742675550171559,62.97265625
070417,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6475755354506709,0.811736295839998,False,False,0.16416076038932703,68.30415344238281
070417,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7508968754059551,0.9251741685712769,False,False,0.1742772931653218,68.30415344238281
070437,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6387839976272845,0.9434020047678131,False,False,0.30461800714052856,67.42170715332031
070441,0,0,0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,65.96007537841797
070441,1,1,0,1.0,0.0,0.0,0.0,0.0,False,False,0.37443013338234404,0.4235926326000225,False,False,0.04916249921767846,65.96007537841797
070441,2,2,0,1.0,0.0,0.0,0.0,0.0,False,False,0.07410416888818154,0.01543700831275511,False,False,-0.05866716057542643,65.96007537841797
070441,3,3,0,1.0,0.0,0.0,0.0,0.0,False,False,0.22894892316982465,0.27939432207530046,False,False,0.05044539890547581,65.96007537841797
070447,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.5780674675550215,0.8128628545623611,False,False,0.2347953870073396,64.98526000976562
070447,1,1,0,1.0,0.0,0.0,0.0,0.0,False,True,0.46211377388635894,0.8317762758393542,False,False,0.36966250195299527,64.98526000976562
