read_at,run,epoch_entered,completed_epochs,seconds,batches,updates,recent_epoch_seconds,remaining_training_hours,source
2026-09-07T20:54:47.156308+08:00,c_same_modal,55,54,45021.78041219711,30935,15880,987.8000000000029,40.06077777777789,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_205447.json
2026-09-07T21:29:10.755903+08:00,C1_s42,20,19,21564.632420301437,11175,6003,1094.5,55.02902777777778,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_212910.json
2026-09-07T21:29:10.755903+08:00,C1_s0,20,19,21517.488256454468,10875,5852,1114.7000000000007,56.044638888888926,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_212910.json
2026-09-07T21:29:10.755903+08:00,C1_s123,20,19,21484.843900442123,11035,5933,1102.7999999999993,55.4463333333333,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_212910.json
2026-09-07T21:29:10.755903+08:00,c_shuffled,66,65,65397.60387611389,37035,18929,2607.399999999994,97.77749999999978,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_212910.json
2026-09-07T21:29:10.755903+08:00,c_same_modal,58,57,47076.82100343704,32115,16470,987.8000000000029,39.23761111111123,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_212910.json
2026-09-07T21:55:59.385836+08:00,C1_s42,22,21,23145.766959428787,11995,6413,1087.3999999999978,54.067944444444336,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_215559.json
2026-09-07T21:55:59.385836+08:00,C1_s0,21,20,23113.40187549591,11675,6252,1114.4000000000015,55.72000000000007,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_215559.json
2026-09-07T21:55:59.385836+08:00,C1_s123,22,21,23086.652818918228,11855,6343,1102.2999999999993,54.808805555555516,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_215559.json
2026-09-07T21:55:59.385836+08:00,c_shuffled,69,68,67011.44451737404,38635,19728,574.5,21.065,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_215559.json
2026-09-07T21:55:59.385836+08:00,c_same_modal,59,58,48692.962587833405,33035,16930,986.2999999999956,38.90405555555539,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_215559.json
2026-09-07T22:08:57.478690+08:00,C1_s42,22,21,23924.159928798676,12355,6593,1087.3999999999978,54.067944444444336,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_220857.json
2026-09-07T22:08:57.478690+08:00,C1_s0,22,21,23883.42607665062,12015,6422,1114.4000000000015,55.41044444444452,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_220857.json
2026-09-07T22:08:57.478690+08:00,C1_s123,22,21,23887.69329214096,12235,6533,1102.2999999999993,54.808805555555516,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_220857.json
2026-09-07T22:08:57.478690+08:00,c_shuffled,69,69,67617.86226153374,38835,19828,574.5,20.905416666666667,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_220857.json
2026-09-07T22:08:57.478690+08:00,c_same_modal,60,59,49463.61200618744,33455,17140,986.2999999999956,38.63008333333316,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_220857.json
2026-09-07T23:09:33.439977+08:00,C1_s42,25,24,27582.66374397278,14055,7443,1176.800000000003,57.532444444444586,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_230933.json
