epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_lld,train/kd_ccl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kd_lld,val/kd_ccl,lr/pg0,lr/pg1,lr/pg2
1,368.281,1.40189,1.62979,1.27158,3e-05,0.6906,0,0,0,0,0,0,0,0,0,0.00332741,0.00332741,0.0700533
2,717.492,1.32539,1.04303,1.2086,3e-05,0.69051,0,0,0,0,0,0,0,0,0,0.00662778,0.00662778,0.0400203
3,1089.27,1.33349,1.00775,1.20055,3e-05,0.69094,0,0,0,0,0,0,0,0,0,0.00989514,0.00989514,0.00995434
4,1436.84,1.33001,0.98207,1.20727,3e-05,0.69074,0,0,0,0,0,0,0,0,0,0.0098515,0.0098515,0.0098515
5,1786.57,1.29473,0.90433,1.18325,3e-05,0.6909,0,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
6,2102.11,1.26717,0.85659,1.16654,3e-05,0.69074,0,0,0,0,0,0,0,0,0,0.0097525,0.0097525,0.0097525
7,2454.13,1.24692,0.82749,1.15585,3e-05,0.6907,0,0,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
8,2794.98,1.23723,0.8022,1.14873,3e-05,0.69055,0,0,0,0,0,0,0,0,0,0.0096535,0.0096535,0.0096535
9,3148.26,1.2256,0.78027,1.14584,3e-05,0.69063,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
10,3724.06,1.21314,0.7691,1.14007,2e-05,0.69113,0,0,0,0,0,0,0,0,0,0.0095545,0.0095545,0.0095545
11,4026,1.20657,0.7552,1.13393,2e-05,0.69105,0,0,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
12,4303.02,1.20017,0.73822,1.12701,2e-05,0.69063,0,0,0,0,0,0,0,0,0,0.0094555,0.0094555,0.0094555
13,4602.34,1.19575,0.73755,1.12488,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
14,4832.85,1.18578,0.72552,1.12087,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.0093565,0.0093565,0.0093565
15,5069.06,1.17904,0.71415,1.11957,2e-05,0.69105,0,0,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
16,5306.74,1.17537,0.7078,1.11596,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.0092575,0.0092575,0.0092575
17,5568.63,1.16774,0.69999,1.11248,2e-05,0.69101,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
18,5808.56,1.16555,0.69637,1.10921,2e-05,0.69086,0,0,0,0,0,0,0,0,0,0.0091585,0.0091585,0.0091585
19,6039.94,1.16164,0.69011,1.11143,2e-05,0.69063,0,0,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
20,6271.15,1.15828,0.68429,1.10784,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.0090595,0.0090595,0.0090595
21,6500.86,1.15571,0.68061,1.10658,2e-05,0.69051,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
22,6732.09,1.15051,0.67216,1.10443,2e-05,0.69051,0,0,0,0,0,0,0,0,0,0.0089605,0.0089605,0.0089605
23,6962.92,1.14715,0.66983,1.10052,2e-05,0.69105,0,0,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
24,7192.79,1.14499,0.668,1.0994,2e-05,0.69009,0,0,0,0,0,0,0,0,0,0.0088615,0.0088615,0.0088615
25,7421.34,1.14142,0.66409,1.09707,2e-05,0.69051,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
26,7649.47,1.13999,0.65981,1.09731,2e-05,0.69063,0,0,0,0,0,0,0,0,0,0.0087625,0.0087625,0.0087625
27,7879.2,1.13382,0.65532,1.09645,2e-05,0.69032,0,0,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
28,8107.38,1.13331,0.65226,1.0926,2e-05,0.6907,0,0,0,0,0,0,0,0,0,0.0086635,0.0086635,0.0086635
29,8334.2,1.12997,0.64883,1.09483,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
30,8560.01,1.13081,0.64489,1.09195,2e-05,0.69024,0,0,0,0,0,0,0,0,0,0.0085645,0.0085645,0.0085645
31,8780.73,1.12722,0.64501,1.09091,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
32,9007.9,1.12576,0.63967,1.08998,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.0084655,0.0084655,0.0084655
33,9363.22,1.12268,0.64073,1.08876,2e-05,0.69039,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
34,9719.54,1.11966,0.63715,1.08505,2e-05,0.69028,0,0,0,0,0,0,0,0,0,0.0083665,0.0083665,0.0083665
35,9942.9,1.11915,0.63444,1.08767,2e-05,0.69066,0,0,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
36,10177.9,1.11703,0.63264,1.08557,2e-05,0.69032,0,0,0,0,0,0,0,0,0,0.0082675,0.0082675,0.0082675
37,10461.2,1.11691,0.63219,1.08637,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
38,10685,1.11197,0.62676,1.08237,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.0081685,0.0081685,0.0081685
39,10915.3,1.11378,0.62587,1.08107,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
40,11186.9,1.11345,0.62414,1.08586,2e-05,0.69074,0,0,0,0,0,0,0,0,0,0.0080695,0.0080695,0.0080695
41,11446.2,1.10984,0.62223,1.08118,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
42,11712,1.10827,0.62126,1.08024,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.0079705,0.0079705,0.0079705
43,11943.8,1.10616,0.61786,1.07741,2e-05,0.69039,0,0,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
44,12173.1,1.10581,0.61483,1.07984,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.0078715,0.0078715,0.0078715
45,12403.8,1.10255,0.61375,1.07707,2e-05,0.69036,0,0,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
46,12640.6,1.10246,0.61267,1.0793,2e-05,0.69109,0,0,0,0,0,0,0,0,0,0.0077725,0.0077725,0.0077725
47,12872,1.09841,0.61059,1.07773,2e-05,0.69051,0,0,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
48,13107.3,1.09768,0.61004,1.07527,2e-05,0.69085,0,0,0,0,0,0,0,0,0,0.0076735,0.0076735,0.0076735
49,13338.9,1.09981,0.60846,1.07672,2e-05,0.69032,0,0,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
50,13588.3,1.09686,0.60715,1.07358,2e-05,0.6902,0,0,0,0,0,0,0,0,0,0.0075745,0.0075745,0.0075745
51,13827.1,1.09591,0.60506,1.07291,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
52,14045,1.09094,0.60103,1.07482,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.0074755,0.0074755,0.0074755
53,14270.9,1.09501,0.60164,1.07275,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
54,14502.5,1.08908,0.59832,1.07219,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.0073765,0.0073765,0.0073765
55,14736.5,1.09008,0.59634,1.07373,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
56,14955.6,1.08726,0.59674,1.07343,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.0072775,0.0072775,0.0072775
57,15174,1.08921,0.59608,1.07189,2e-05,0.69043,0,0,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
58,15399.5,1.0865,0.59313,1.06891,2e-05,0.69043,0,0,0,0,0,0,0,0,0,0.0071785,0.0071785,0.0071785
59,15624.5,1.08641,0.59347,1.06932,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
60,15861.5,1.08584,0.59286,1.06796,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.0070795,0.0070795,0.0070795
61,16090.6,1.08273,0.59098,1.0694,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
62,16316.7,1.08303,0.58971,1.06764,2e-05,0.69112,0,0,0,0,0,0,0,0,0,0.0069805,0.0069805,0.0069805
63,16541.7,1.082,0.5888,1.06436,2e-05,0.69043,0,0,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
64,16779.5,1.07966,0.58686,1.068,2e-05,0.69074,0,0,0,0,0,0,0,0,0,0.0068815,0.0068815,0.0068815
65,17005.5,1.07897,0.58653,1.06682,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
66,17233.4,1.07992,0.5865,1.06696,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.0067825,0.0067825,0.0067825
67,17455,1.07586,0.58135,1.06482,2e-05,0.69093,0,0,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
68,17676.7,1.07771,0.58459,1.0652,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.0066835,0.0066835,0.0066835
69,17900.5,1.07389,0.58142,1.06221,2e-05,0.69069,0,0,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
70,18121.6,1.07362,0.58082,1.06283,2e-05,0.6907,0,0,0,0,0,0,0,0,0,0.0065845,0.0065845,0.0065845
71,18340.1,1.07354,0.5775,1.0622,2e-05,0.69105,0,0,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
72,18557,1.07337,0.57608,1.06234,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.0064855,0.0064855,0.0064855
73,18772.8,1.07133,0.57634,1.06069,2e-05,0.69028,0,0,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
74,18988.9,1.07147,0.57691,1.06211,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.0063865,0.0063865,0.0063865
75,19210.3,1.06816,0.57299,1.05816,2e-05,0.69093,0,0,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
76,19426.6,1.06722,0.57152,1.06203,2e-05,0.69028,0,0,0,0,0,0,0,0,0,0.0062875,0.0062875,0.0062875
77,19643.7,1.06686,0.56967,1.05855,2e-05,0.69136,0,0,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
78,19864.1,1.06393,0.56998,1.05824,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.0061885,0.0061885,0.0061885
79,20083.6,1.06416,0.56816,1.05861,2e-05,0.69028,0,0,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
80,20304.3,1.06273,0.56798,1.06031,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.0060895,0.0060895,0.0060895
81,20526.6,1.06089,0.56767,1.05787,2e-05,0.69101,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
82,20752.5,1.05894,0.56523,1.05832,2e-05,0.69085,0,0,0,0,0,0,0,0,0,0.0059905,0.0059905,0.0059905
83,20972.1,1.06198,0.56589,1.05363,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.005941,0.005941,0.005941
84,21185.9,1.05954,0.56628,1.05761,2e-05,0.69032,0,0,0,0,0,0,0,0,0,0.0058915,0.0058915,0.0058915
85,21401.8,1.05659,0.5627,1.05571,2e-05,0.69074,0,0,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
86,21617.1,1.05541,0.56027,1.05389,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.0057925,0.0057925,0.0057925
87,21832.8,1.05324,0.5595,1.05326,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.005743,0.005743,0.005743
88,22053.4,1.05295,0.55893,1.05151,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.0056935,0.0056935,0.0056935
89,22278.5,1.05477,0.55708,1.05223,2e-05,0.69066,0,0,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
90,22492.3,1.05299,0.55774,1.05278,2e-05,0.69058,0,0,0,0,0,0,0,0,0,0.0055945,0.0055945,0.0055945
91,22686.6,1.05303,0.55758,1.05196,2e-05,0.69074,0,0,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
92,22883.2,1.05257,0.55657,1.05339,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.0054955,0.0054955,0.0054955
93,23083.6,1.05155,0.55636,1.05261,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
94,23280.8,1.0478,0.5545,1.05007,2e-05,0.69074,0,0,0,0,0,0,0,0,0,0.0053965,0.0053965,0.0053965
95,23480.5,1.04742,0.55236,1.04986,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.005347,0.005347,0.005347
96,23676.1,1.04705,0.55079,1.04889,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.0052975,0.0052975,0.0052975
97,23862.2,1.04507,0.55065,1.04858,2e-05,0.69051,0,0,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
98,24111.8,1.043,0.54692,1.0465,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.0051985,0.0051985,0.0051985
99,24361.5,1.04123,0.54702,1.04708,2e-05,0.69035,0,0,0,0,0,0,0,0,0,0.005149,0.005149,0.005149
100,24607.1,1.04094,0.5455,1.04742,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.0050995,0.0050995,0.0050995
101,24855.2,1.04025,0.54558,1.0448,2e-05,0.69043,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
102,25105.2,1.04209,0.5473,1.04805,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.0050005,0.0050005,0.0050005
103,25361,1.03758,0.54359,1.04758,2e-05,0.69023,0,0,0,0,0,0,0,0,0,0.004951,0.004951,0.004951
104,25624.3,1.03804,0.54178,1.04441,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.0049015,0.0049015,0.0049015
