dataset,batches,unique_natural_images,C_base,C_eligible,C_selected,C_selected_batches,C_selected_images,C_selected_groups,L_base,L_selected,L_selected_batches,L_selected_images,L_selected_groups
llvip,64,2048,5128,4406,2217,64,1317,14,5033,207,62,187,14
dronevehicle,64,2048,28297,15616,7821,64,1317,64,21488,602,63,268,31
