dataset,class_id,class_name,base,eligible,selected,base_fraction_all_base,eligible_fraction_base,selected_fraction_base,selected_fraction_eligible,selected_fraction_all_selected,batches_with_base,batches_with_selected,L_unverified_base,L_unverified_selected
llvip,0,person,5128,4406,2217,1.0,0.859204368174727,0.4323322932917317,0.5031774852473899,1.0,64,64,5033,207
dronevehicle,0,car,24226,13530,6935,0.8561331589921193,0.5584908775695534,0.2862626929744902,0.5125646711012565,0.8867152538038614,64,64,18328,561
dronevehicle,1,freight car,905,370,179,0.031982188924620986,0.4088397790055249,0.19779005524861878,0.4837837837837838,0.022887098836465926,64,51,702,9
dronevehicle,2,truck,1270,593,320,0.04488108280029685,0.46692913385826773,0.25196850393700787,0.5396290050590219,0.040915483953458634,64,59,956,21
dronevehicle,3,bus,1221,822,247,0.04314945047178146,0.6732186732186732,0.2022932022932023,0.3004866180048662,0.03158163917657589,64,46,964,6
dronevehicle,4,van,675,301,140,0.023854118811181397,0.44592592592592595,0.2074074074074074,0.46511627906976744,0.017900524229638153,64,48,538,5
