run,geometry_status,variant,base_count,rgb_gt_count,selected_count,selected_pct_gt,selected_pct_base,teacher_dfl_ce_worse_count,teacher_dfl_ce_worse_pct,dfl_ce_delta_mean,local_logit_cosine_negative_count
drone_train,UNVERIFIED_DIAGNOSTIC,frozen_v1,23511,31931,626,1.9604772791331309,2.6625834715665007,7,1.1182108626198084,-0.47022899604453067,0
drone_train,UNVERIFIED_DIAGNOSTIC,omit_r_reliable,23511,31931,826,2.586827847546272,3.5132491174343925,10,1.2106537530266344,-0.5023399593249938,0
drone_train,UNVERIFIED_DIAGNOSTIC,omit_t_reliable,23511,31931,750,2.348814631549278,3.1899961720045935,9,1.2,-0.5412481214205423,0
drone_train,UNVERIFIED_DIAGNOSTIC,omit_r_iou_cap,23511,31931,4415,13.826688797720085,18.778444132533707,52,1.1778029445073612,-0.22531218372141923,3
drone_train,UNVERIFIED_DIAGNOSTIC,omit_t_rgb_iou,23511,31931,640,2.0043218189220506,2.722130066777253,7,1.09375,-0.46843307837843895,0
drone_train,UNVERIFIED_DIAGNOSTIC,omit_t_own_iou,23511,31931,626,1.9604772791331309,2.6625834715665007,7,1.1182108626198084,-0.47022899604453067,0
drone_train,UNVERIFIED_DIAGNOSTIC,omit_margin,23511,31931,719,2.2517302934452412,3.05814299689507,41,5.702364394993046,-0.41463059816970615,19
drone_train,UNVERIFIED_DIAGNOSTIC,r_iou_cap_0.80,23511,31931,2115,6.623657260968964,8.995789205052954,18,0.851063829787234,-0.3163462895169044,0
drone_train,UNVERIFIED_DIAGNOSTIC,r_iou_cap_0.90,23511,31931,4308,13.491591243619053,18.323338011994384,49,1.137418755803157,-0.22911257020776318,2
drone_train,UNVERIFIED_DIAGNOSTIC,margin_0.00,23511,31931,682,2.1358554382888104,2.9007698524095105,16,2.346041055718475,-0.43943749564833656,4
drone_train,UNVERIFIED_DIAGNOSTIC,teacher_rgb_iou_0.50,23511,31931,640,2.0043218189220506,2.722130066777253,7,1.09375,-0.46843307837843895,0
drone_val,UNVERIFIED_DIAGNOSTIC,frozen_v1,2177,3084,112,3.6316472114137484,5.144694533762058,1,0.8928571428571429,-0.636935238593391,0
drone_val,UNVERIFIED_DIAGNOSTIC,omit_r_reliable,2177,3084,138,4.474708171206226,6.338998621956821,1,0.7246376811594203,-0.6285779832497888,0
drone_val,UNVERIFIED_DIAGNOSTIC,omit_t_reliable,2177,3084,157,5.090791180285343,7.2117593017914565,1,0.6369426751592356,-0.6758586246116906,0
drone_val,UNVERIFIED_DIAGNOSTIC,omit_r_iou_cap,2177,3084,493,15.985732814526589,22.64584290307763,3,0.6085192697768763,-0.33751853544861987,0
drone_val,UNVERIFIED_DIAGNOSTIC,omit_t_rgb_iou,2177,3084,117,3.7937743190661477,5.374368396876435,1,0.8547008547008547,-0.6312746932873359,0
drone_val,UNVERIFIED_DIAGNOSTIC,omit_t_own_iou,2177,3084,112,3.6316472114137484,5.144694533762058,1,0.8928571428571429,-0.636935238593391,0
drone_val,UNVERIFIED_DIAGNOSTIC,omit_margin,2177,3084,141,4.571984435797665,6.476802939825448,16,11.347517730496454,-0.5090838469934802,6
drone_val,UNVERIFIED_DIAGNOSTIC,r_iou_cap_0.80,2177,3084,308,9.987029831387808,14.14790996784566,2,0.6493506493506493,-0.4461922257558092,0
drone_val,UNVERIFIED_DIAGNOSTIC,r_iou_cap_0.90,2177,3084,486,15.75875486381323,22.3242994947175,3,0.6172839506172839,-0.341140997017362,0
drone_val,UNVERIFIED_DIAGNOSTIC,margin_0.00,2177,3084,128,4.150453955901427,5.879650895728066,5,3.90625,-0.5688921415712684,0
drone_val,UNVERIFIED_DIAGNOSTIC,teacher_rgb_iou_0.50,2177,3084,117,3.7937743190661477,5.374368396876435,1,0.8547008547008547,-0.6312746932873359,0
llvip_train,UNVERIFIED_DIAGNOSTIC,frozen_v1,5492,5592,211,3.773247496423462,3.8419519300801164,4,1.8957345971563981,-0.5051969854752599,1
llvip_train,UNVERIFIED_DIAGNOSTIC,omit_r_reliable,5492,5592,228,4.07725321888412,4.151493080844865,4,1.7543859649122806,-0.5185614897493731,1
llvip_train,UNVERIFIED_DIAGNOSTIC,omit_t_reliable,5492,5592,236,4.220314735336195,4.297159504734159,5,2.1186440677966103,-0.5615432706929869,1
llvip_train,UNVERIFIED_DIAGNOSTIC,omit_r_iou_cap,5492,5592,1431,25.590128755364805,26.05608157319738,23,1.607267645003494,-0.17107131850211293,1
llvip_train,UNVERIFIED_DIAGNOSTIC,omit_t_rgb_iou,5492,5592,217,3.880543633762518,3.9512017479970867,4,1.8433179723502304,-0.5033699856375768,1
llvip_train,UNVERIFIED_DIAGNOSTIC,omit_t_own_iou,5492,5592,211,3.773247496423462,3.8419519300801164,4,1.8957345971563981,-0.5051969854752599,1
llvip_train,UNVERIFIED_DIAGNOSTIC,omit_margin,5492,5592,258,4.613733905579399,4.6977421704297155,27,10.465116279069768,-0.41143561310546345,15
llvip_train,UNVERIFIED_DIAGNOSTIC,r_iou_cap_0.80,5492,5592,598,10.69384835479256,10.88856518572469,10,1.6722408026755853,-0.2888040698591283,1
llvip_train,UNVERIFIED_DIAGNOSTIC,r_iou_cap_0.90,5492,5592,1346,24.070100143061516,24.508375819373633,23,1.7087667161961366,-0.17905893977205609,1
llvip_train,UNVERIFIED_DIAGNOSTIC,margin_0.00,5492,5592,240,4.291845493562231,4.369992716678806,13,5.416666666666667,-0.44911626825730006,4
llvip_train,UNVERIFIED_DIAGNOSTIC,teacher_rgb_iou_0.50,5492,5592,217,3.880543633762518,3.9512017479970867,4,1.8433179723502304,-0.5033699856375768,1
llvip_val,UNVERIFIED_DIAGNOSTIC,frozen_v1,559,643,131,20.37325038880249,23.43470483005367,0,0.0,-0.861512980388321,0
llvip_val,UNVERIFIED_DIAGNOSTIC,omit_r_reliable,559,643,144,22.3950233281493,25.760286225402506,0,0.0,-0.8608700881401697,0
llvip_val,UNVERIFIED_DIAGNOSTIC,omit_t_reliable,559,643,149,23.17262830482115,26.65474060822898,0,0.0,-0.9296843087513175,0
llvip_val,UNVERIFIED_DIAGNOSTIC,omit_r_iou_cap,559,643,212,32.97045101088647,37.924865831842574,3,1.4150943396226414,-0.6018161959243271,0
llvip_val,UNVERIFIED_DIAGNOSTIC,omit_t_rgb_iou,559,643,133,20.684292379471227,23.792486583184257,0,0.0,-0.856743720241059,0
llvip_val,UNVERIFIED_DIAGNOSTIC,omit_t_own_iou,559,643,131,20.37325038880249,23.43470483005367,0,0.0,-0.861512980388321,0
llvip_val,UNVERIFIED_DIAGNOSTIC,omit_margin,559,643,151,23.48367029548989,27.012522361359572,12,7.947019867549669,-0.7492690852146275,6
llvip_val,UNVERIFIED_DIAGNOSTIC,r_iou_cap_0.80,559,643,185,28.771384136858476,33.09481216457961,2,1.0810810810810811,-0.6699290114480096,0
llvip_val,UNVERIFIED_DIAGNOSTIC,r_iou_cap_0.90,559,643,211,32.8149300155521,37.74597495527728,3,1.4218009478672986,-0.6043451274458266,0
llvip_val,UNVERIFIED_DIAGNOSTIC,margin_0.00,559,643,140,21.77293934681182,25.044722719141323,3,2.142857142857143,-0.8107966840267181,1
