epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5894,1.55966,2.80023,1.35664,0,0,0,0,0,0,0,0.00328125,0.00328125,0.0704687
2,57.1368,1.45168,1.52258,1.29845,0,0,0,0,0,0,0,0.00579603,0.00579603,0.0396502
3,81.5172,1.45789,1.3341,1.29038,0,0,0,0,0,0,0,0.00748581,0.00748581,0.00800664
4,105.631,1.41415,1.22718,1.26358,0,0,0,0,0,0,0,0.0062875,0.0062875,0.0062875
5,130.337,1.35887,1.14971,1.22188,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
6,155.007,1.31414,1.07344,1.18212,0,0,0,0,0,0,0,0.0038125,0.0038125,0.0038125
7,179.528,1.29902,1.03499,1.17157,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
8,203.751,1.25456,0.9854,1.13766,0.0013375,0.0013375,0.0013375
