row,object_id,split,class,source_group,support,paired,reference_candidate,native_gt_ce,teacher_gt_ce,native_minus_teacher_gt_ce,kl_T2,gradient_cosine
31,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/00213.jpg::gt:14,train,0,100MEDIA,True,True,True,0.5600954823817198,0.5954779023290308,-0.03538241994731098,0.25055285028003804,0.26481312921104
32,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/00213.jpg::gt:15,train,0,100MEDIA,True,True,True,0.48978766090821857,0.4793959840006278,0.010391676907590838,0.03198227404790065,0.35417478403566094
33,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/00213.jpg::gt:16,train,0,100MEDIA,True,True,True,0.550107426106017,0.6603799266483764,-0.11027250054235946,0.15349782001534107,-0.3869236788845516
34,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/00213.jpg::gt:17,train,0,100MEDIA,True,True,True,0.4813750893035351,0.676370898279103,-0.19499580897556784,0.360209031634916,-0.21004495542128948
35,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/00213.jpg::gt:18,train,0,100MEDIA,True,True,True,0.563770588468955,0.6056082172862315,-0.04183762881727656,0.14089290090200604,0.2350050157591306
36,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/00213.jpg::gt:19,train,0,100MEDIA,True,True,True,1.6172173238510736,1.2452829325573231,0.37193439129375067,0.34593775064156146,0.3400411387399075
37,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/00213.jpg::gt:20,train,0,100MEDIA,True,True,True,0.5682920771814635,0.6753606616637919,-0.1070685844823286,0.13207504516652369,-0.5000280854463586
38,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/00213.jpg::gt:21,train,0,100MEDIA,True,True,True,0.6108840502730586,0.6150786200063056,-0.004194569733247028,0.04366174532632577,0.12262419581897714
43,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/00231.jpg::gt:0,train,1,100MEDIA,True,True,True,0.5066668014537753,0.5038449554861036,0.0028218459676716615,0.06279475603520392,0.1755402166627191
44,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/00231.jpg::gt:1,train,0,100MEDIA,True,True,True,0.717989594467586,0.7351812460798255,-0.017191651612239567,0.16401636202476658,0.21413403494907973
