row,object_id,split,class,source_group,support,paired,reference_candidate,native_gt_ce,teacher_gt_ce,native_minus_teacher_gt_ce,kl_T2,gradient_cosine
22,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020029.jpg::gt:3,train,0,02,True,True,True,0.670065633335558,0.5998740679724677,0.07019156536309032,0.26419679159822307,0.7542146057647883
27,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020038.jpg::gt:0,train,0,02,True,True,True,0.8043792557554414,0.8891236882404384,-0.08474443248499686,0.30798811324575,0.20025064890281524
32,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020048.jpg::gt:0,train,0,02,True,True,True,0.5803380069161705,0.5706073474035624,0.009730659512608139,0.08400747956730947,0.5756610198900214
33,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020048.jpg::gt:1,train,0,02,True,True,True,0.6691824532032444,0.6371745827923996,0.032007870410844824,0.04782442774476339,0.7576885392577528
34,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020048.jpg::gt:2,train,0,02,True,True,True,0.7439192425416303,0.7582970900574407,-0.014377847515810283,0.16650321816576436,0.24016094251546108
35,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020048.jpg::gt:3,train,0,02,True,True,True,0.8809877324102107,1.424339452623511,-0.5433517202133001,0.9020333393358927,-0.028493062002951628
40,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020057.jpg::gt:0,train,0,02,True,True,True,1.63013795428209,0.7497015580020461,0.8804363962800439,1.229106794440606,0.869996232591479
41,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020057.jpg::gt:1,train,0,02,True,True,True,0.6201910722528012,1.4633790539742755,-0.8431879817214742,1.3776500465049653,-0.28370173047774216
46,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020066.jpg::gt:0,train,0,02,True,True,True,0.6232953606912357,0.6884503553729227,-0.06515499468168692,0.13904305841373482,-0.3081282945741402
47,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020066.jpg::gt:1,train,0,02,True,True,True,0.8161506490306806,0.8149213876790427,0.0012292613516379503,0.19864835240134793,0.2113118729110496
48,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020066.jpg::gt:2,train,0,02,True,True,True,0.5021055016027084,0.5088854172939574,-0.006779915691248958,0.05545893180803144,0.2094990972027133
53,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020076.jpg::gt:0,train,0,02,True,True,True,0.43162525108211036,0.395595836032675,0.036029415049435395,0.09100861446190289,0.6427540168077172
54,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020076.jpg::gt:1,train,0,02,True,True,True,0.5062138266415263,0.5022763302230714,0.003937496418454922,0.05692514918733126,0.13792912118030204
59,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020085.jpg::gt:0,train,0,02,True,True,True,0.6403182871925596,0.6496171186488714,-0.009298831456311968,0.06733940221959818,0.5163375680329928
64,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020095.jpg::gt:0,train,0,02,True,True,True,0.5563614723904595,0.6141610665383981,-0.0577995941479386,0.13741972646466874,-0.13541537096440442
