epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,559.702,1.40405,1.62834,1.27277,0,0,0,0,0,0,0,0.00332741,0.00332741,0.0700533
2,1101.67,1.32229,1.03451,1.20175,0,0,0,0,0,0,0,0.00583648,0.00583648,0.039229
3,1644.56,1.30954,0.97641,1.19026,0,0,0,0,0,0,0,0.00752054,0.00752054,0.00757975
4,2190.07,1.29244,0.92605,1.18134,0,0,0,0,0,0,0,0.0062875,0.0062875,0.0062875
