dataset,split,fixed_stratum,linf_px,directions,fixed_n,all_directions_iou_better_fraction,all_directions_ce_better_fraction,all_directions_positive_cosine_fraction,min_iou_advantage_n,min_iou_advantage_finite_n,min_iou_advantage_nan_n,min_iou_advantage_posinf_n,min_iou_advantage_neginf_n,min_iou_advantage_mean,min_iou_advantage_sd_population,min_iou_advantage_min,min_iou_advantage_max,min_iou_advantage_p05,min_iou_advantage_p50,min_iou_advantage_p95,min_iou_advantage_mean_scope,max_teacher_minus_native_ce_n,max_teacher_minus_native_ce_finite_n,max_teacher_minus_native_ce_nan_n,max_teacher_minus_native_ce_posinf_n,max_teacher_minus_native_ce_neginf_n,max_teacher_minus_native_ce_mean,max_teacher_minus_native_ce_sd_population,max_teacher_minus_native_ce_min,max_teacher_minus_native_ce_max,max_teacher_minus_native_ce_p05,max_teacher_minus_native_ce_p50,max_teacher_minus_native_ce_p95,max_teacher_minus_native_ce_mean_scope,min_cosine_n,min_cosine_finite_n,min_cosine_nan_n,min_cosine_posinf_n,min_cosine_neginf_n,min_cosine_mean,min_cosine_sd_population,min_cosine_min,min_cosine_max,min_cosine_p05,min_cosine_p50,min_cosine_p95,min_cosine_mean_scope,max_lost_mass_t1_mean4_n,max_lost_mass_t1_mean4_finite_n,max_lost_mass_t1_mean4_nan_n,max_lost_mass_t1_mean4_posinf_n,max_lost_mass_t1_mean4_neginf_n,max_lost_mass_t1_mean4_mean,max_lost_mass_t1_mean4_sd_population,max_lost_mass_t1_mean4_min,max_lost_mass_t1_mean4_max,max_lost_mass_t1_mean4_p05,max_lost_mass_t1_mean4_p50,max_lost_mass_t1_mean4_p95,max_lost_mass_t1_mean4_mean_scope,max_lost_mass_t2_mean4_n,max_lost_mass_t2_mean4_finite_n,max_lost_mass_t2_mean4_nan_n,max_lost_mass_t2_mean4_posinf_n,max_lost_mass_t2_mean4_neginf_n,max_lost_mass_t2_mean4_mean,max_lost_mass_t2_mean4_sd_population,max_lost_mass_t2_mean4_min,max_lost_mass_t2_mean4_max,max_lost_mass_t2_mean4_p05,max_lost_mass_t2_mean4_p50,max_lost_mass_t2_mean4_p95,max_lost_mass_t2_mean4_mean_scope,all_directions_teacher_support_success_n,all_directions_teacher_support_denominator_n,all_directions_teacher_support_fraction,all_directions_gate_success_n,all_directions_gate_denominator_n,all_directions_gate_fraction
llvip,train,base,1,8,2728,0.22617302052785923,0.27382697947214074,0.6920821114369502,2728,2728,0,0,0,-0.03966182837225986,0.07350821857219203,-0.5700056473658943,0.5905204893015461,-0.14741215436558244,-0.04166453126627634,0.06869751030852518,all_objects,2728,2728,0,0,0,0.029906160748895363,0.20000004574777802,-3.8506557004550235,1.7670922422539628,-0.15312908455824734,0.034898771321947325,0.2267820806789464,all_objects,2728,2728,0,0,0,0.2167663782192811,0.408986550802886,-0.8656104965030185,0.9437371789464002,-0.5209237546703586,0.2556463129351282,0.8033299953242125,all_objects,2728,2728,0,0,0,0.0034932614569837587,0.0040252608808463404,3.7230288728460287e-07,0.01994777605211302,7.3086274069642745e-06,0.0017054960383671687,0.011402415078554521,all_objects,2728,2728,0,0,0,0.004426245661128557,0.0035785521414892127,7.106713790160674e-05,0.017822018935770654,0.0003148368806065814,0.003763442928776181,0.01068306920624726,all_objects,2728,2728,1.0,22,2728,0.008064516129032258
llvip,train,n_iou_lt_070,1,8,82,0.7439024390243902,0.7682926829268293,0.8780487804878049,82,82,0,0,0,0.10359517940971867,0.14420282298237935,-0.1908227799122693,0.5905204893015461,-0.09942565481075766,0.07453195355706116,0.322484774762864,all_objects,82,82,0,0,0,-0.3827717122085378,0.7388212731373922,-3.8506557004550235,1.583036769427797,-1.2233529784844417,-0.29006064717827823,0.5655163837099595,all_objects,82,82,0,0,0,0.5011101001260807,0.3708278215906986,-0.536482039552849,0.9405103549091857,-0.2718822590585423,0.6115154360344658,0.9079855175468442,all_objects,82,82,0,0,0,0.004224828192337597,0.0043256206124968905,8.689075881072097e-06,0.01961940280582005,1.9669083469906294e-05,0.0030655218928472994,0.01149214546236021,all_objects,82,82,0,0,0,0.005482583407366697,0.0038310781627637095,0.0003990328530218674,0.017822018935770654,0.0005699166794561215,0.005451398629037811,0.011134101445194522,all_objects,82,82,1.0,22,82,0.2682926829268293
llvip,train,quality_gate070,1,8,23,1.0,0.9130434782608695,1.0,23,23,0,0,0,0.19737741128443867,0.14253672554335003,0.04548810962957628,0.5905204893015461,0.053100736931631795,0.1628177317011923,0.49471717568747736,all_objects,23,23,0,0,0,-0.7212999102049859,0.8797510311680317,-3.8506557004550235,0.05528968126230538,-2.5848009388355,-0.5716162263371444,0.00471750543604526,all_objects,23,23,0,0,0,0.739881177935998,0.1789936521300738,0.3442730354610257,0.9405103549091857,0.40542902975963435,0.8108934614594392,0.9311663329195486,all_objects,23,23,0,0,0,0.003756803705454659,0.0033853285036222515,1.596051143952712e-05,0.010029231246253214,1.999548820214607e-05,0.00355625970763092,0.009296728233450437,all_objects,23,23,0,0,0,0.0048483230028007526,0.0032418058014094795,0.00044089228705620744,0.010699583165038936,0.0005433481290236864,0.0055604249402340395,0.010447124382679132,all_objects,23,23,1.0,22,23,0.9565217391304348
llvip,val,base,1,8,548,0.4854014598540146,0.5291970802919708,0.7700729927007299,548,548,0,0,0,0.014710761062092806,0.1468725769607352,-0.4993993037962759,0.5366544255711173,-0.19382774909039094,-0.004753963144003892,0.29731628397194204,all_objects,548,548,0,0,0,-0.11324038609310678,0.6819466567416389,-3.845045473610951,3.526813197270664,-1.1784146516629277,-0.015307101928682898,0.6713782555831315,all_objects,548,548,0,0,0,0.35493565791947224,0.4242850099554497,-0.8090310305317108,0.9443085818289857,-0.42408151197783645,0.44842549143921573,0.8879054700005655,all_objects,548,548,0,0,0,0.004283011520294798,0.004769564729435675,1.1257449178598099e-06,0.020320897971602813,1.2124171264654854e-05,0.002332497934841735,0.013290842050512962,all_objects,548,548,0,0,0,0.0050321338051372965,0.003902849650848459,0.00011260184763151412,0.017126638087383336,0.0004639742656727324,0.004458482617926739,0.012351927578469597,all_objects,548,548,1.0,60,548,0.10948905109489052
llvip,val,n_iou_lt_070,1,8,199,0.7638190954773869,0.7537688442211056,0.8844221105527639,199,199,0,0,0,0.11723165315374867,0.16391498271564262,-0.4709639183575153,0.5366544255711173,-0.10539787063822668,0.1061228167293709,0.3720004000768753,all_objects,199,199,0,0,0,-0.4966342428916061,0.8939907977265558,-3.845045473610951,2.625636189687879,-2.080797779946937,-0.4451101738277543,0.70660156466539,all_objects,199,199,0,0,0,0.5309670282467317,0.37153460505528346,-0.7419133410050115,0.9405077983502375,-0.25452272577698004,0.6613433914639941,0.9097304981078821,all_objects,199,199,0,0,0,0.0048338447310515825,0.004953442326172402,3.067256747196578e-06,0.020089808390302236,1.5267191750386238e-05,0.0033507195783033985,0.013484272743367207,all_objects,199,199,0,0,0,0.005530774027007275,0.003960704027979013,0.00019113007499644378,0.016153866163407225,0.0005363399133384916,0.005390856565500942,0.012372936074554593,all_objects,199,199,1.0,60,199,0.3015075376884422
llvip,val,quality_gate070,1,8,61,1.0,0.9672131147540983,1.0,61,61,0,0,0,0.22545811204573904,0.12046125662348356,0.015215778317544726,0.5366544255711173,0.06340616081623496,0.1967249500032653,0.4379139262474233,all_objects,61,61,0,0,0,-0.9046291097401536,0.7672045327723872,-3.845045473610951,0.04078533644956739,-2.1836340233006073,-0.666676791057558,-0.08355828211576455,all_objects,61,61,0,0,0,0.7652085282896672,0.1641453852861148,0.25950694856080975,0.9405077983502375,0.43482782496793115,0.8292674655605371,0.9306915307761243,all_objects,61,61,0,0,0,0.004357235166201859,0.0041804032901409365,3.067256747196578e-06,0.01327574176751311,8.318477239188915e-06,0.004273867743703457,0.011848182622294154,all_objects,61,61,0,0,0,0.00512809584838489,0.0035900585907728696,0.00019113007499644378,0.01332608799051206,0.00040548036491891063,0.005980131366881488,0.010870735468378157,all_objects,61,61,1.0,60,61,0.9836065573770492
llvip,train,base,2,8,2728,0.09347507331378299,0.14076246334310852,0.5421554252199413,2728,2728,0,0,0,-0.08453813481020363,0.07552496460550712,-0.6004606941027515,0.5525762700234751,-0.19689695647458308,-0.08619402408404236,0.02871523048818344,all_objects,2728,2728,0,0,0,0.08194421549058772,0.20211942133910113,-3.7968441136608417,1.870765290060069,-0.10294924507366578,0.08258181180874646,0.297713753482156,all_objects,2728,2728,0,0,0,0.05807824429920746,0.39202396839603454,-0.87292232078016,0.9172281594625786,-0.5678847637727678,0.04258473570359268,0.7008582988838369,all_objects,2728,2728,0,0,0,0.006986522913967517,0.008050521761692681,7.446057745692057e-07,0.03989555210422604,1.4617254813928549e-05,0.0034109920767343375,0.022804830157109043,all_objects,2728,2728,0,0,0,0.008852491322257114,0.0071571042829784255,0.00014213427580321347,0.03564403787154131,0.0006296737612131628,0.007526885857552362,0.02136613841249452,all_objects,2724,2728,0.998533724340176,18,2728,0.006598240469208211
llvip,train,n_iou_lt_070,2,8,82,0.6707317073170732,0.7317073170731707,0.8170731707317073,82,82,0,0,0,0.06933629799789294,0.14197587900487169,-0.20630507749123383,0.5525762700234751,-0.12107375346179718,0.0428988024946525,0.29694024258158236,all_objects,82,82,0,0,0,-0.32704962102636564,0.7427963268174799,-3.7968441136608417,1.669679691133739,-1.1825766545711767,-0.20515592859555576,0.6001306220970793,all_objects,82,82,0,0,0,0.4445110284237151,0.38446269882255124,-0.5547374462977462,0.9172281594625786,-0.33677513836589557,0.5624966578048046,0.8833244143770647,all_objects,82,82,0,0,0,0.008449656384675194,0.008651241224993781,1.7378151762144195e-05,0.0392388056116401,3.933816693981259e-05,0.006131043785694599,0.02298429092472042,all_objects,82,82,0,0,0,0.010965166814733394,0.007662156325527419,0.0007980657060437348,0.03564403787154131,0.001139833358912243,0.010902797258075622,0.022268202890389045,all_objects,82,82,1.0,18,82,0.21951219512195122
llvip,train,quality_gate070,2,8,23,1.0,0.8695652173913043,1.0,23,23,0,0,0,0.16732005084684942,0.1383053501294383,0.01208624057909058,0.5525762700234751,0.02114587679940009,0.13886414895809174,0.4695684657691086,all_objects,23,23,0,0,0,-0.6779651030878643,0.8807449576058554,-3.7968441136608417,0.1008806551328496,-2.5602868982185396,-0.5182020041060744,0.04558222799150913,all_objects,23,23,0,0,0,0.7026457773651894,0.195328821222748,0.2546785405121907,0.9172281594625786,0.3658466958871578,0.7732037301177112,0.9111508271108737,all_objects,23,23,0,0,0,0.007513607410909318,0.006770657007244503,3.192102287905424e-05,0.020058462492506427,3.999097640429214e-05,0.00711251941526184,0.018593456466900873,all_objects,23,23,0,0,0,0.009696646005601505,0.006483611602818959,0.0008817845741124149,0.021399166330077872,0.0010866962580473728,0.011120849880468079,0.020894248765358264,all_objects,23,23,1.0,18,23,0.782608695652174
llvip,val,base,2,8,548,0.3777372262773723,0.4562043795620438,0.7354014598540146,548,548,0,0,0,-0.01744568544026417,0.1394198190423125,-0.5149164488033922,0.49536096074745206,-0.21454701966166906,-0.03287123884065224,0.2588996229286607,all_objects,548,548,0,0,0,-0.06483318177731884,0.6815169451102627,-3.804206802379322,3.5826908309500527,-1.1173309561132956,0.03211766930181004,0.7169412840653999,all_objects,548,548,0,0,0,0.2929258129452722,0.42378922821936976,-0.7853437953225122,0.9259209336334818,-0.4772347241962245,0.3687903459075137,0.8635762893727833,all_objects,548,548,0,0,0,0.008566023040589597,0.00953912945887135,2.2514898357196197e-06,0.040641795943205626,2.4248342529309707e-05,0.00466499586968347,0.026581684101025925,all_objects,548,548,0,0,0,0.010064267610274593,0.007805699301696918,0.00022520369526302824,0.03425327617476667,0.0009279485313454648,0.008916965235853478,0.024703855156939195,all_objects,543,548,0.9908759124087592,51,548,0.09306569343065693
