epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/fp_aux,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/fp_aux,lr/pg0,lr/pg1,lr/pg2
1,85.6008,1.40338,1.6311,1.27339,0,0,0,0,0,0,0,0,0,0.00332741,0.00332741,0.0700533
2,151.692,1.32523,1.04586,1.20901,0,0,0,0,0,0,0,0,0,0.00662778,0.00662778,0.0400203
3,206.951,1.3335,1.00664,1.19998,0,0,0,0,0,0,0,0,0,0.00989514,0.00989514,0.00995434
4,266.596,1.33156,0.98525,1.20648,0,0,0,0,0,0,0,0,0,0.0098515,0.0098515,0.0098515
5,328.375,1.29314,0.9061,1.18262,0,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
6,388.38,1.26748,0.8588,1.1668,0,0,0,0,0,0,0,0,0,0.0097525,0.0097525,0.0097525
7,448.339,1.24584,0.8271,1.15566,0,0,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
8,507.554,1.23811,0.80299,1.14952,0,0,0,0,0,0,0,0,0,0.0096535,0.0096535,0.0096535
9,567.145,1.22574,0.78214,1.14618,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
10,626.892,1.21404,0.77132,1.14015,0,0,0,0,0,0,0,0,0,0.0095545,0.0095545,0.0095545
11,687.225,1.2062,0.75534,1.13446,0,0,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
12,746.35,1.20001,0.74202,1.12763,0,0,0,0,0,0,0,0,0,0.0094555,0.0094555,0.0094555
13,804.875,1.19592,0.73964,1.1255,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
14,863.424,1.18601,0.72682,1.12122,0,0,0,0,0,0,0,0,0,0.0093565,0.0093565,0.0093565
15,923.935,1.17753,0.71526,1.11893,0,0,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
16,984.535,1.17462,0.70929,1.11585,0,0,0,0,0,0,0,0,0,0.0092575,0.0092575,0.0092575
17,1042.24,1.16759,0.70278,1.11252,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
18,1100,1.1656,0.69779,1.10945,0,0,0,0,0,0,0,0,0,0.0091585,0.0091585,0.0091585
19,1159.33,1.16238,0.69173,1.11137,0,0,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
20,1219.45,1.15975,0.68502,1.10908,0,0,0,0,0,0,0,0,0,0.0090595,0.0090595,0.0090595
21,1281.43,1.15585,0.68199,1.10692,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
22,1342.35,1.14899,0.67282,1.10381,0,0,0,0,0,0,0,0,0,0.0089605,0.0089605,0.0089605
23,1403.89,1.1467,0.67052,1.10125,0,0,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
24,1465.06,1.14515,0.66727,1.10018,0,0,0,0,0,0,0,0,0,0.0088615,0.0088615,0.0088615
25,1524.48,1.14027,0.66515,1.09741,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
26,1584.47,1.13819,0.6577,1.09661,0,0,0,0,0,0,0,0,0,0.0087625,0.0087625,0.0087625
27,1645.4,1.13356,0.65583,1.09693,0,0,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
28,1706.89,1.13147,0.65154,1.093,0,0,0,0,0,0,0,0,0,0.0086635,0.0086635,0.0086635
29,1768.52,1.12956,0.65029,1.0952,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
30,1829.66,1.13099,0.64767,1.09239,0,0,0,0,0,0,0,0,0,0.0085645,0.0085645,0.0085645
31,1892.07,1.12594,0.64496,1.09033,0,0,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
32,1953.63,1.12418,0.64086,1.09007,0,0,0,0,0,0,0,0,0,0.0084655,0.0084655,0.0084655
33,2016.23,1.1218,0.64086,1.08816,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
34,2079.88,1.11972,0.63622,1.08513,0,0,0,0,0,0,0,0,0,0.0083665,0.0083665,0.0083665
35,2141.28,1.11956,0.63626,1.08817,0,0,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
36,2204.02,1.11823,0.63293,1.08667,0,0,0,0,0,0,0,0,0,0.0082675,0.0082675,0.0082675
37,2267.21,1.11724,0.6324,1.08653,0,0,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
38,2329.6,1.11228,0.62639,1.08287,0,0,0,0,0,0,0,0,0,0.0081685,0.0081685,0.0081685
39,2392.69,1.11223,0.62492,1.08108,0,0,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
40,2456.57,1.11476,0.62527,1.08633,0,0,0,0,0,0,0,0,0,0.0080695,0.0080695,0.0080695
41,2519.82,1.1113,0.6223,1.08162,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
42,2584.1,1.10996,0.62108,1.08072,0,0,0,0,0,0,0,0,0,0.0079705,0.0079705,0.0079705
43,2648.77,1.10756,0.62052,1.07827,0,0,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
44,2714.59,1.10613,0.61606,1.08068,0,0,0,0,0,0,0,0,0,0.0078715,0.0078715,0.0078715
