id,level,region,tokens,cka_paired,cka_donor_mean,delta_cka,energy_corr_paired,energy_corr_donor_mean,delta_energy_corr
00000010,P3,all,6400,0.38127565383911133,0.049542298167943956,0.33173335567116735,0.6467568072081415,0.10026040955703505,0.5464963976511065
00000010,P3,fg,64,0.869189441204071,0.256216886639595,0.612972554564476,0.835792447727197,-0.016879252690354896,0.8526717004175519
00000010,P3,bg,6336,0.36947792768478394,0.05144108086824417,0.31803684681653976,0.5950486159431139,0.115931378176062,0.47911723776705184
00000010,P4,all,1600,0.5586796998977661,0.21199876368045806,0.34668093621730806,0.7245626179603906,0.2504368101459365,0.47412580781445407
00000010,P4,fg,16,0.80479896068573,0.3380394816398621,0.4667594790458679,0.759714480099497,-0.16591497428051208,0.9256294543800091
00000010,P4,bg,1584,0.5369288921356201,0.23060956597328186,0.30631932616233826,0.6890028543038773,0.2902842482302302,0.3987186060736471
00000010,P5,all,400,0.6488924026489258,0.5318663835525512,0.11702601909637456,0.7039108865175373,0.6447451087726142,0.059165777744923154
00000010,P5,fg,5,,,,,,
00000010,P5,bg,395,0.6494899988174438,0.5371402025222778,0.11234979629516606,0.7085941085549705,0.6468311668631547,0.06176294169181584
00000012,P3,all,6400,0.4060782194137573,0.06882065385580063,0.3372575655579567,0.60925620620375,0.10345671436310674,0.5057994918406432
00000012,P3,fg,6,,,,,,
00000012,P3,bg,6394,0.4047418236732483,0.06926611363887787,0.33547571003437043,0.5942276099715664,0.1035115617740868,0.4907160481974796
00000012,P4,all,1600,0.5591163039207458,0.2813326150178909,0.27778368890285493,0.6487946256483768,0.259956756528435,0.3888378691199418
00000012,P4,fg,2,,,,,,
00000012,P4,bg,1598,0.5436755418777466,0.2880822718143463,0.25559327006340027,0.6027477027892594,0.27421031567151893,0.32853738711774044
00000012,P5,all,400,0.7111137509346008,0.6145983338356018,0.09651541709899902,0.6609498875924437,0.6766345455794616,-0.015684657987017903
00000012,P5,fg,0,,,,,,
00000012,P5,bg,400,0.7111137509346008,0.6145983338356018,0.09651541709899902,0.6609498875924437,0.6766345455794616,-0.015684657987017903
00000025,P3,all,6400,0.42370373010635376,0.06492475941777229,0.35877897068858144,0.7033998976205116,0.13657778124207148,0.5668221163784402
00000025,P3,fg,55,0.8750439882278442,0.2154024600982666,0.6596415281295777,0.8197590778923722,0.08361046063350688,0.7361486172588654
00000025,P3,bg,6345,0.4107445776462555,0.06872712671756745,0.34201745092868807,0.6039544550347271,0.1585709900367333,0.4453834649979938
00000025,P4,all,1600,0.6428760290145874,0.2162572354078293,0.42661879360675814,0.7731302002658883,0.2434549167180986,0.5296752835477897
00000025,P4,fg,15,0.9326326251029968,0.31798031330108645,0.6146523118019104,0.9440448153222718,0.11377096608590556,0.8302738492363663
00000025,P4,bg,1585,0.5747631788253784,0.2549706161022186,0.3197925627231598,0.6420687222424465,0.3049337523691443,0.3371349698733022
00000025,P5,all,400,0.5960018038749695,0.5276425182819366,0.06835928559303284,0.6682160784939506,0.6463771774115189,0.021838901082431694
00000025,P5,fg,3,,,,,,
00000025,P5,bg,397,0.596476674079895,0.5296668887138367,0.0668097853660583,0.6688363756449031,0.6472299788755528,0.021606396769350278
00000027,P3,all,6400,0.38188982009887695,0.04702071249485016,0.33486910760402677,0.7273757555505695,0.0765601693151188,0.6508155862354508
00000027,P3,fg,117,0.8069113492965698,0.15604076236486436,0.6508705869317055,0.8271451664229947,0.01723360112737397,0.8099115652956208
00000027,P3,bg,6283,0.34536129236221313,0.05084703639149666,0.29451425597071645,0.5669765057365453,0.09855955441472442,0.46841695132182093
00000027,P4,all,1600,0.6025424003601074,0.08207524865865708,0.5204671517014503,0.8444852786074062,0.0838113221448334,0.7606739564625727
00000027,P4,fg,31,0.8945637345314026,0.2026510328054428,0.6919127017259598,0.9376662237647354,-0.19349788985976796,1.1311641136245034
00000027,P4,bg,1569,0.4311489462852478,0.13222055584192277,0.29892839044332503,0.6702662552493744,0.165818819850612,0.5044474353987625
00000027,P5,all,400,0.6842855215072632,0.45969079732894896,0.22459472417831422,0.7648967069330465,0.549040997025521,0.21585570990752545
00000027,P5,fg,3,,,,,,
00000027,P5,bg,397,0.6872631907463074,0.4606770098209381,0.22658618092536925,0.7692760026257823,0.549001149159939,0.2202748534658433
00000055,P3,all,6400,0.37139835953712463,0.042165132984519,0.3292332265526056,0.6467073049402815,0.11547520765937805,0.5312320972809035
00000055,P3,fg,22,0.8848799467086792,0.2868701577186584,0.5980097889900208,0.8158299183279656,-0.11958547830417947,0.935415396632145
00000055,P3,bg,6378,0.3630821406841278,0.04293313547968865,0.3201490052044392,0.5915848475570918,0.11950693965147337,0.4720779079056185
00000055,P4,all,1600,0.6048612594604492,0.16697759181261063,0.4378836676478386,0.7810898275372636,0.17972517951329303,0.6013646480239706
00000055,P4,fg,5,,,,,,
00000055,P4,bg,1595,0.5719582438468933,0.1797381281852722,0.39222011566162107,0.7269764391659689,0.20000706866213935,0.5269693705038295
00000055,P5,all,400,0.5642239451408386,0.5372362732887268,0.026987671852111816,0.6580404787144567,0.6715092218482424,-0.013468743133785654
00000055,P5,fg,1,,,,,,
00000055,P5,bg,399,0.5649316310882568,0.5378739774227143,0.02705765366554258,0.6586093967373179,0.6715362439584753,-0.012926847221157445
00000086,P3,all,6400,0.3514192998409271,0.058388494327664374,0.29303080551326277,0.5537440424895848,0.06959407062411724,0.4841499718654675
00000086,P3,fg,40,0.9028252363204956,0.27494709491729735,0.6278781414031982,0.865478396203754,-0.07357086921934065,0.9390492654230946
00000086,P3,bg,6360,0.3449176549911499,0.06005726382136345,0.28486039116978645,0.4887483744381201,0.07162641039152408,0.417121964046596
