epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_lld,train/kd_ccl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kd_lld,val/kd_ccl,lr/pg0,lr/pg1,lr/pg2
40,12053,1.11296,0.62337,1.08784,2e-05,0.69074,0,0,0,0,0,0,0,0,0,0.0080695,0.0080695,0.0080695
41,12295.3,1.10902,0.62224,1.08238,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
42,12535.8,1.10806,0.62025,1.08176,2e-05,0.69063,0,0,0,0,0,0,0,0,0,0.0079705,0.0079705,0.0079705
43,12776.4,1.10411,0.61939,1.07888,2e-05,0.69039,0,0,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
44,13017.3,1.10507,0.61528,1.08123,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.0078715,0.0078715,0.0078715
45,13257.4,1.1018,0.61434,1.07878,2e-05,0.69035,0,0,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
46,13497.4,1.10262,0.61293,1.08228,2e-05,0.69109,0,0,0,0,0,0,0,0,0,0.0077725,0.0077725,0.0077725
47,13735,1.0988,0.60993,1.08057,2e-05,0.69051,0,0,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
48,13968.6,1.09715,0.6096,1.07722,2e-05,0.69086,0,0,0,0,0,0,0,0,0,0.0076735,0.0076735,0.0076735
49,14201.5,1.09902,0.60945,1.07865,2e-05,0.69032,0,0,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
50,14437.2,1.09614,0.60602,1.07559,2e-05,0.6902,0,0,0,0,0,0,0,0,0,0.0075745,0.0075745,0.0075745
51,14674.2,1.09678,0.60495,1.07573,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
52,14908.8,1.0916,0.60179,1.07728,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.0074755,0.0074755,0.0074755
53,15145.1,1.09404,0.60102,1.07446,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
54,15378.4,1.08937,0.59855,1.07443,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.0073765,0.0073765,0.0073765
55,15610.8,1.09082,0.59699,1.07616,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
56,15842.9,1.08591,0.59587,1.07457,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.0072775,0.0072775,0.0072775
57,16073.7,1.08736,0.59455,1.07327,2e-05,0.69043,0,0,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
58,16306.1,1.08458,0.5923,1.07056,2e-05,0.69043,0,0,0,0,0,0,0,0,0,0.0071785,0.0071785,0.0071785
59,16537.5,1.08524,0.59239,1.07077,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
60,16770.8,1.08542,0.59261,1.07022,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.0070795,0.0070795,0.0070795
61,17004,1.08249,0.59027,1.07096,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
62,17235.6,1.08251,0.58891,1.06886,2e-05,0.69112,0,0,0,0,0,0,0,0,0,0.0069805,0.0069805,0.0069805
63,17467.1,1.08161,0.58771,1.06614,2e-05,0.69043,0,0,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
64,17699.9,1.07828,0.58527,1.06962,2e-05,0.69074,0,0,0,0,0,0,0,0,0,0.0068815,0.0068815,0.0068815
65,17934.3,1.0797,0.58618,1.07005,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
66,18164.9,1.07931,0.58558,1.06968,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.0067825,0.0067825,0.0067825
67,18395,1.07515,0.58005,1.06633,2e-05,0.69093,0,0,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
68,18623,1.07739,0.58259,1.06754,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.0066835,0.0066835,0.0066835
69,18852.9,1.07337,0.58011,1.0644,2e-05,0.69069,0,0,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
70,19083.4,1.07405,0.57915,1.06496,2e-05,0.6907,0,0,0,0,0,0,0,0,0,0.0065845,0.0065845,0.0065845
71,19313.3,1.07232,0.57633,1.06353,2e-05,0.69105,0,0,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
72,19542.7,1.07233,0.57547,1.06366,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.0064855,0.0064855,0.0064855
73,19772.7,1.06992,0.57443,1.06185,2e-05,0.69028,0,0,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
74,20002.8,1.0713,0.57603,1.06405,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.0063865,0.0063865,0.0063865
75,20232.2,1.06679,0.57096,1.06005,2e-05,0.69093,0,0,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
76,20461.2,1.06594,0.57117,1.06372,2e-05,0.69028,0,0,0,0,0,0,0,0,0,0.0062875,0.0062875,0.0062875
77,20690.9,1.06599,0.56998,1.0603,2e-05,0.69136,0,0,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
78,20919.5,1.06289,0.56827,1.05986,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.0061885,0.0061885,0.0061885
79,21148.2,1.06308,0.56697,1.06021,2e-05,0.69028,0,0,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
80,21377.6,1.06244,0.56857,1.06182,2e-05,0.69058,0,0,0,0,0,0,0,0,0,0.0060895,0.0060895,0.0060895
81,21608.8,1.0586,0.56579,1.05843,2e-05,0.69101,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
82,21840.9,1.058,0.56436,1.06011,2e-05,0.69085,0,0,0,0,0,0,0,0,0,0.0059905,0.0059905,0.0059905
83,22076.8,1.06014,0.56464,1.05513,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.005941,0.005941,0.005941
84,22311.7,1.05869,0.56424,1.05961,2e-05,0.69032,0,0,0,0,0,0,0,0,0,0.0058915,0.0058915,0.0058915
85,22548.4,1.05625,0.561,1.05763,2e-05,0.69074,0,0,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
86,22784,1.05455,0.5572,1.05513,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.0057925,0.0057925,0.0057925
87,23018.3,1.05312,0.55832,1.05551,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.005743,0.005743,0.005743
88,23253.2,1.0526,0.55682,1.05308,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.0056935,0.0056935,0.0056935
89,23486.5,1.05302,0.55636,1.05378,2e-05,0.69066,0,0,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
90,23719.6,1.05177,0.55508,1.05506,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.0055945,0.0055945,0.0055945
91,23970.6,1.05203,0.55601,1.05331,2e-05,0.69074,0,0,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
92,24243.2,1.05106,0.5551,1.05446,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.0054955,0.0054955,0.0054955
93,24524.1,1.05007,0.55326,1.05453,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
94,24804.2,1.04816,0.55303,1.05323,2e-05,0.69074,0,0,0,0,0,0,0,0,0,0.0053965,0.0053965,0.0053965
95,25083.8,1.04744,0.55099,1.05221,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.005347,0.005347,0.005347
96,25358.4,1.04655,0.54961,1.05117,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.0052975,0.0052975,0.0052975
97,25632.8,1.04417,0.5492,1.05067,2e-05,0.69051,0,0,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
98,25885.3,1.04222,0.54581,1.0483,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.0051985,0.0051985,0.0051985
99,26175.2,1.04081,0.54453,1.04919,2e-05,0.69035,0,0,0,0,0,0,0,0,0,0.005149,0.005149,0.005149
100,26476.8,1.04115,0.54405,1.04951,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.0050995,0.0050995,0.0050995
101,26776.1,1.03904,0.5434,1.0467,2e-05,0.69043,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
102,27081.8,1.0405,0.54448,1.05052,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.0050005,0.0050005,0.0050005
103,27354.8,1.03727,0.54169,1.05021,2e-05,0.69023,0,0,0,0,0,0,0,0,0,0.004951,0.004951,0.004951
104,27644.4,1.03841,0.54116,1.04717,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.0049015,0.0049015,0.0049015
105,27923.1,1.03849,0.54148,1.04424,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
106,28205.5,1.03681,0.53991,1.04803,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.0048025,0.0048025,0.0048025
107,28485.2,1.03381,0.53788,1.04749,2e-05,0.69039,0,0,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
108,28756.3,1.03293,0.53769,1.04421,2e-05,0.69105,0,0,0,0,0,0,0,0,0,0.0047035,0.0047035,0.0047035
109,29030.9,1.03019,0.53542,1.04497,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
110,29309.4,1.03119,0.53472,1.04697,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.0046045,0.0046045,0.0046045
111,29591.1,1.02857,0.53438,1.04307,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
112,29868.5,1.02885,0.5317,1.04362,2e-05,0.69101,0,0,0,0,0,0,0,0,0,0.0045055,0.0045055,0.0045055
113,30130.9,1.02706,0.53304,1.04178,2e-05,0.6907,0,0,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
114,30370,1.02993,0.53361,1.04243,2e-05,0.69043,0,0,0,0,0,0,0,0,0,0.0044065,0.0044065,0.0044065
115,30595.2,1.02594,0.53116,1.0392,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
116,30818.7,1.02635,0.529,1.03836,2e-05,0.69066,0,0,0,0,0,0,0,0,0,0.0043075,0.0043075,0.0043075
117,31042.4,1.02262,0.52565,1.04075,2e-05,0.69047,0,0,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
118,31268.9,1.02228,0.52541,1.04132,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.0042085,0.0042085,0.0042085
119,31523,1.0207,0.52656,1.03973,2e-05,0.69066,0,0,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
120,31809,1.02035,0.52504,1.03845,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.0041095,0.0041095,0.0041095
121,32096.9,1.02078,0.5237,1.03898,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
122,32380.4,1.01794,0.52261,1.03597,2e-05,0.69105,0,0,0,0,0,0,0,0,0,0.0040105,0.0040105,0.0040105
123,32645.1,1.01595,0.52085,1.03557,2e-05,0.69046,0,0,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
124,32931.4,1.01814,0.5215,1.03603,2e-05,0.69051,0,0,0,0,0,0,0,0,0,0.0039115,0.0039115,0.0039115
125,33215.2,1.01539,0.51986,1.03383,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
126,33499,1.01311,0.51987,1.03374,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.0038125,0.0038125,0.0038125
127,33781.8,1.01295,0.51758,1.03531,2e-05,0.69101,0,0,0,0,0,0,0,0,0,0.003763,0.003763,0.003763
128,34060.3,1.01193,0.51661,1.03409,2e-05,0.69035,0,0,0,0,0,0,0,0,0,0.0037135,0.0037135,0.0037135
129,34335.1,1.01135,0.51637,1.03348,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
130,34617.5,1.00998,0.516,1.03252,2e-05,0.6912,0,0,0,0,0,0,0,0,0,0.0036145,0.0036145,0.0036145
131,34895.2,1.01093,0.5149,1.03076,2e-05,0.69116,0,0,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
132,35168.1,1.00686,0.51279,1.02994,2e-05,0.69028,0,0,0,0,0,0,0,0,0,0.0035155,0.0035155,0.0035155
133,35446.6,1.00433,0.51002,1.03022,2e-05,0.69074,0,0,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
134,35716.7,1.0036,0.51025,1.03125,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.0034165,0.0034165,0.0034165
