arm,seed,status,mAP50_95,AP50,AP75,precision,recall
N,0,complete,54.34618520685574,76.99251535173484,63.93291745479234,77.65485331322762,73.58216889941262
C,0,complete,54.77218640082956,76.98678788788337,64.16654157547512,79.24371088621379,70.9786559338524
R,0,incomplete,,,,,
N,42,complete,54.51360845035178,77.17965366938525,64.16656614678693,78.64732611282166,72.92365679591741
C,42,complete,54.65816217191543,77.0696200439378,63.839323049220795,77.43225301297308,72.43045069089455
R,42,incomplete,,,,,
N,123,complete,54.40743648945896,76.92741735562139,63.68947787552206,77.84148488728724,73.41004085623703
C,123,complete,54.63684720507138,77.30455672411458,64.21477409983494,77.87129583514843,72.98865399139216
R,123,incomplete,,,,,
