method,seed,server,gpu,run,status,rows,latest_epoch,final_ap50,final_ap5095,best_ap50,best_ap50_epoch,best_ap5095,best_ap5095_epoch,ap50_key,ap5095_key,results_exists,best_pt_exists,last_pt_exists,epoch_pt_count,pid_match_count,log_hit_count,source_policy_label,result_path,args_path,outer_log
det-only,0,3090,0,D400R_slowcos_bnfreeze_detonly_yolo11n_e400_b64_img256_s0_20260706_gpu0,completed_final_audited,400,400,0.7734,0.50871,0.77368,387,0.50939,387,metrics/mAP50(B),metrics/mAP50-95(B),True,True,True,0,0,0,source_unambiguous_detonly,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/detonly_yoloinit/yolo11n/seed0/D400R_slowcos_bnfreeze_detonly_yolo11n_e400_b64_img256_s0_20260706_gpu0,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/detonly_yoloinit/yolo11n/seed0/D400R_slowcos_bnfreeze_detonly_yolo11n_e400_b64_img256_s0_20260706_gpu0/args.yaml,/root/shared-nvme/LADD_public/logs/direct400_registered_rescue_20260706/detonly_yolo11n/D400R_slowcos_bnfreeze_detonly_yolo11n_e400_b64_img256_s0_20260706_gpu0.outer.log
det-only,42,3090,1,D400R_slowcos_bnfreeze_detonly_yolo11n_e400_b64_img256_s42_20260706_gpu1,completed_final_audited,400,400,0.77195,0.50648,0.77313,374,0.50682,384,metrics/mAP50(B),metrics/mAP50-95(B),True,True,True,0,0,0,source_unambiguous_detonly,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/detonly_yoloinit/yolo11n/seed42/D400R_slowcos_bnfreeze_detonly_yolo11n_e400_b64_img256_s42_20260706_gpu1,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/detonly_yoloinit/yolo11n/seed42/D400R_slowcos_bnfreeze_detonly_yolo11n_e400_b64_img256_s42_20260706_gpu1/args.yaml,/root/shared-nvme/LADD_public/logs/direct400_registered_rescue_20260706/detonly_yolo11n/D400R_slowcos_bnfreeze_detonly_yolo11n_e400_b64_img256_s42_20260706_gpu1.outer.log
det-only,123,3090,0,D400R_slowcos_bnfreeze_detonly_yolo11n_e400_b64_img256_s123_20260706_gpu0,completed_final_audited,400,400,0.77882,0.50692,0.78026,369,0.50851,365,metrics/mAP50(B),metrics/mAP50-95(B),True,True,True,0,0,0,source_unambiguous_detonly,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/detonly_yoloinit/yolo11n/seed123/D400R_slowcos_bnfreeze_detonly_yolo11n_e400_b64_img256_s123_20260706_gpu0,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/detonly_yoloinit/yolo11n/seed123/D400R_slowcos_bnfreeze_detonly_yolo11n_e400_b64_img256_s123_20260706_gpu0/args.yaml,/root/shared-nvme/LADD_public/logs/direct400_registered_rescue_20260706/detonly_yolo11n/D400R_slowcos_bnfreeze_detonly_yolo11n_e400_b64_img256_s123_20260706_gpu0.outer.log
plain,0,3090,1,D400R_slowcos_bnfreeze_plain_yolo11n_e400_b64_img256_s0_20260706_gpu1,completed_final_audited,400,400,0.6798,0.42015,0.68228,364,0.42273,364,metrics/mAP50(B),metrics/mAP50-95(B),True,True,True,0,0,0,seed0_source,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/dynamic_plain_yoloinit/yolo11n/seed0/D400R_slowcos_bnfreeze_plain_yolo11n_e400_b64_img256_s0_20260706_gpu1,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/dynamic_plain_yoloinit/yolo11n/seed0/D400R_slowcos_bnfreeze_plain_yolo11n_e400_b64_img256_s0_20260706_gpu1/args.yaml,/root/shared-nvme/LADD_public/logs/direct400_registered_rescue_20260706/plain_yolo11n/D400R_slowcos_bnfreeze_plain_yolo11n_e400_b64_img256_s0_20260706_gpu1.outer.log
plain,42,3090,0,D400R_slowcos_bnfreeze_plain_yolo11n_e400_b64_img256_s42_20260706_gpu0,completed_final_audited,400,400,0.67433,0.41942,0.67655,361,0.42078,358,metrics/mAP50(B),metrics/mAP50-95(B),True,True,True,0,0,0,seed0_source_reuse__not_strict_same_seed_source,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/dynamic_plain_yoloinit/yolo11n/seed42/D400R_slowcos_bnfreeze_plain_yolo11n_e400_b64_img256_s42_20260706_gpu0,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/dynamic_plain_yoloinit/yolo11n/seed42/D400R_slowcos_bnfreeze_plain_yolo11n_e400_b64_img256_s42_20260706_gpu0/args.yaml,/root/shared-nvme/LADD_public/logs/direct400_registered_rescue_20260706/plain_yolo11n/D400R_slowcos_bnfreeze_plain_yolo11n_e400_b64_img256_s42_20260706_gpu0.outer.log
plain,123,3090,1,D400R_slowcos_bnfreeze_plain_yolo11n_e400_b64_img256_s123_20260706_gpu1,completed_final_audited,400,400,0.68412,0.42665,0.68724,342,0.42832,360,metrics/mAP50(B),metrics/mAP50-95(B),True,True,True,0,0,0,seed0_source_reuse__not_strict_same_seed_source,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/dynamic_plain_yoloinit/yolo11n/seed123/D400R_slowcos_bnfreeze_plain_yolo11n_e400_b64_img256_s123_20260706_gpu1,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/dynamic_plain_yoloinit/yolo11n/seed123/D400R_slowcos_bnfreeze_plain_yolo11n_e400_b64_img256_s123_20260706_gpu1/args.yaml,/root/shared-nvme/LADD_public/logs/direct400_registered_rescue_20260706/plain_yolo11n/D400R_slowcos_bnfreeze_plain_yolo11n_e400_b64_img256_s123_20260706_gpu1.outer.log
singleproj,0,3090,0,D400R_slowcos_bnfreeze_singleproj_yolo11n_e400_b64_img256_s0_20260706_gpu0,completed_final_audited,400,400,0.69442,0.44358,0.69543,385,0.4443,354,metrics/mAP50(B),metrics/mAP50-95(B),True,True,True,0,0,0,seed0_source,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/dynamic_singleproj_yoloinit/yolo11n/seed0/D400R_slowcos_bnfreeze_singleproj_yolo11n_e400_b64_img256_s0_20260706_gpu0,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/dynamic_singleproj_yoloinit/yolo11n/seed0/D400R_slowcos_bnfreeze_singleproj_yolo11n_e400_b64_img256_s0_20260706_gpu0/args.yaml,/root/shared-nvme/LADD_public/logs/direct400_registered_rescue_20260706/singleproj_yolo11n/D400R_slowcos_bnfreeze_singleproj_yolo11n_e400_b64_img256_s0_20260706_gpu0.outer.log
singleproj,42,3090,1,D400R_slowcos_bnfreeze_singleproj_yolo11n_e400_b64_img256_s42_20260706_gpu1,completed_final_audited,400,400,0.69704,0.4397,0.69769,392,0.44048,371,metrics/mAP50(B),metrics/mAP50-95(B),True,True,True,0,0,0,seed0_source_reuse__not_strict_same_seed_source,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/dynamic_singleproj_yoloinit/yolo11n/seed42/D400R_slowcos_bnfreeze_singleproj_yolo11n_e400_b64_img256_s42_20260706_gpu1,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/dynamic_singleproj_yoloinit/yolo11n/seed42/D400R_slowcos_bnfreeze_singleproj_yolo11n_e400_b64_img256_s42_20260706_gpu1/args.yaml,/root/shared-nvme/LADD_public/logs/direct400_registered_rescue_20260706/singleproj_yolo11n/D400R_slowcos_bnfreeze_singleproj_yolo11n_e400_b64_img256_s42_20260706_gpu1.outer.log
singleproj,123,3090,0,D400R_slowcos_bnfreeze_singleproj_yolo11n_e400_b64_img256_s123_20260706_gpu0,completed_final_audited,400,400,0.68732,0.43262,0.6874,398,0.43396,360,metrics/mAP50(B),metrics/mAP50-95(B),True,True,True,0,0,0,seed0_source_reuse__not_strict_same_seed_source,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/dynamic_singleproj_yoloinit/yolo11n/seed123/D400R_slowcos_bnfreeze_singleproj_yolo11n_e400_b64_img256_s123_20260706_gpu0,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/direct400_registered_rescue_20260706/dynamic_singleproj_yoloinit/yolo11n/seed123/D400R_slowcos_bnfreeze_singleproj_yolo11n_e400_b64_img256_s123_20260706_gpu0/args.yaml,/root/shared-nvme/LADD_public/logs/direct400_registered_rescue_20260706/singleproj_yolo11n/D400R_slowcos_bnfreeze_singleproj_yolo11n_e400_b64_img256_s123_20260706_gpu0.outer.log
