00      6.93G      1.153     0.6799      1.106        395        640: 37% ━━━━──────── 209/563 2.6it/s 1:21<2:17
[K     21/200      6.93G      1.159     0.6846      1.109        431        640: 53% ━━━━━━────── 299/563 2.6it/s 1:56<1:42
[K     21/200      6.93G      1.159     0.6845      1.109        455        640: 53% ━━━━━━────── 300/563 2.6it/s 1:56<1:41
[K     21/200      6.93G      1.158     0.6841      1.109        518        640: 53% ━━━━━━────── 301/563 2.7it/s 1:56<1:38
[K     21/200      6.93G      1.159     0.6843      1.108        475        640: 53% ━━━━━━────── 302/563 2.7it/s 1:57<1:38
[K     21/200      6.93G      1.159     0.6841      1.108        533        640: 53% ━━━━━━────── 303/563 2.6it/s 1:57<1:39
[K     21/200      6.93G      1.159     0.6839      1.108        598        640: 53% ━━━━━━────── 304/563 2.6it/s 1:58<1:40
[K     21/200      6.93G      1.159     0.6836      1.108        440        640: 54% ━━━━━━╸───── 305/563 2.6it/s 1:58<1:40
[K     21/200      6.93G      1.159     0.6836      1.108        583        640: 54% ━━━━━━╸───── 306/563 2.6it/s 1:58<1:40
[K     21/200      6.93G      1.159     0.6835      1.108        532        640: 54% ━━━━━━╸───── 307/563 2.6it/s 1:59<1:40
[K     21/200      6.93G      1.159     0.6833      1.108        454        640: 54% ━━━━━━╸───── 308/563 2.5it/s 1:59<1:41
[K     21/200      6.93G      1.158      0.683      1.108        437        640: 54% ━━━━━━╸───── 309/563 2.5it/s 1:60<1:40
[K     21/200      6.93G      1.158     0.6832      1.108        568        640: 55% ━━━━━━╸───── 310/563 2.4it/s 2:00<1:45
[K     21/200      6.93G      1.158      0.683      1.108        531        640: 55% ━━━━━━╸───── 311/563 2.4it/s 2:00<1:45
[K     21/200      6.93G      1.158     0.6831      1.108        454        640: 55% ━━━━━━╸───── 312/563 2.4it/s 2:01<1:44
[K     21/200      6.93G      1.159     0.6837      1.108        549        640: 55% ━━━━━━╸───── 313/563 2.4it/s 2:01<1:43
[K     21/200      6.93G      1.159     0.6836      1.108        652        640: 55% ━━━━━━╸───── 314/563 2.4it/s 2:02<1:43
[K     21/200      6.93G      1.159     0.6836      1.108        460        640: 55% ━━━━━━╸───── 315/563 2.4it/s 2:02<1:45
[K     21/200      6.93G      1.158     0.6837      1.108        345        640: 56% ━━━━━━╸───── 316/563 2.3it/s 2:03<1:46
[K     21/200      6.93G      1.158     0.6839      1.108        541        640: 56% ━━━━━━╸───── 317/563 2.2it/s 2:03<1:53
[K     21/200      6.93G      1.158      0.684      1.108        389        640: 56% ━━━━━━╸───── 318/563 2.1it/s 2:04<1:59
[K     21/200      6.93G      1.158     0.6839      1.108        473        640: 56% ━━━━━━╸───── 319/563 2.1it/s 2:04<1:57
[K     21/200      6.93G      1.158     0.6839      1.108        431        640: 56% ━━━━━━╸───── 320/563 2.0it/s 2:05<2:04
[K     21/200      6.93G      1.158     0.6842      1.108        499        640: 57% ━━━━━━╸───── 321/563 1.9it/s 2:05<2:07
[K     21/200      6.93G      1.158     0.6841      1.108        364        640: 57% ━━━━━━╸───── 322/563 1.8it/s 2:06<2:14
[K     21/200      6.93G      1.159     0.6843      1.108        428        640: 57% ━━━━━━╸───── 323/563 1.8it/s 2:07<2:14
[K     21/200      6.93G      1.159     0.6842      1.109        619        640: 57% ━━━━━━╸───── 324/563 1.7it/s 2:07<2:18
[K     21/200      6.93G      1.159     0.6844      1.109        451        640: 57% ━━━━━━╸───── 325/563 1.7it/s 2:08<2:20
[K     21/200      6.93G      1.159     0.6843      1.109        529        640: 57% ━━━━━━╸───── 326/563 1.7it/s 2:08<2:16
[K     21/200      6.93G      1.159     0.6845      1.109        453        640: 58% ━━━━━━╸───── 327/563 1.7it/s 2:09<2:19
[K     21/200      6.93G      1.159     0.6843      1.109        472        640: 58% ━━━━━━╸───── 328/563 1.7it/s 2:10<2:20
[K     21/200      6.93G      1.159     0.6842      1.109        637        640: 58% ━━━━━━━───── 329/563 1.7it/s 2:10<2:20
[K     21/200      6.93G      1.159     0.6843      1.109        524        640: 58% ━━━━━━━───── 330/563 1.7it/s 2:11<2:20
[K     21/200      6.93G      1.159     0.6846      1.109        295        640: 58% ━━━━━━━───── 331/563 1.7it/s 2:11<2:15
[K     21/200      6.93G      1.159     0.6847      1.109        520        640: 58% ━━━━━━━───── 332/563 1.7it/s 2:12<2:18
[K     21/200      6.93G      1.159     0.6846      1.109        529        640: 59% ━━━━━━━───── 333/563 1.7it/s 2:13<2:16
[K     21/200      6.93G      1.159     0.6846      1.109        385        640: 59% ━━━━━━━───── 334/563 1.7it/s 2:13<2:17
[K     21/200      6.93G      1.159     0.6843      1.109        410        640: 59% ━━━━━━━───── 335/563 1.7it/s 2:14<2:15
[K     21/200      6.93G      1.159     0.6842      1.109        359        640: 59% ━━━━━━━───── 336/563 1.6it/s 2:14<2:18
[K     21/200      6.93G      1.159     0.6844      1.109        618        640: 59% ━━━━━━━───── 337/563 1.7it/s 2:15<2:13
[K     21/200      6.93G      1.159     0.6844      1.109        449        640: 60% ━━━━━━━───── 338/563 1.7it/s 2:16<2:15
[K     21/200      6.93G      1.159     0.6845      1.109        658        640: 60% ━━━━━━━───── 339/563 1.7it/s 2:16<2:13
[K     21/200      6.93G       1.16     0.6843      1.109        547        640: 60% ━━━━━━━───── 340/563 1.7it/s 2:17<2:11
[K     21/200      6.93G      1.159      0.684      1.109        426        640: 60% ━━━━━━━───── 341/563 1.7it/s 2:17<2:07
[K     21/200      6.93G      1.159      0.684      1.109        404        640: 60% ━━━━━━━───── 342/563 1.7it/s 2:18<2:07
[K     21/200      6.93G       1.16      0.684      1.109        554        640: 60% ━━━━━━━───── 343/563 1.7it/s 2:18<2:09
[K     21/200      6.93G      1.159      0.684      1.109        513        640: 61% ━━━━━━━───── 344/563 1.7it/s 2:19<2:09
[K     21/200      6.93G      1.159     0.6841      1.109        469        640: 61% ━━━━━━━───── 345/563 1.7it/s 2:20<2:05
[K     21/200      6.93G      1.159     0.6842      1.109        600        640: 61% ━━━━━━━───── 346/563 1.7it/s 2:20<2:09
[K     21/200      6.93G      1.159     0.6841      1.109        493        640: 61% ━━━━━━━───── 347/563 1.7it/s 2:21<2:06
[K     21/200      6.93G      1.159     0.6841      1.109        417        640: 61% ━━━━━━━───── 348/563 1.7it/s 2:21<2:08
[K     21/200      6.93G       1.16     0.6847      1.109        586        640: 61% ━━━━━━━───── 349/563 1.6it/s 2:22<2:10
[K     21/200      6.93G       1.16     0.6846      1.109        516        640: 62% ━━━━━━━───── 350/563 1.6it/s 2:23<2:11
[K     21/200      6.93G      1.159     0.6845      1.109        391        640: 62% ━━━━━━━───── 351/563 1.6it/s 2:23<2:10
[K     21/200      6.93G      1.159     0.6845      1.108        384        640: 62% ━━━━━━━╸──── 352/563 1.6it/s 2:24<2:08
[K     21/200      6.93G       1.16     0.6845      1.109        493        640: 62% ━━━━━━━╸──── 353/563 1.7it/s 2:24<2:04
[K     21/200      6.93G      1.159     0.6842      1.108        539        640: 62% ━━━━━━━╸──── 354/563 1.7it/s 2:25<2:04
[K     21/200      6.93G      1.159     0.6842      1.108        441        640: 63% ━━━━━━━╸──── 355/563 1.7it/s 2:26<2:04
[K     21/200      6.93G       1.16     0.6845      1.108        495        640: 63% ━━━━━━━╸──── 356/563 1.6it/s 2:26<2:08
[K     21/200      6.93G      1.159     0.6842      1.108        468        640: 63% ━━━━━━━╸──── 357/563 1.6it/s 2:27<2:08
[K     21/200      6.93G      1.159     0.6845      1.108        453        640: 63% ━━━━━━━╸──── 358/563 1.6it/s 2:28<2:07
[K     21/200      6.93G      1.159     0.6843      1.108        498        640: 63% ━━━━━━━╸──── 359/563 1.6it/s 2:28<2:09
[K     21/200      6.93G      1.159     0.6844      1.108        366        640: 63% ━━━━━━━╸──── 360/563 1.6it/s 2:29<2:07
[K     21/200      6.93G      1.159     0.6843      1.108        344        640: 64% ━━━━━━━╸──── 361/563 1.7it/s 2:29<2:01
[K     21/200      6.93G      1.159     0.6841      1.108        574        640: 64% ━━━━━━━╸──── 362/563 1.6it/s 2:30<2:03
[K     21/200      6.93G      1.159      0.684      1.108        700        640: 64% ━━━━━━━╸──── 363/563 1.6it/s 2:31<2:07
[K     21/200      6.93G      1.159     0.6838      1.108        485        640: 64% ━━━━━━━╸──── 364/563 1.6it/s 2:31<2:06
[K     21/200      6.93G      1.159      0.684      1.108        396        640: 64% ━━━━━━━╸──── 365/563 1.6it/s 2:32<2:04
[K     21/200      6.93G      1.159     0.6842      1.108        635        640: 65% ━━━━━━━╸──── 366/563 1.6it/s 2:33<2:06
[K     21/200      6.93G      1.159     0.6841      1.108        515        640: 65% ━━━━━━━╸──── 367/563 1.6it/s 2:33<2:04
[K     21/200      6.93G      1.159      0.684      1.108        447        640: 65% ━━━━━━━╸──── 368/563 1.7it/s 2:34<1:58
[K     21/200      6.93G      1.159      0.684      1.108        367        640: 65% ━━━━━━━╸──── 369/563 1.7it/s 2:34<1:53
[K     21/200      6.93G      1.159     0.6842      1.108        733        640: 65% ━━━━━━━╸──── 370/563 1.7it/s 2:35<1:53
[K     21/200      6.93G      1.159     0.6843      1.108        538        640: 65% ━━━━━━━╸──── 371/563 1.7it/s 2:36<1:50
[K     21/200      6.93G      1.159     0.6842      1.108        543        640: 66% ━━━━━━━╸──── 372/563 1.7it/s 2:36<1:52
[K     21/200      6.93G      1.159     0.6843      1.108        428        640: 66% ━━━━━━━╸──── 373/563 1.7it/s 2:37<1:51
[K     21/200      6.93G      1.159     0.6843      1.108        490        640: 66% ━━━━━━━╸──── 374/563 1.7it/s 2:37<1:51
[K     21/200      6.93G      1.159     0.6845      1.108        418        640: 66% ━━━━━━━╸──── 375/563 1.7it/s 2:38<1:49
[K     21/200      6.93G      1.159     0.6843      1.108        594        640: 66% ━━━━━━━━──── 376/563 1.7it/s 2:38<1:51
[K     21/200      6.93G      1.159      0.684      1.108        532        640: 66% ━━━━━━━━──── 377/563 1.7it/s 2:39<1:48
[K     21/200      6.93G      1.159      0.684      1.108        452        640: 67% ━━━━━━━━──── 378/563 1.7it/s 2:40<1:47
[K     21/200      6.93G      1.159     0.6842      1.108        451        640: 67% ━━━━━━━━──── 379/563 1.7it/s 2:40<1:47
[K     21/200      6.93G      1.159     0.6843      1.108        430        640: 67% ━━━━━━━━──── 380/563 1.7it/s 2:41<1:51
[K     21/200      6.93G      1.159     0.6845      1.108        459        640: 67% ━━━━━━━━──── 381/563 1.6it/s 2:41<1:51
[K     21/200      6.93G      1.159     0.6845      1.108        486        640: 67% ━━━━━━━━──── 382/563 1.6it/s 2:42<1:50
[K     21/200      6.93G      1.159     0.6844      1.108        409        640: 68% ━━━━━━━━──── 383/563 1.7it/s 2:43<1:47
[K     21/200      6.93G      1.158     0.6842      1.107        404        640: 68% ━━━━━━━━──── 384/563 1.7it/s 2:43<1:48
[K     21/200      6.93G      1.158     0.6842      1.107        502        640: 68% ━━━━━━━━──── 385/563 1.7it/s 2:44<1:42
[K     21/200      6.93G      1.158     0.6842      1.107        467        640: 68% ━━━━━━━━──── 386/563 1.7it/s 2:44<1:44
[K     21/200      6.93G      1.158      0.684      1.107        486        640: 68% ━━━━━━━━──── 387/563 1.7it/s 2:45<1:41
[K     21/200      6.93G      1.158      0.684      1.107        522        640: 68% ━━━━━━━━──── 388/563 1.7it/s 2:46<1:41
[K     21/200      6.93G      1.159     0.6844      1.108        430        640: 69% ━━━━━━━━──── 389/563 1.8it/s 2:46<1:39
[K     21/200      6.93G      1.159     0.6843      1.108        322        640: 69% ━━━━━━━━──── 390/563 1.7it/s 2:47<1:40
[K     21/200      6.93G      1.159     0.6842      1.108        501        640: 69% ━━━━━━━━──── 391/563 1.7it/s 2:47<1:39
[K     21/200      6.93G      1.159     0.6854      1.108        365        640: 69% ━━━━━━━━──── 392/563 1.8it/s 2:48<1:37
[K     21/200      6.93G      1.159     0.6853      1.108        425        640: 69% ━━━━━━━━──── 393/563 1.8it/s 2:48<1:36
[K     21/200      6.93G      1.159     0.6853      1.108        378        640: 69% ━━━━━━━━──── 394/563 1.8it/s 2:49<1:35
[K     21/200      6.93G      1.158     0.6852      1.108        377        640: 70% ━━━━━━━━──── 395/563 1.8it/s 2:49<1:33
[K     21/200      6.93G      1.159     0.6854      1.108        615        640: 70% ━━━━━━━━──── 396/563 1.8it/s 2:50<1:34
[K     21/200      6.93G      1.159     0.6854      1.108        468        640: 70% ━━━━━━━━──── 397/563 1.8it/s 2:51<1:33
[K     21/200      6.93G      1.159     0.6853      1.108        589        640: 70% ━━━━━━━━──── 398/563 1.7it/s 2:51<1:36
[K     21/200      6.93G      1.159     0.6857      1.108        418        640: 70% ━━━━━━━━╸─── 399/563 1.7it/s 2:52<1:36
[K     21/200      6.93G      1.159     0.6855      1.108        336        640: 71% ━━━━━━━━╸─── 400/563 1.7it/s 2:52<1:38
[K     21/200      6.93G      1.159     0.6858      1.108        364        640: 71% ━━━━━━━━╸─── 401/563 1.7it/s 2:53<1:38
[K     21/200      6.93G      1.159     0.6858      1.108        529        640: 71% ━━━━━━━━╸─── 402/563 1.6it/s 2:54<1:39
[K     21/200      6.93G      1.159     0.6856      1.108        358        640: 71% ━━━━━━━━╸─── 403/563 1.6it/s 2:54<1:39
[K     21/200      6.93G      1.158     0.6853      1.108        462        640: 71% ━━━━━━━━╸─── 404/563 1.7it/s 2:55<1:36
[K     21/200      6.93G      1.158     0.6849      1.107        446        640: 71% ━━━━━━━━╸─── 405/563 1.6it/s 2:56<1:36
[K     21/200      6.93G      1.158     0.6848      1.107        688        640: 72% ━━━━━━━━╸─── 406/563 1.6it/s 2:56<1:37
[K     21/200      6.93G      1.158     0.6848      1.107        498        640: 72% ━━━━━━━━╸─── 407/563 1.6it/s 2:57<1:35
[K     21/200      6.93G      1.157      0.685      1.107        595        640: 72% ━━━━━━━━╸─── 408/563 1.6it/s 2:57<1:34
[K     21/200      6.93G      1.157     0.6848      1.107        569        640: 72% ━━━━━━━━╸─── 409/563 1.6it/s 2:58<1:35
[K     21/200      6.93G      1.157     0.6844      1.107        414        640: 72% ━━━━━━━━╸─── 410/563 1.6it/s 2:59<1:37
[K     21/200      6.93G      1.157     0.6847      1.108        486        640: 73% ━━━━━━━━╸─── 411/563 1.6it/s 2:59<1:36
[K     21/200      6.93G      1.157     0.6844      1.108        552        640: 73% ━━━━━━━━╸─── 412/563 1.6it/s 2:60<1:36
[K     21/200      6.93G      1.157     0.6845      1.108        566        640: 73% ━━━━━━━━╸─── 413/563 1.6it/s 3:01<1:36
[K     21/200      6.93G      1.157     0.6844      1.108        360        640: 73% ━━━━━━━━╸─── 414/563 1.6it/s 3:01<1:34
[K     21/200      6.93G      1.157     0.6842      1.108        392        640: 73% ━━━━━━━━╸─── 415/563 1.6it/s 3:02<1:33
[K     21/200      6.93G      1.157     0.6841      1.108        494        640: 73% ━━━━━━━━╸─── 416/563 1.6it/s 3:02<1:32
[K     21/200      6.93G      1.156      0.684      1.108        362        640: 74% ━━━━━━━━╸─── 417/563 1.6it/s 3:03<1:31
[K     21/200      6.93G      1.156     0.6839      1.108        575        640: 74% ━━━━━━━━╸─── 418/563 1.6it/s 3:04<1:29
[K     21/200      6.93G      1.156      0.684      1.107        634        640: 74% ━━━━━━━━╸─── 419/563 1.6it/s 3:04<1:28
[K     21/200      6.93G      1.156     0.6839      1.107        468        640: 74% ━━━━━━━━╸─── 420/563 1.7it/s 3:05<1:25
[K     21/200      6.93G      1.157     0.6844      1.108        600        640: 74% ━━━━━━━━╸─── 421/563 1.8it/s 3:05<1:17
[K     21/200      6.93G      1.157     0.6844      1.108        394        640: 74% ━━━━━━━━╸─── 422/563 1.8it/s 3:06<1:18
[K     21/200      6.93G      1.157     0.6845      1.108        441        640: 75% ━━━━━━━━━─── 423/563 1.9it/s 3:06<1:16
[K     21/200      6.93G      1.158     0.6848      1.108        537        640: 75% ━━━━━━━━━─── 424/563 1.9it/s 3:07<1:15
[K     21/200      6.93G      1.158     0.6847      1.108        590        640: 75% ━━━━━━━━━─── 425/563 1.9it/s 3:07<1:13
[K     21/200      6.93G      1.158     0.6847      1.108        625        640: 75% ━━━━━━━━━─── 426/563 1.9it/s 3:08<1:14
[K     21/200      6.93G      1.158     0.6846      1.108        565        640: 75% ━━━━━━━━━─── 427/563 2.0it/s 3:08<1:08
[K     21/200      6.93G      1.158     0.6845      1.108        431        640: 76% ━━━━━━━━━─── 428/563 2.1it/s 3:09<1:06
