epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
39,1330.64,2.11349,1.30518,1.11511,0.53038,0.49744,0.50071,0.26736,2.01606,1.18282,1.05905,0.26736,0.00452975,0.00452975,0.00452975
40,1364.17,2.11283,1.30178,1.10764,0.55104,0.5026,0.51328,0.27215,2.0049,1.16456,1.05392,0.27215,0.00451737,0.00451737,0.00451737
41,1396.53,2.09352,1.28646,1.10518,0.54985,0.50114,0.50683,0.2727,2.00526,1.16855,1.05444,0.2727,0.004505,0.004505,0.004505
42,1428.35,2.08572,1.27643,1.09974,0.55646,0.51153,0.51702,0.28017,1.96647,1.14832,1.04193,0.28017,0.00449263,0.00449263,0.00449263
43,1460.85,2.08228,1.26858,1.09753,0.54555,0.51878,0.51864,0.28218,1.96229,1.14052,1.04058,0.28218,0.00448025,0.00448025,0.00448025
44,1494.7,2.07337,1.26405,1.09187,0.55613,0.51406,0.51862,0.28017,1.96671,1.13881,1.04072,0.28017,0.00446788,0.00446788,0.00446788
45,1527.78,2.06158,1.25228,1.09365,0.565,0.52122,0.52854,0.28729,1.94422,1.12522,1.03511,0.28729,0.0044555,0.0044555,0.0044555
46,1561.87,2.05539,1.23955,1.08872,0.57141,0.52754,0.53184,0.28966,1.93213,1.119,1.03197,0.28966,0.00444313,0.00444313,0.00444313
47,1596.86,2.03821,1.238,1.08235,0.56774,0.52923,0.53593,0.29294,1.92286,1.10457,1.03231,0.29294,0.00443075,0.00443075,0.00443075
48,1630.88,2.03512,1.22533,1.08276,0.58178,0.52909,0.53936,0.29669,1.91178,1.09533,1.02504,0.29669,0.00441838,0.00441838,0.00441838
49,1665.27,2.02609,1.21647,1.07829,0.58924,0.52754,0.54092,0.30042,1.89383,1.08637,1.01944,0.30042,0.004406,0.004406,0.004406
50,1700.11,2.01823,1.20211,1.07755,0.58027,0.52864,0.54074,0.30248,1.89812,1.08483,1.02149,0.30248,0.00439362,0.00439362,0.00439362
51,1733.02,2.01842,1.20262,1.07758,0.58436,0.53213,0.54647,0.30627,1.88002,1.07211,1.01646,0.30627,0.00438125,0.00438125,0.00438125
52,1767.06,2.00708,1.2022,1.06981,0.5839,0.53148,0.54586,0.30692,1.8792,1.06548,1.01598,0.30692,0.00436888,0.00436888,0.00436888
53,1800.22,1.98939,1.18032,1.0677,0.58017,0.53656,0.54865,0.30748,1.86934,1.05753,1.01311,0.30748,0.0043565,0.0043565,0.0043565
54,1832.74,1.9983,1.18105,1.06687,0.58205,0.53781,0.54997,0.30939,1.86869,1.05289,1.0121,0.30939,0.00434412,0.00434412,0.00434412
55,1866.07,1.98759,1.18695,1.06136,0.58279,0.54187,0.55273,0.31156,1.85218,1.04627,1.00725,0.31156,0.00433175,0.00433175,0.00433175
56,1900.56,1.97112,1.16574,1.05987,0.59352,0.54419,0.55646,0.31618,1.83622,1.04209,1.00294,0.31618,0.00431938,0.00431938,0.00431938
57,1932.56,1.96079,1.15986,1.05554,0.58701,0.54444,0.55638,0.319,1.82722,1.03643,0.99969,0.319,0.004307,0.004307,0.004307
