epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
21,881.032,2.30893,1.57459,1.16315,0,0,0,0,0,1.18643,0,0,0,0,0,0,0,0,0.4628,0.39447,0.38255,0.18428,2.28033,1.52699,1.12489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18428,0.0047525,0.0047525,0.0047525
22,920.464,2.29729,1.54945,1.15729,0,0,0,0,0,1.17444,0,0,0,0,0,0,0,0,0.48946,0.38204,0.38341,0.18674,2.29123,1.50766,1.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18674,0.00474013,0.00474013,0.00474013
23,961.224,2.28598,1.53859,1.15052,0,0,0,0,0,1.16367,0,0,0,0,0,0,0,0,0.50328,0.4061,0.40621,0.19989,2.24685,1.45004,1.10219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19989,0.00472775,0.00472775,0.00472775
24,1002.78,2.26442,1.50268,1.1448,0,0,0,0,0,1.15058,0,0,0,0,0,0,0,0,0.49459,0.40616,0.40992,0.20261,2.21965,1.4432,1.10676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20261,0.00471537,0.00471537,0.00471537
25,1043.91,2.25291,1.50165,1.14418,0,0,0,0,0,1.15007,0,0,0,0,0,0,0,0,0.50088,0.40511,0.41305,0.20639,2.23097,1.44227,1.10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20639,0.004703,0.004703,0.004703
26,1085.54,2.24295,1.4803,1.13787,0,0,0,0,0,1.13655,0,0,0,0,0,0,0,0,0.52284,0.42351,0.43846,0.22038,2.18314,1.35285,1.0896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22038,0.00469063,0.00469063,0.00469063
27,1127.37,2.23629,1.46911,1.13361,0,0,0,0,0,1.13354,0,0,0,0,0,0,0,0,0.52989,0.40853,0.42993,0.21594,2.20866,1.4065,1.09236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21594,0.00467825,0.00467825,0.00467825
28,1167.25,2.22484,1.46179,1.12633,0,0,0,0,0,1.12653,0,0,0,0,0,0,0,0,0.5297,0.43003,0.44335,0.2215,2.16099,1.38304,1.07834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2215,0.00466587,0.00466587,0.00466587
29,1207.69,2.21658,1.44508,1.12811,0,0,0,0,0,1.11878,0,0,0,0,0,0,0,0,0.53261,0.41322,0.4395,0.22502,2.16035,1.36102,1.08391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22502,0.0046535,0.0046535,0.0046535
30,1248.89,2.19745,1.41854,1.12222,0,0,0,0,0,1.10693,0,0,0,0,0,0,0,0,0.51253,0.44369,0.44888,0.23115,2.15611,1.33278,1.07923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23115,0.00464113,0.00464113,0.00464113
31,1289.5,2.19357,1.41259,1.11646,0,0,0,0,0,1.10634,0,0,0,0,0,0,0,0,0.51257,0.44858,0.45883,0.23531,2.11796,1.31809,1.0706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23531,0.00462875,0.00462875,0.00462875
32,1329.4,2.17337,1.39699,1.11328,0,0,0,0,0,1.0933,0,0,0,0,0,0,0,0,0.57217,0.44619,0.46529,0.24545,2.12828,1.33155,1.07072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24545,0.00461637,0.00461637,0.00461637
33,1370.64,2.16396,1.3788,1.10676,0,0,0,0,0,1.09221,0,0,0,0,0,0,0,0,0.54465,0.47341,0.48428,0.25297,2.10037,1.26961,1.05897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25297,0.004604,0.004604,0.004604
34,1412.05,2.16176,1.37388,1.11045,0,0,0,0,0,1.08526,0,0,0,0,0,0,0,0,0.55938,0.45872,0.4792,0.25172,2.08832,1.28308,1.05629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25172,0.00459163,0.00459163,0.00459163
35,1453.35,2.1417,1.36421,1.10238,0,0,0,0,0,1.07826,0,0,0,0,0,0,0,0,0.53942,0.47653,0.48054,0.25093,2.07797,1.28139,1.05882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25093,0.00457925,0.00457925,0.00457925
36,1494.27,2.1276,1.35201,1.09579,0,0,0,0,0,1.0742,0,0,0,0,0,0,0,0,0.54339,0.47014,0.48603,0.25809,2.05696,1.24462,1.05005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25809,0.00456687,0.00456687,0.00456687
37,1534.72,2.11834,1.33416,1.09342,0,0,0,0,0,1.06637,0,0,0,0,0,0,0,0,0.54755,0.48061,0.49357,0.25868,2.06043,1.2516,1.04734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25868,0.0045545,0.0045545,0.0045545
38,1574.79,2.11889,1.33249,1.09058,0,0,0,0,0,1.06316,0,0,0,0,0,0,0,0,0.55596,0.46856,0.49097,0.26206,2.03327,1.23651,1.04088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26206,0.00454213,0.00454213,0.00454213
39,1616.8,2.10573,1.32131,1.08619,0,0,0,0,0,1.05918,0,0,0,0,0,0,0,0,0.55763,0.48433,0.50366,0.26725,2.02646,1.21744,1.04039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26725,0.00452975,0.00452975,0.00452975
40,1657.79,2.08713,1.30403,1.08174,0,0,0,0,0,1.04877,0,0,0,0,0,0,0,0,0.5394,0.50271,0.50675,0.27113,2.01593,1.20872,1.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27113,0.00451737,0.00451737,0.00451737
41,1698.85,2.08621,1.29505,1.07823,0,0,0,0,0,1.04685,0,0,0,0,0,0,0,0,0.5539,0.4956,0.50785,0.27309,1.99557,1.19551,1.03089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27309,0.004505,0.004505,0.004505
42,1740.67,2.07314,1.28222,1.07774,0,0,0,0,0,1.04375,0,0,0,0,0,0,0,0,0.60111,0.49521,0.51765,0.28155,1.99368,1.17466,1.03015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28155,0.00449263,0.00449263,0.00449263
43,1781.55,2.06423,1.27891,1.07857,0,0,0,0,0,1.03699,0,0,0,0,0,0,0,0,0.57547,0.50168,0.51676,0.27909,2.00461,1.1793,1.02961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27909,0.00448025,0.00448025,0.00448025
44,1822.89,2.05418,1.26949,1.07156,0,0,0,0,0,1.03601,0,0,0,0,0,0,0,0,0.56152,0.50427,0.51469,0.28114,1.98436,1.17492,1.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28114,0.00446788,0.00446788,0.00446788
45,1862.96,2.05861,1.26463,1.06992,0,0,0,0,0,1.02872,0,0,0,0,0,0,0,0,0.55781,0.51215,0.51766,0.28684,1.97747,1.16671,1.02366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28684,0.0044555,0.0044555,0.0044555
46,1904.67,2.04057,1.25493,1.06473,0,0,0,0,0,1.02612,0,0,0,0,0,0,0,0,0.56231,0.51798,0.5287,0.29118,1.95616,1.14751,1.01648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29118,0.00444313,0.00444313,0.00444313
47,1945.35,2.04324,1.25076,1.06519,0,0,0,0,0,1.02071,0,0,0,0,0,0,0,0,0.57274,0.51195,0.5262,0.29074,1.97201,1.15793,1.02191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29074,0.00443075,0.00443075,0.00443075
48,1986.84,2.04194,1.23698,1.06357,0,0,0,0,0,1.01657,0,0,0,0,0,0,0,0,0.59956,0.52183,0.53797,0.29956,1.9415,1.13565,1.01407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29956,0.00441838,0.00441838,0.00441838
49,2028.02,2.02372,1.23087,1.06016,0,0,0,0,0,1.01241,0,0,0,0,0,0,0,0,0.60356,0.518,0.53803,0.29921,1.93791,1.12786,1.01217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29921,0.004406,0.004406,0.004406
50,2069.87,2.01487,1.22632,1.05546,0,0,0,0,0,1.01016,0,0,0,0,0,0,0,0,0.60558,0.51806,0.53531,0.29932,1.93021,1.11852,1.01049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29932,0.00439362,0.00439362,0.00439362
51,2110.35,2.00513,1.20762,1.05532,0,0,0,0,0,1.00624,0,0,0,0,0,0,0,0,0.59858,0.53022,0.54246,0.305,1.90643,1.10874,1.00529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0.00438125,0.00438125,0.00438125
52,2151.74,2.0009,1.20537,1.05143,0,0,0,0,0,1.00047,0,0,0,0,0,0,0,0,0.59387,0.5323,0.54356,0.30528,1.9042,1.10188,1.00412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30528,0.00436888,0.00436888,0.00436888
53,2192,2.00023,1.20459,1.04921,0,0,0,0,0,0.99878,0,0,0,0,0,0,0,0,0.60652,0.52704,0.54733,0.30746,1.89592,1.09283,1.00111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30746,0.0043565,0.0043565,0.0043565
54,2232.36,1.99239,1.19667,1.04484,0,0,0,0,0,0.99312,0,0,0,0,0,0,0,0,0.61565,0.52798,0.54734,0.30812,1.89365,1.09359,1.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30812,0.00434412,0.00434412,0.00434412
55,2272.81,1.97541,1.18292,1.04735,0,0,0,0,0,0.99028,0,0,0,0,0,0,0,0,0.60775,0.53288,0.55208,0.31149,1.87677,1.0839,0.99715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31149,0.00433175,0.00433175,0.00433175
56,2313.48,1.96435,1.17799,1.04251,0,0,0,0,0,0.98605,0,0,0,0,0,0,0,0,0.61908,0.53328,0.55351,0.31332,1.87005,1.07809,0.99538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31332,0.00431938,0.00431938,0.00431938
57,2354.84,1.96634,1.17191,1.03942,0,0,0,0,0,0.98602,0,0,0,0,0,0,0,0,0.61901,0.53847,0.55559,0.31554,1.86324,1.07045,0.99298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31554,0.004307,0.004307,0.004307
58,2395.8,1.95226,1.16695,1.03782,0,0,0,0,0,0.98289,0,0,0,0,0,0,0,0,0.62696,0.53741,0.55684,0.31733,1.85999,1.06872,0.99152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31733,0.00429463,0.00429463,0.00429463
59,2437.47,1.95119,1.15929,1.03582,0,0,0,0,0,0.97692,0,0,0,0,0,0,0,0,0.62602,0.53995,0.55955,0.31957,1.85225,1.06283,0.99002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31957,0.00428225,0.00428225,0.00428225
60,2480.97,1.94282,1.14725,1.03498,0,0,0,0,0,0.9758,0,0,0,0,0,0,0,0,0.62276,0.54165,0.55949,0.32072,1.84865,1.06217,0.98853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32072,0.00426988,0.00426988,0.00426988
61,2522.01,1.93102,1.14479,1.02726,0,0,0,0,0,0.96897,0,0,0,0,0,0,0,0,0.62665,0.53929,0.5599,0.32279,1.84153,1.05454,0.98679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32279,0.0042575,0.0042575,0.0042575
62,2564.64,1.93664,1.14466,1.03042,0,0,0,0,0,0.96739,0,0,0,0,0,0,0,0,0.63094,0.5422,0.56371,0.32396,1.83598,1.04871,0.98542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32396,0.00424513,0.00424513,0.00424513
63,2607.54,1.92211,1.13529,1.0279,0,0,0,0,0,0.96809,0,0,0,0,0,0,0,0,0.62232,0.54393,0.56381,0.32541,1.83157,1.04398,0.98462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32541,0.00423275,0.00423275,0.00423275
64,2648.8,1.91689,1.12933,1.02201,0,0,0,0,0,0.96134,0,0,0,0,0,0,0,0,0.61606,0.54477,0.56558,0.32702,1.8261,1.04154,0.98322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32702,0.00422038,0.00422038,0.00422038
65,2690.02,1.91805,1.1222,1.02136,0,0,0,0,0,0.96033,0,0,0,0,0,0,0,0,0.62502,0.54627,0.56876,0.32863,1.82019,1.03692,0.98178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32863,0.004208,0.004208,0.004208
66,2731.6,1.8968,1.11548,1.02136,0,0,0,0,0,0.95841,0,0,0,0,0,0,0,0,0.62767,0.54774,0.57019,0.33052,1.81246,1.03281,0.9802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33052,0.00419563,0.00419563,0.00419563
67,2772.55,1.89351,1.11091,1.02098,0,0,0,0,0,0.95643,0,0,0,0,0,0,0,0,0.62501,0.55103,0.57077,0.33157,1.80833,1.0317,0.97922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33157,0.00418325,0.00418325,0.00418325
68,2813.5,1.90258,1.10651,1.01908,0,0,0,0,0,0.95143,0,0,0,0,0,0,0,0,0.62865,0.55191,0.57271,0.33213,1.80528,1.02816,0.97814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33213,0.00417088,0.00417088,0.00417088
69,2855.19,1.89139,1.11098,1.01753,0,0,0,0,0,0.95025,0,0,0,0,0,0,0,0,0.62231,0.55387,0.57234,0.33417,1.80187,1.02406,0.97682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33417,0.0041585,0.0041585,0.0041585
70,2896.29,1.88018,1.10403,1.01445,0,0,0,0,0,0.94699,0,0,0,0,0,0,0,0,0.63381,0.55286,0.57273,0.33471,1.79795,1.02069,0.97585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33471,0.00414612,0.00414612,0.00414612
71,2937.58,1.88732,1.09896,1.01394,0,0,0,0,0,0.9437,0,0,0,0,0,0,0,0,0.63116,0.55517,0.57458,0.33604,1.79454,1.01796,0.97504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33604,0.00413375,0.00413375,0.00413375
72,2977.43,1.88003,1.09859,1.0156,0,0,0,0,0,0.94398,0,0,0,0,0,0,0,0,0.63529,0.55516,0.5752,0.33703,1.79258,1.01511,0.97419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33703,0.00412138,0.00412138,0.00412138
73,3018.09,1.86953,1.08232,1.01653,0,0,0,0,0,0.94092,0,0,0,0,0,0,0,0,0.63825,0.55513,0.5759,0.33861,1.78819,1.01155,0.97311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33861,0.004109,0.004109,0.004109
74,3058.7,1.85836,1.0812,1.0098,0,0,0,0,0,0.93866,0,0,0,0,0,0,0,0,0.64147,0.55473,0.57664,0.33905,1.78543,1.00855,0.97236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33905,0.00409662,0.00409662,0.00409662
