epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,156.398,2.84671,3.92865,1.6763,0.56606,0.17618,0.13124,0.04757,2.83253,2.43727,1.4495,0.04757,0.00165942,0.00165942,0.068471
2,286.738,2.77003,2.52727,1.38062,0.25674,0.1824,0.13623,0.04969,2.71475,2.34551,1.36428,0.04969,0.00331785,0.00331785,0.0367961
3,370.031,2.75613,2.30351,1.37015,0.54481,0.17519,0.12693,0.04485,2.81518,2.16863,1.41913,0.04485,0.00496804,0.00496804,0.00511297
4,496.999,2.81725,2.28874,1.40873,0.29991,0.20167,0.1591,0.05798,2.8203,2.1731,1.40963,0.05798,0.00496288,0.00496288,0.00496288
5,528.153,2.72878,2.13043,1.36955,0.34032,0.22998,0.19406,0.07587,2.66141,2.01755,1.28737,0.07587,0.0049505,0.0049505,0.0049505
6,576.288,2.66523,2.04083,1.3407,0.34169,0.26785,0.22861,0.0871,2.67285,1.99917,1.33602,0.0871,0.00493813,0.00493813,0.00493813
7,682.531,2.61821,1.9769,1.32646,0.37031,0.24493,0.24593,0.10064,2.55725,1.88143,1.2747,0.10064,0.00492575,0.00492575,0.00492575
8,805.836,2.5702,1.93376,1.30014,0.42488,0.26893,0.26381,0.11164,2.53963,1.79965,1.24046,0.11164,0.00491338,0.00491338,0.00491338
9,936.085,2.53232,1.86597,1.27574,0.34896,0.23995,0.21781,0.09304,2.59372,2.40106,1.23516,0.09304,0.004901,0.004901,0.004901
10,1063.89,2.50242,1.81388,1.27248,0.4463,0.27413,0.28798,0.12321,2.49522,1.74354,1.23124,0.12321,0.00488863,0.00488863,0.00488863
11,1150.52,2.47722,1.78116,1.25846,0.37746,0.30018,0.2854,0.12864,2.49569,1.85629,1.20669,0.12864,0.00487625,0.00487625,0.00487625
12,1222.98,2.46004,1.76121,1.2495,0.4397,0.32096,0.32114,0.1368,2.41504,1.65649,1.19101,0.1368,0.00486388,0.00486388,0.00486388
13,1253.97,2.43417,1.73425,1.24421,0.44808,0.32009,0.31412,0.13512,2.41728,1.63102,1.18776,0.13512,0.0048515,0.0048515,0.0048515
14,1285.41,2.42511,1.6978,1.22723,0.40727,0.33758,0.3194,0.14211,2.42034,1.91837,1.18869,0.14211,0.00483913,0.00483913,0.00483913
15,1317.93,2.40324,1.66559,1.22162,0.46839,0.30828,0.30305,0.13588,2.41543,1.66939,1.20055,0.13588,0.00482675,0.00482675,0.00482675
16,1350.4,2.3944,1.65468,1.2155,0.4643,0.36025,0.35417,0.16001,2.34386,1.61248,1.1687,0.16001,0.00481438,0.00481438,0.00481438
17,1387.79,2.37585,1.6353,1.20903,0.46045,0.35667,0.35311,0.16436,2.36288,1.57443,1.16991,0.16436,0.004802,0.004802,0.004802
18,1525.97,2.35401,1.61385,1.20008,0.5014,0.34231,0.35537,0.16453,2.34623,1.55094,1.16513,0.16453,0.00478963,0.00478963,0.00478963
19,1560.62,2.34758,1.58235,1.19428,0.43594,0.36921,0.36399,0.16657,2.32629,1.50766,1.16505,0.16657,0.00477725,0.00477725,0.00477725
20,1593.5,2.33526,1.56656,1.18726,0.48377,0.36913,0.38118,0.17803,2.2702,1.45905,1.14603,0.17803,0.00476488,0.00476488,0.00476488
21,1623.97,2.29584,1.54511,1.18207,0.46812,0.36844,0.37344,0.1765,2.27103,1.47057,1.1352,0.1765,0.0047525,0.0047525,0.0047525
22,1656.37,2.28449,1.52919,1.17379,0.4999,0.4103,0.41304,0.19662,2.23471,1.41672,1.13013,0.19662,0.00474013,0.00474013,0.00474013
