200      7.06G      0.949     0.4893     0.9285        461        640: 20% ━━────────── 116/563 9.0it/s 12.8s<49.6s
[K    200/200      7.06G     0.9489     0.4925      0.927        681        640: 31% ━━━╸──────── 175/563 8.2it/s 19.7s<47.4s
[K    200/200      7.06G      0.949     0.4927      0.927        402        640: 31% ━━━╸──────── 176/563 8.3it/s 19.8s<46.4s
[K    200/200      7.06G     0.9488     0.4927      0.927        441        640: 31% ━━━╸──────── 177/563 8.2it/s 19.9s<47.1s
[K    200/200      7.06G     0.9489     0.4928     0.9269        481        640: 31% ━━━╸──────── 178/563 8.5it/s 20.0s<45.3s
[K    200/200      7.06G     0.9487     0.4928     0.9267        402        640: 31% ━━━╸──────── 179/563 8.5it/s 20.1s<45.1s
[K    200/200      7.06G     0.9486     0.4927     0.9267        368        640: 31% ━━━╸──────── 180/563 8.6it/s 20.3s<44.4s
[K    200/200      7.06G     0.9482     0.4926     0.9267        522        640: 32% ━━━╸──────── 181/563 8.3it/s 20.4s<45.8s
[K    200/200      7.06G     0.9484      0.493     0.9267        437        640: 32% ━━━╸──────── 182/563 8.5it/s 20.5s<44.6s
[K    200/200      7.06G     0.9486     0.4931     0.9268        476        640: 32% ━━━╸──────── 183/563 8.6it/s 20.6s<44.2s
[K    200/200      7.06G     0.9485      0.493     0.9266        515        640: 32% ━━━╸──────── 184/563 8.7it/s 20.7s<43.6s
[K    200/200      7.06G     0.9484     0.4928     0.9266        356        640: 32% ━━━╸──────── 185/563 8.3it/s 20.9s<45.3s
[K    200/200      7.06G     0.9489     0.4929     0.9268        462        640: 33% ━━━╸──────── 186/563 8.7it/s 21.0s<43.2s
[K    200/200      7.06G     0.9494     0.4932     0.9268        492        640: 33% ━━━╸──────── 187/563 8.7it/s 21.1s<43.1s
[K    200/200      7.06G     0.9485      0.493     0.9267        294        640: 33% ━━━━──────── 188/563 8.8it/s 21.2s<42.7s
[K    200/200      7.06G     0.9489     0.4933     0.9267        488        640: 33% ━━━━──────── 189/563 8.5it/s 21.3s<44.0s
[K    200/200      7.06G     0.9493     0.4937     0.9269        467        640: 33% ━━━━──────── 190/563 8.0it/s 21.5s<46.8s
[K    200/200      7.06G     0.9492     0.4936     0.9269        427        640: 33% ━━━━──────── 191/563 7.7it/s 21.6s<48.3s
[K    200/200      7.06G     0.9495     0.4937     0.9268        613        640: 34% ━━━━──────── 192/563 7.7it/s 21.7s<48.0s
[K    200/200      7.06G     0.9492     0.4937     0.9266        442        640: 34% ━━━━──────── 193/563 7.6it/s 21.9s<48.6s
[K    200/200      7.06G     0.9497     0.4938     0.9267        462        640: 34% ━━━━──────── 194/563 7.9it/s 22.0s<46.9s
[K    200/200      7.06G     0.9503     0.4942     0.9268        560        640: 34% ━━━━──────── 195/563 7.7it/s 22.1s<47.6s
[K    200/200      7.06G     0.9504     0.4942     0.9268        568        640: 34% ━━━━──────── 196/563 7.6it/s 22.3s<48.1s
[K    200/200      7.06G     0.9505     0.4945     0.9268        461        640: 34% ━━━━──────── 197/563 7.3it/s 22.4s<50.1s
[K    200/200      7.06G     0.9501     0.4942     0.9267        400        640: 35% ━━━━──────── 198/563 7.2it/s 22.6s<50.6s
[K    200/200      7.06G       0.95     0.4942     0.9265        582        640: 35% ━━━━──────── 199/563 6.8it/s 22.7s<53.2s
[K    200/200      7.06G     0.9498      0.494     0.9264        428        640: 35% ━━━━──────── 200/563 7.0it/s 22.9s<51.6s
