dataset,level,status,n_objects,n_both_valid_fg_ring,teacher_ratio_median,student_ratio_median
dronevehicle,P3,both_hit,2505,2500,1.1892099380493164,1.1849048733711243
dronevehicle,P3,teacher_only,360,353,1.180985450744629,1.0295361280441284
dronevehicle,P3,student_only,78,78,1.1267165541648865,1.1511849761009216
dronevehicle,P3,neither,140,140,1.1444543600082397,1.0929864645004272
dronevehicle,P4,both_hit,2505,2471,1.5575224161148071,1.6013610363006592
dronevehicle,P4,teacher_only,360,321,1.5517185926437378,1.1868031024932861
dronevehicle,P4,student_only,78,77,1.4442672729492188,1.6254695653915405
dronevehicle,P4,neither,140,132,1.4447624683380127,1.409304678440094
dronevehicle,P5,both_hit,2505,1888,1.1914483308792114,1.1382922530174255
dronevehicle,P5,teacher_only,360,210,1.2478564977645874,1.2885311841964722
dronevehicle,P5,student_only,78,60,1.483769714832306,1.3528282046318054
dronevehicle,P5,neither,140,94,1.2821913361549377,1.2061683535575867
llvip,P3,both_hit,484,484,1.178630292415619,1.1408896446228027
llvip,P3,teacher_only,107,107,1.2050997018814087,1.0499725341796875
llvip,P3,student_only,22,22,1.0931681394577026,1.1116822957992554
llvip,P3,neither,59,56,1.0979164242744446,1.009702980518341
llvip,P4,both_hit,484,484,1.5476964712142944,1.5082318186759949
llvip,P4,teacher_only,107,107,1.5488784313201904,1.1890474557876587
llvip,P4,student_only,22,22,1.328880786895752,1.433764100074768
llvip,P4,neither,59,54,1.289425551891327,1.0902674198150635
llvip,P5,both_hit,484,476,0.9850659668445587,1.0120478868484497
llvip,P5,teacher_only,107,93,0.9878039956092834,0.974480152130127
llvip,P5,student_only,22,22,0.99827840924263,0.9843191206455231
llvip,P5,neither,59,48,0.9883228838443756,0.9488116502761841
vedai,P3,both_hit,222,222,1.5738306045532227,1.562625229358673
vedai,P3,teacher_only,41,41,1.499678373336792,1.452966332435608
vedai,P3,student_only,31,31,1.4821873903274536,1.5350053310394287
vedai,P3,neither,70,70,1.3455350995063782,1.3284992575645447
vedai,P4,both_hit,222,180,2.443196415901184,2.4863858222961426
vedai,P4,teacher_only,41,36,2.052152395248413,1.8396820425987244
vedai,P4,student_only,31,27,2.1802682876586914,2.2344021797180176
vedai,P4,neither,70,62,1.855061113834381,1.8411595225334167
vedai,P5,both_hit,222,42,1.1153395175933838,1.2588562369346619
vedai,P5,teacher_only,41,8,1.1106286644935608,1.0566451251506805
vedai,P5,student_only,31,7,1.1334903240203857,2.1910269260406494
vedai,P5,neither,70,21,1.0263798236846924,1.0293872356414795
