dataset,id,rgb_gt,ir_gt,class_id,status,label_pair_iou,teacher,student,both_hit_own_gt_iou_delta,rgb_luminance,student_strict_low_correct,student_high_correct_candidate,student_high_wrong_class,student_no_coarse_saved_candidate,level,image_fg_cka_paired,image_fg_cka_donor,image_fg_delta_cka,rgb_fg_tokens,rgb_ring_tokens,rgb_fg_mean_energy,rgb_ring_mean_energy,rgb_fg_over_ring,ir_fg_tokens,ir_ring_tokens,ir_fg_mean_energy,ir_ring_mean_energy,ir_fg_over_ring
dronevehicle,00006,0,0,0,both_hit,1.0,ir,rgb,0.09252766885741703,7.644718647003174,False,True,False,False,P3,0.6913172602653503,0.08447476588189602,0.6068424943834543,24,48,7.185356140136719,6.065018177032471,1.1847212314605713,24,48,7.466058254241943,6.093852996826172,1.225178599357605
dronevehicle,00006,0,0,0,both_hit,1.0,ir,rgb,0.09252766885741703,7.644718647003174,False,True,False,False,P4,0.7240110635757446,0.12099477425217628,0.6030162893235683,8,10,6.452672958374023,4.348987579345703,1.4837183952331543,8,10,6.865887641906738,4.215859413146973,1.6285855770111084
dronevehicle,00006,0,0,0,both_hit,1.0,ir,rgb,0.09252766885741703,7.644718647003174,False,True,False,False,P5,0.5119093656539917,0.4223112940788269,0.0895980715751648,1,2,5.127406120300293,4.001349449157715,1.281419277191162,1,2,6.577266216278076,5.10045051574707,1.2895461320877075
dronevehicle,00006,1,1,0,both_hit,1.0,ir,rgb,0.1063614165241139,7.644718647003174,False,True,False,False,P3,0.6913172602653503,0.08447476588189602,0.6068424943834543,18,32,7.108711242675781,6.1466755867004395,1.1565132141113281,18,32,8.054866790771484,6.034389495849609,1.334827184677124
dronevehicle,00006,1,1,0,both_hit,1.0,ir,rgb,0.1063614165241139,7.644718647003174,False,True,False,False,P4,0.7240110635757446,0.12099477425217628,0.6030162893235683,8,10,6.224025726318359,4.30233097076416,1.4466636180877686,8,10,6.78676700592041,4.148196220397949,1.6360766887664795
dronevehicle,00006,1,1,0,both_hit,1.0,ir,rgb,0.1063614165241139,7.644718647003174,False,True,False,False,P5,0.5119093656539917,0.4223112940788269,0.0895980715751648,1,2,5.850788593292236,4.64509391784668,1.2595630884170532,1,2,10.08181095123291,7.572229385375977,1.3314191102981567
dronevehicle,00006,2,2,0,both_hit,1.0,ir,rgb,-0.015588665904455956,7.644718647003174,False,True,False,False,P3,0.6913172602653503,0.08447476588189602,0.6068424943834543,32,46,6.806369304656982,6.076125621795654,1.1201823949813843,32,46,7.450063705444336,6.041738986968994,1.2330992221832275
dronevehicle,00006,2,2,0,both_hit,1.0,ir,rgb,-0.015588665904455956,7.644718647003174,False,True,False,False,P4,0.7240110635757446,0.12099477425217628,0.6030162893235683,4,14,7.491942405700684,4.626332759857178,1.6194127798080444,4,14,7.64450740814209,4.849380970001221,1.5763882398605347
dronevehicle,00006,2,2,0,both_hit,1.0,ir,rgb,-0.015588665904455956,7.644718647003174,False,True,False,False,P5,0.5119093656539917,0.4223112940788269,0.0895980715751648,1,5,7.158046245574951,6.763160705566406,1.0583877563476562,1,5,10.156737327575684,8.152559280395508,1.245834231376648
dronevehicle,00006,3,3,0,both_hit,1.0,ir,rgb,0.047721161567716885,7.644718647003174,False,True,False,False,P3,0.6913172602653503,0.08447476588189602,0.6068424943834543,28,37,6.918156623840332,6.086410045623779,1.136656403541565,28,37,7.529232025146484,6.04440450668335,1.2456532716751099
dronevehicle,00006,3,3,0,both_hit,1.0,ir,rgb,0.047721161567716885,7.644718647003174,False,True,False,False,P4,0.7240110635757446,0.12099477425217628,0.6030162893235683,8,7,6.41240119934082,4.255480766296387,1.5068570375442505,8,7,6.830101013183594,4.119975566864014,1.6578013896942139
dronevehicle,00006,3,3,0,both_hit,1.0,ir,rgb,0.047721161567716885,7.644718647003174,False,True,False,False,P5,0.5119093656539917,0.4223112940788269,0.0895980715751648,0,6,,7.246487140655518,,0,6,,8.36195182800293,
dronevehicle,00006,4,4,0,both_hit,1.0,ir,rgb,-0.019560483150463215,7.644718647003174,False,True,False,False,P3,0.6913172602653503,0.08447476588189602,0.6068424943834543,28,43,6.978442192077637,6.086276054382324,1.146586537361145,28,43,7.4453301429748535,6.073563098907471,1.2258586883544922
dronevehicle,00006,4,4,0,both_hit,1.0,ir,rgb,-0.019560483150463215,7.644718647003174,False,True,False,False,P4,0.7240110635757446,0.12099477425217628,0.6030162893235683,6,18,6.452746868133545,4.393046855926514,1.468854546546936,6,18,6.864838123321533,4.511444568634033,1.521649718284607
dronevehicle,00006,4,4,0,both_hit,1.0,ir,rgb,-0.019560483150463215,7.644718647003174,False,True,False,False,P5,0.5119093656539917,0.4223112940788269,0.0895980715751648,0,6,,6.8434906005859375,,0,6,,7.568755626678467,
dronevehicle,00006,5,7,0,both_hit,1.0,ir,rgb,0.1988724007267192,7.644718647003174,False,True,False,False,P3,0.6913172602653503,0.08447476588189602,0.6068424943834543,21,34,7.0235137939453125,5.9879608154296875,1.1729391813278198,21,34,7.567966938018799,5.921365261077881,1.2780780792236328
dronevehicle,00006,5,7,0,both_hit,1.0,ir,rgb,0.1988724007267192,7.644718647003174,False,True,False,False,P4,0.7240110635757446,0.12099477425217628,0.6030162893235683,6,12,7.070087432861328,4.197824001312256,1.6842267513275146,6,12,7.031400203704834,4.086923599243164,1.7204627990722656
dronevehicle,00006,5,7,0,both_hit,1.0,ir,rgb,0.1988724007267192,7.644718647003174,False,True,False,False,P5,0.5119093656539917,0.4223112940788269,0.0895980715751648,1,2,6.015740394592285,4.916150093078613,1.2236689329147339,1,2,8.034244537353516,5.947579383850098,1.3508427143096924
dronevehicle,00006,6,8,1,teacher_only,1.0,ir,rgb,,7.644718647003174,False,False,False,False,P3,0.6913172602653503,0.08447476588189602,0.6068424943834543,36,66,6.302826404571533,6.044732570648193,1.0426973104476929,36,66,7.510744094848633,6.165574073791504,1.2181743383407593
dronevehicle,00006,6,8,1,teacher_only,1.0,ir,rgb,,7.644718647003174,False,False,False,False,P4,0.7240110635757446,0.12099477425217628,0.6030162893235683,10,26,6.020644187927246,4.419811248779297,1.3621948957443237,10,26,6.951447486877441,4.0296831130981445,1.7250605821609497
dronevehicle,00006,6,8,1,teacher_only,1.0,ir,rgb,,7.644718647003174,False,False,False,False,P5,0.5119093656539917,0.4223112940788269,0.0895980715751648,3,2,12.541815757751465,5.9131622314453125,2.120999813079834,3,2,10.77886962890625,6.4987945556640625,1.6585952043533325
dronevehicle,00006,7,9,0,both_hit,0.6658878764608241,ir,rgb,0.1494672081160684,7.644718647003174,False,True,False,False,P3,0.6913172602653503,0.08447476588189602,0.6068424943834543,24,41,7.123569488525391,6.099510669708252,1.1678919792175293,24,46,7.813844680786133,6.0146589279174805,1.2991334199905396
dronevehicle,00006,7,9,0,both_hit,0.6658878764608241,ir,rgb,0.1494672081160684,7.644718647003174,False,True,False,False,P4,0.7240110635757446,0.12099477425217628,0.6030162893235683,8,6,6.643128395080566,4.156644821166992,1.5981948375701904,8,4,7.381156921386719,3.7716422080993652,1.9570140838623047
dronevehicle,00006,7,9,0,both_hit,0.6658878764608241,ir,rgb,0.1494672081160684,7.644718647003174,False,True,False,False,P5,0.5119093656539917,0.4223112940788269,0.0895980715751648,2,1,6.984498023986816,7.248233318328857,0.9636138677597046,2,1,12.476336479187012,6.938385963439941,1.7981611490249634
dronevehicle,00006,8,10,0,teacher_only,1.0,ir,rgb,,7.644718647003174,False,False,False,True,P3,0.6913172602653503,0.08447476588189602,0.6068424943834543,32,52,6.820490837097168,6.231733322143555,1.0944772958755493,32,52,7.499642372131348,6.092371463775635,1.2309889793395996
dronevehicle,00006,8,10,0,teacher_only,1.0,ir,rgb,,7.644718647003174,False,False,False,True,P4,0.7240110635757446,0.12099477425217628,0.6030162893235683,4,17,5.81054162979126,4.644629001617432,1.2510238885879517,4,17,7.481276512145996,4.886484622955322,1.531014084815979
dronevehicle,00006,8,10,0,teacher_only,1.0,ir,rgb,,7.644718647003174,False,False,False,True,P5,0.5119093656539917,0.4223112940788269,0.0895980715751648,2,4,7.990649223327637,7.192683219909668,1.1109414100646973,2,4,9.524474143981934,7.586606025695801,1.2554328441619873
dronevehicle,00006,9,11,0,both_hit,1.0,ir,rgb,0.07415798629509229,7.644718647003174,False,True,False,False,P3,0.6913172602653503,0.08447476588189602,0.6068424943834543,32,66,7.059577465057373,6.117332935333252,1.1540286540985107,32,66,7.446130275726318,6.1122002601623535,1.2182406187057495
dronevehicle,00006,9,11,0,both_hit,1.0,ir,rgb,0.07415798629509229,7.644718647003174,False,True,False,False,P4,0.7240110635757446,0.12099477425217628,0.6030162893235683,8,20,6.457958221435547,4.541271686553955,1.422059416770935,8,20,6.591309547424316,4.827314853668213,1.3654193878173828
dronevehicle,00006,9,11,0,both_hit,1.0,ir,rgb,0.07415798629509229,7.644718647003174,False,True,False,False,P5,0.5119093656539917,0.4223112940788269,0.0895980715751648,2,4,5.64493465423584,7.240273952484131,0.7796576023101807,2,4,7.062495708465576,7.379612922668457,0.9570279121398926
dronevehicle,00006,10,13,0,teacher_only,1.0,ir,rgb,,7.644718647003174,True,False,False,False,P3,0.6913172602653503,0.08447476588189602,0.6068424943834543,18,32,6.796006202697754,6.290154933929443,1.0804195404052734,18,32,7.765995502471924,6.034397125244141,1.286954641342163
dronevehicle,00006,10,13,0,teacher_only,1.0,ir,rgb,,7.644718647003174,True,False,False,False,P4,0.7240110635757446,0.12099477425217628,0.6030162893235683,6,4,6.128861904144287,4.383484840393066,1.398171067237854,6,4,6.9985880851745605,4.175332069396973,1.6761752367019653
