dataset,id,n_common_objects,rgb_luminance,teacher_only_fraction,student_only_fraction,teacher_only_strict_low_fraction,both_hit_loc_delta_mean,P3_fg_delta_cka,P3_bg_delta_cka,P4_fg_delta_cka,P4_bg_delta_cka,P5_fg_delta_cka,P5_bg_delta_cka
dronevehicle,00006,18,7.644718647003174,0.3888888888888889,0.0,0.2222222222222222,0.10109839982533639,0.6068424943834543,0.12402826100587845,0.6030162893235683,0.15249223709106446,0.0895980715751648,0.0955599695444107
dronevehicle,00007,23,7.788209915161133,0.13043478260869565,0.0,0.08695652173913043,0.05350035461063511,0.6336646124720573,0.1804994486272335,0.6418756287544966,0.20408549457788466,0.20744353234767915,0.14888750314712523
dronevehicle,00009,12,8.483622550964355,0.25,0.0,0.16666666666666666,0.07734025072112925,0.5048289611935616,0.14613475054502487,0.5033109851181508,0.18076610565185547,0.2127329707145691,0.20512281656265258
dronevehicle,00013,4,20.127901077270508,0.0,0.0,0.0,0.09306081297374144,0.3395043104887009,0.2253090038895607,0.30226311683654783,0.1889447584748268,0.10023341774940492,0.15300030112266538
dronevehicle,00029,11,157.1666717529297,0.0,0.09090909090909091,0.0,-0.008559962479957906,0.40258239284157754,0.27634196132421496,0.4809140577912331,0.21039657443761825,0.3391568958759308,0.2729467421770096
dronevehicle,00032,10,143.8056182861328,0.0,0.2,0.0,-0.026297715635195063,0.6003498807549477,0.14191373363137244,0.5024443089962005,0.16844083666801452,-0.13114813566207884,0.29447220265865326
dronevehicle,00037,20,168.39256286621094,0.0,0.05,0.0,-0.05889447289442765,0.8209181495010853,0.27460038661956787,0.7724619299173355,0.2467408373951912,0.5488580405712128,0.13104252517223358
dronevehicle,00043,1,21.436355590820312,1.0,0.0,1.0,,0.2551133155822754,0.2064275175333023,0.3497622966766357,0.3168282240629196,0.23381890058517452,0.19262415766716004
dronevehicle,00045,1,66.28836059570312,0.0,0.0,0.0,-0.06834766476789556,0.6188497841358185,0.2777338609099388,0.4710993766784668,0.17391320914030076,,0.15506893992424012
dronevehicle,00054,4,76.79243469238281,0.25,0.5,0.0,-0.04019064757972801,0.5953600093722343,0.1646128110587597,0.5710320025682449,0.25004792511463164,0.37348562479019165,0.19811330437660218
dronevehicle,00059,16,86.03336334228516,0.0,0.0,0.0,-0.026076566380674095,0.5878315024077893,0.273972599953413,0.5757122278213501,0.22187264114618302,0.3297139883041382,0.19765531122684477
dronevehicle,00064,7,77.80845642089844,0.0,0.0,0.0,-0.04112029910641678,0.7368330106139183,0.1609935335814953,0.6883053839206695,0.12468875870108605,0.0639040470123291,0.1453805685043335
dronevehicle,00075,1,60.20131301879883,0.0,0.0,0.0,-0.06273819032217609,0.3771715462207794,0.08930106833577156,,0.09826333075761795,,0.17038289904594422
dronevehicle,00078,1,53.34561538696289,0.0,0.0,0.0,0.11472924243472149,0.13606821298599242,0.11788605004549027,0.01494216322898867,0.13405313491821289,,0.13562400341033937
dronevehicle,00129,3,70.97297668457031,0.0,0.3333333333333333,0.0,-0.13850205183457676,0.42856194972991946,0.14727769196033477,0.5095498472452163,0.09062403067946434,0.11976171731948848,0.2142030864953995
dronevehicle,00130,4,63.5345573425293,0.0,0.0,0.0,-0.033391562600743635,0.6200115621089936,0.0829597033560276,0.665523162484169,0.055622775852680204,0.5511904358863831,0.22381972670555117
dronevehicle,00143,7,80.45152282714844,0.0,0.0,0.0,-0.05396977365718447,0.7085306435823441,0.41820402778685095,0.6035785257816315,0.2909186691045761,0.28470843434333803,0.3323041647672653
dronevehicle,00147,9,66.81641387939453,0.2222222222222222,0.0,0.2222222222222222,0.03890044588126298,0.48586360514163973,0.3559438265860081,0.5481623381376266,0.3193133756518364,0.39361358880996705,0.29442708790302274
dronevehicle,00150,4,66.1106948852539,0.0,0.5,0.0,0.03613222562562657,0.6012715056538582,0.5586461555212736,0.5483775734901428,0.43127969577908515,0.3692721605300903,0.2162421554327011
dronevehicle,00172,16,18.5416316986084,0.0625,0.0,0.0625,0.04841355750620386,0.6368154987692833,0.23038024678826333,0.6552099332213401,0.17533790022134782,0.1464224815368652,0.1914906442165375
dronevehicle,00187,26,138.28097534179688,0.038461538461538464,0.0,0.0,-0.0686215329979671,0.5019049026072026,0.32603179588913916,0.44061140939593313,0.30300909131765363,0.3435137450695038,0.10096592903137208
dronevehicle,00209,11,160.15306091308594,0.0,0.09090909090909091,0.0,-0.031462559956259906,0.7486208990216255,0.2251930668950081,0.749006487429142,0.18232751041650772,0.061093133687973034,0.18536282777786256
dronevehicle,00217,3,46.448516845703125,0.0,0.0,0.0,-0.05003024453576773,0.6928605109453201,0.3676865614950657,0.6533790320158005,0.3358491972088814,0.3073955059051514,0.21579324901103974
dronevehicle,00222,8,58.27766418457031,0.0,0.0,0.0,0.020088825088458013,0.7247312098741532,0.2753110483288765,0.7254436761140823,0.24419220983982087,0.2453034996986389,0.3084958612918854
dronevehicle,00259,24,87.8212661743164,0.0,0.0,0.0,0.04578836596651061,0.7279659777879715,0.41391163170337675,0.7453176386654377,0.33632820546627046,0.272376674413681,0.21766150891780855
dronevehicle,00261,25,87.95613861083984,0.0,0.0,0.0,0.038694329151249464,0.7916252829134465,0.42046238407492637,0.7872221007943153,0.31186811327934266,0.389018189907074,0.14521968364715576
dronevehicle,00271,11,111.86688232421875,0.0,0.0,0.0,-0.01657661416291459,0.8834893614053726,0.3141831114888191,0.8255345717072486,0.3252106137573719,0.26209056973457334,0.18673018664121627
dronevehicle,00278,11,115.8993148803711,0.0,0.0,0.0,-0.07685780102241443,0.5738473549485207,0.16331280767917633,0.5469429031014442,0.102756567299366,0.2633431196212769,0.1724651038646698
dronevehicle,00292,5,151.08277893066406,0.0,0.2,0.0,-0.03725660601252467,0.6454628929495811,0.32037242241203784,0.5951120048761368,0.22712449356913567,0.4453026235103607,0.25337574183940886
dronevehicle,00299,1,117.01020050048828,0.0,0.0,0.0,-0.005462709275986688,0.28375946879386904,0.2714417055249214,0.2718657046556473,0.17329863458871841,,0.17334293723106386
dronevehicle,00300,2,141.9233856201172,0.0,0.0,0.0,-0.008048015795702856,0.22573014944791794,0.1651437509804964,0.11769414991140364,0.1942527860403061,,0.2620933294296265
dronevehicle,00307,12,131.817626953125,0.0,0.0,0.0,-0.03476754698934747,0.7642684668302536,0.27824829444289206,0.7490212321281433,0.23109055161476136,0.1280209720134735,0.3198622316122055
dronevehicle,00322,4,151.75482177734375,0.0,0.25,0.0,-0.06078166524621217,0.6118598982691765,0.14995706975460052,0.6087691187858582,0.13496535643935204,0.39307779669761655,0.1531392216682434
dronevehicle,00328,5,78.83445739746094,0.0,0.0,0.0,-0.04724262551066081,0.6444509238004684,0.21475550830364226,0.6008575588464737,0.1864737793803215,0.18533114194869993,0.17491905093193055
dronevehicle,00330,9,91.59119415283203,0.0,0.0,0.0,0.007196858315309015,0.5685281440615654,0.3700750179588795,0.5528438299894333,0.333523029088974,0.14523938894271848,0.17267517149448397
