run,group_type,group,rgb_gt,d1_opportunity,base,selected,selected_per_rgb_gt,selected_per_base,teacher_ce_worse_count,teacher_ce_delta_mean,negative_logit_cosine_count
drone_train,source_group,5-28 (2),158,0,87,0,0.0,0.0,0,,0
drone_train,source_group,5-29,251,9,148,11,0.043824701195219126,0.07432432432432433,0,-0.6267350749535994,0
drone_train,source_group,5-30,672,8,493,9,0.013392857142857142,0.018255578093306288,0,-0.8068854610125223,0
drone_train,source_group,5-30 (2),246,0,116,3,0.012195121951219513,0.02586206896551724,0,-0.8348146875699362,0
drone_train,source_group,5-8,362,0,299,1,0.0027624309392265192,0.0033444816053511705,0,-0.3682745695114136,0
drone_train,source_group,6,3,0,1,0,0.0,0.0,0,,0
drone_train,source_group,6-1 (2),639,0,538,0,0.0,0.0,0,,0
drone_train,source_group,6-1(1),514,0,357,0,0.0,0.0,0,,0
drone_train,source_group,6-10,213,0,152,0,0.0,0.0,0,,0
drone_train,source_group,6-10 (2),111,0,60,0,0.0,0.0,0,,0
drone_train,source_group,6-3,336,1,221,2,0.005952380952380952,0.00904977375565611,0,-0.9741694927215576,0
drone_train,source_group,6-4,425,6,288,9,0.021176470588235293,0.03125,0,-0.5199132694138421,0
drone_train,source_group,6-4 (2),184,1,121,1,0.005434782608695652,0.008264462809917356,0,-0.3342719078063965,0
drone_train,source_group,6-5,628,0,506,0,0.0,0.0,0,,0
drone_train,source_group,6-5 (2),444,0,279,0,0.0,0.0,0,,0
drone_train,source_group,6-5 (3),603,0,468,0,0.0,0.0,0,,0
drone_train,source_group,6-5 (4),194,0,118,0,0.0,0.0,0,,0
drone_train,source_group,6-6,519,0,364,0,0.0,0.0,0,,0
drone_train,source_group,6-6 (2),155,0,132,0,0.0,0.0,0,,0
drone_train,source_group,6-8,189,0,86,0,0.0,0.0,0,,0
drone_train,source_group,6-8 (2),274,1,184,1,0.0036496350364963502,0.005434782608695652,0,-0.5738990306854248,0
drone_train,source_group,6-9,398,0,322,1,0.002512562814070352,0.003105590062111801,0,-0.7724238634109497,0
drone_train,source_group,6-9 (2),282,0,219,0,0.0,0.0,0,,0
drone_train,source_group,9,8,0,3,0,0.0,0.0,0,,0
drone_train,source_group,A,1139,4,938,19,0.016681299385425813,0.02025586353944563,0,-0.7630364769383481,0
drone_train,source_group,B,10161,164,7251,368,0.036216907784666866,0.0507516204661426,6,-0.43882354899593023,0
drone_train,source_group,cheliu2-1,14,0,13,0,0.0,0.0,0,,0
drone_train,source_group,cheliu2-2,15,0,8,0,0.0,0.0,0,,0
drone_train,source_group,cheliu2-3,34,0,19,0,0.0,0.0,0,,0
drone_train,source_group,image,3326,15,2796,47,0.01413108839446783,0.016809728183118742,0,-0.5137933676547193,0
drone_train,source_group,madalA,9,0,3,0,0.0,0.0,0,,0
drone_train,source_group,modalA,2247,2,1243,2,0.0008900756564307966,0.0016090104585679806,0,-0.39989933371543884,0
drone_train,source_group,modelA_1,10,0,5,0,0.0,0.0,0,,0
drone_train,source_group,shibiao,6,0,4,0,0.0,0.0,0,,0
drone_train,source_group,shibiao (2),6,0,4,0,0.0,0.0,0,,0
drone_train,source_group,tupian,196,0,139,0,0.0,0.0,0,,0
drone_train,source_group,zzccvv,68,0,55,0,0.0,0.0,0,,0
drone_train,brightness_proxy_bin,0,15191,201,11723,499,0.032848397077216776,0.042565896101680455,6,-0.49197264185888256,0
drone_train,brightness_proxy_bin,1,7933,37,5803,70,0.008823900163872432,0.012062726176115802,0,-0.44797745474747247,0
drone_train,brightness_proxy_bin,2,8707,21,5919,57,0.006546456873779718,0.00963000506842372,1,-0.3072031825258021,0
drone_train,brightness_proxy_bin,3,100,0,66,0,0.0,0.0,0,,0
drone_val,class,0,2662,50,1867,103,0.038692712246431255,0.05516871987145153,1,-0.6269456833890341,0
drone_val,class,1,81,2,53,3,0.037037037037037035,0.05660377358490566,0,-0.7310477097829183,0
drone_val,class,2,176,2,137,0,0.0,0.0,0,,0
drone_val,class,3,66,1,52,1,0.015151515151515152,0.019230769230769232,0,-0.5779938697814941,0
drone_val,class,4,99,3,68,5,0.050505050505050504,0.07352941176470588,0,-0.7980408668518066,0
drone_val,scale_bin,large,81,0,54,0,0.0,0.0,0,,0
drone_val,scale_bin,medium,2549,48,1822,81,0.031777167516673206,0.04445664105378705,0,-0.750983992844452,0
drone_val,scale_bin,small,454,10,301,31,0.06828193832599119,0.10299003322259136,1,-0.33893688071158623,0
drone_val,luminance_proxy,high,1498,0,1017,3,0.0020026702269692926,0.0029498525073746312,0,-0.2236435612042745,0
drone_val,luminance_proxy,low,1586,58,1160,109,0.06872635561160151,0.0939655172413793,1,-0.6483102388885043,0
drone_val,source_group,unavailable:val,3084,58,2177,112,0.03631647211413749,0.05144694533762058,1,-0.636935238593391,0
drone_val,brightness_proxy_bin,0,1475,58,1099,109,0.07389830508474576,0.09918107370336669,1,-0.6483102388885043,0
drone_val,brightness_proxy_bin,1,549,0,381,1,0.0018214936247723133,0.0026246719160104987,0,-0.4074798822402954,0
drone_val,brightness_proxy_bin,2,1060,0,697,2,0.0018867924528301887,0.0028694404591104736,0,-0.13172540068626404,0
llvip_train,class,0,5592,75,5492,211,0.03773247496423462,0.03841951930080117,4,-0.5051969854752599,1
llvip_train,scale_bin,large,322,4,309,6,0.018633540372670808,0.019417475728155338,0,-1.0278896788756053,0
llvip_train,scale_bin,medium,5242,70,5160,202,0.03853491033956505,0.03914728682170543,4,-0.4846525677655003,1
llvip_train,scale_bin,small,28,1,23,3,0.10714285714285714,0.13043478260869565,0,-0.8431357244650522,0
llvip_train,luminance_proxy,high,643,11,637,31,0.04821150855365474,0.04866562009419152,0,-0.5412191633255251,0
