dataset,split,fixed_stratum,condition_index,dx_input_px,dy_input_px,linf_px,l2_px,fixed_n,teacher_unclamped_support_n,iou_advantage_mean,teacher_minus_native_ce_mean,teacher_ce_better_fraction,kl_t2_mean4_mean,cosine_mean,positive_cosine_fraction_fixed,original_quality_gate_n,original_quality_gate_survived_n,original_quality_gate_survival_fraction,new_quality_gate_members_n,lost_mass_t1_mean4_mean,lost_mass_t2_mean4_mean,conditional_vs_exact_box_max_abs_px_mean,conditional_vs_exact_box_max_abs_px_max
llvip,val,quality_gate070,3,0,1,1,1.0,61,61,0.2598927918111393,-0.9618407860607756,1.0,1.7575521751625507,0.7881695420671467,1.0,61,60,0.9836065573770492,0,2.1729269806577977e-05,0.0001908458052850328,0.002991080666278122,0.11447923529652826
llvip,train,base,4,0,-1,1,1.0,2728,2728,-0.005549820711152665,-0.006335250734518302,0.4527126099706745,0.2051506509811954,0.34292271266168867,0.7899560117302052,23,23,1.0,2,0.0003664956429269782,0.0005726917498066771,0.03644220806281521,0.9637423788282149
llvip,train,n_iou_lt_070,4,0,-1,1,1.0,82,82,0.13184546647590928,-0.44085667447799987,0.8048780487804879,0.7991086374836927,0.5491580340543146,0.8780487804878049,23,23,1.0,2,0.0009404725826643341,0.0011454417386085403,0.08463055462097402,0.8383116207697867
llvip,train,quality_gate070,4,0,-1,1,1.0,23,23,0.22320854853196065,-0.7683598588185937,0.9565217391304348,1.2360672133164605,0.7724899306234158,1.0,23,23,1.0,0,0.0007754644395554319,0.0009664295064680952,0.07951902656504782,0.7473026731751133
llvip,val,base,4,0,-1,1,1.0,548,548,0.03938151548466995,-0.16424621831314706,0.5894160583941606,0.7770061446410437,0.4036154517876491,0.7974452554744526,61,61,1.0,0,0.0003813859416607528,0.0005926397479331542,0.04057805892557674,0.978215537168353
llvip,val,n_iou_lt_070,4,0,-1,1,1.0,199,199,0.14558248635766766,-0.5649812723649392,0.8090452261306532,1.334976141615814,0.5631389983401099,0.8994974874371859,61,61,1.0,0,0.0004903872945185898,0.0007510136381738094,0.05451896224410469,0.978215537168353
llvip,val,quality_gate070,4,0,-1,1,1.0,61,61,0.2584078706910832,-0.9393749840318075,0.9672131147540983,1.6986268052596964,0.7847090827685743,1.0,61,61,1.0,0,0.00046105066459110503,0.0007282485139219239,0.04942215555717749,0.7296556145607838
llvip,train,base,5,1,1,1,1.4142135623730951,2728,2728,-0.01533699787313835,0.00847756108259905,0.34420821114369504,0.22066808374349298,0.30683096471536936,0.7705278592375366,23,22,0.9565217391304348,1,0.0016524508546274404,0.002281775297829843,0.15336071811574406,0.9888945365364634
llvip,train,n_iou_lt_070,5,1,1,1,1.4142135623730951,82,82,0.1274369749196978,-0.45234893650759045,0.8292682926829268,0.8058424868849835,0.5563428370012093,0.9024390243902439,23,22,0.9565217391304348,1,0.0017763530087284904,0.0027295086059480854,0.15269422399029356,0.8894118120835515
llvip,train,quality_gate070,5,1,1,1,1.4142135623730951,23,23,0.22093191962609943,-0.7621337102031337,1.0,1.2389440192035235,0.7745995057509644,1.0,23,22,0.9565217391304348,0,0.0013901144381729,0.002130446744416422,0.147682165910314,0.7422461045840123
