dataset,split,fixed_stratum,condition_index,dx_input_px,dy_input_px,linf_px,l2_px,fixed_n,fixed_images,fixed_source_groups,teacher_unclamped_support_n,teacher_unclamped_support_fraction,perturbed_quality_gate_n,original_quality_gate_n,original_quality_gate_survived_n,original_quality_gate_survival_fraction,new_quality_gate_members_n,teacher_iou_better_n,teacher_iou_better_fraction,teacher_ce_better_n,teacher_ce_better_fraction,positive_cosine_n,cosine_defined_n,positive_cosine_fraction_fixed,positive_cosine_fraction_defined,teacher_rgb_iou_n,teacher_rgb_iou_finite_n,teacher_rgb_iou_nan_n,teacher_rgb_iou_posinf_n,teacher_rgb_iou_neginf_n,teacher_rgb_iou_mean,teacher_rgb_iou_sd_population,teacher_rgb_iou_min,teacher_rgb_iou_max,teacher_rgb_iou_p05,teacher_rgb_iou_p50,teacher_rgb_iou_p95,teacher_rgb_iou_mean_scope,teacher_ir_iou_n,teacher_ir_iou_finite_n,teacher_ir_iou_nan_n,teacher_ir_iou_posinf_n,teacher_ir_iou_neginf_n,teacher_ir_iou_mean,teacher_ir_iou_sd_population,teacher_ir_iou_min,teacher_ir_iou_max,teacher_ir_iou_p05,teacher_ir_iou_p50,teacher_ir_iou_p95,teacher_ir_iou_mean_scope,iou_advantage_n,iou_advantage_finite_n,iou_advantage_nan_n,iou_advantage_posinf_n,iou_advantage_neginf_n,iou_advantage_mean,iou_advantage_sd_population,iou_advantage_min,iou_advantage_max,iou_advantage_p05,iou_advantage_p50,iou_advantage_p95,iou_advantage_mean_scope,native_ce_n,native_ce_finite_n,native_ce_nan_n,native_ce_posinf_n,native_ce_neginf_n,native_ce_mean,native_ce_sd_population,native_ce_min,native_ce_max,native_ce_p05,native_ce_p50,native_ce_p95,native_ce_mean_scope,teacher_ce_n,teacher_ce_finite_n,teacher_ce_nan_n,teacher_ce_posinf_n,teacher_ce_neginf_n,teacher_ce_mean,teacher_ce_sd_population,teacher_ce_min,teacher_ce_max,teacher_ce_p05,teacher_ce_p50,teacher_ce_p95,teacher_ce_mean_scope,teacher_minus_native_ce_n,teacher_minus_native_ce_finite_n,teacher_minus_native_ce_nan_n,teacher_minus_native_ce_posinf_n,teacher_minus_native_ce_neginf_n,teacher_minus_native_ce_mean,teacher_minus_native_ce_sd_population,teacher_minus_native_ce_min,teacher_minus_native_ce_max,teacher_minus_native_ce_p05,teacher_minus_native_ce_p50,teacher_minus_native_ce_p95,teacher_minus_native_ce_mean_scope,kl_t2_mean4_n,kl_t2_mean4_finite_n,kl_t2_mean4_nan_n,kl_t2_mean4_posinf_n,kl_t2_mean4_neginf_n,kl_t2_mean4_mean,kl_t2_mean4_sd_population,kl_t2_mean4_min,kl_t2_mean4_max,kl_t2_mean4_p05,kl_t2_mean4_p50,kl_t2_mean4_p95,kl_t2_mean4_mean_scope,cosine_n,cosine_finite_n,cosine_nan_n,cosine_posinf_n,cosine_neginf_n,cosine_mean,cosine_sd_population,cosine_min,cosine_max,cosine_p05,cosine_p50,cosine_p95,cosine_mean_scope,gradient_dot_n,gradient_dot_finite_n,gradient_dot_nan_n,gradient_dot_posinf_n,gradient_dot_neginf_n,gradient_dot_mean,gradient_dot_sd_population,gradient_dot_min,gradient_dot_max,gradient_dot_p05,gradient_dot_p50,gradient_dot_p95,gradient_dot_mean_scope,kd_gradient_norm_n,kd_gradient_norm_finite_n,kd_gradient_norm_nan_n,kd_gradient_norm_posinf_n,kd_gradient_norm_neginf_n,kd_gradient_norm_mean,kd_gradient_norm_sd_population,kd_gradient_norm_min,kd_gradient_norm_max,kd_gradient_norm_p05,kd_gradient_norm_p50,kd_gradient_norm_p95,kd_gradient_norm_mean_scope,gt_gradient_norm_n,gt_gradient_norm_finite_n,gt_gradient_norm_nan_n,gt_gradient_norm_posinf_n,gt_gradient_norm_neginf_n,gt_gradient_norm_mean,gt_gradient_norm_sd_population,gt_gradient_norm_min,gt_gradient_norm_max,gt_gradient_norm_p05,gt_gradient_norm_p50,gt_gradient_norm_p95,gt_gradient_norm_mean_scope,gradient_norm_ratio_n,gradient_norm_ratio_finite_n,gradient_norm_ratio_nan_n,gradient_norm_ratio_posinf_n,gradient_norm_ratio_neginf_n,gradient_norm_ratio_mean,gradient_norm_ratio_sd_population,gradient_norm_ratio_min,gradient_norm_ratio_max,gradient_norm_ratio_p05,gradient_norm_ratio_p50,gradient_norm_ratio_p95,gradient_norm_ratio_mean_scope,lost_mass_t1_mean4_n,lost_mass_t1_mean4_finite_n,lost_mass_t1_mean4_nan_n,lost_mass_t1_mean4_posinf_n,lost_mass_t1_mean4_neginf_n,lost_mass_t1_mean4_mean,lost_mass_t1_mean4_sd_population,lost_mass_t1_mean4_min,lost_mass_t1_mean4_max,lost_mass_t1_mean4_p05,lost_mass_t1_mean4_p50,lost_mass_t1_mean4_p95,lost_mass_t1_mean4_mean_scope,lost_mass_t1_max_side_n,lost_mass_t1_max_side_finite_n,lost_mass_t1_max_side_nan_n,lost_mass_t1_max_side_posinf_n,lost_mass_t1_max_side_neginf_n,lost_mass_t1_max_side_mean,lost_mass_t1_max_side_sd_population,lost_mass_t1_max_side_min,lost_mass_t1_max_side_max,lost_mass_t1_max_side_p05,lost_mass_t1_max_side_p50,lost_mass_t1_max_side_p95,lost_mass_t1_max_side_mean_scope,lost_mass_t2_mean4_n,lost_mass_t2_mean4_finite_n,lost_mass_t2_mean4_nan_n,lost_mass_t2_mean4_posinf_n,lost_mass_t2_mean4_neginf_n,lost_mass_t2_mean4_mean,lost_mass_t2_mean4_sd_population,lost_mass_t2_mean4_min,lost_mass_t2_mean4_max,lost_mass_t2_mean4_p05,lost_mass_t2_mean4_p50,lost_mass_t2_mean4_p95,lost_mass_t2_mean4_mean_scope,lost_mass_t2_max_side_n,lost_mass_t2_max_side_finite_n,lost_mass_t2_max_side_nan_n,lost_mass_t2_max_side_posinf_n,lost_mass_t2_max_side_neginf_n,lost_mass_t2_max_side_mean,lost_mass_t2_max_side_sd_population,lost_mass_t2_max_side_min,lost_mass_t2_max_side_max,lost_mass_t2_max_side_p05,lost_mass_t2_max_side_p50,lost_mass_t2_max_side_p95,lost_mass_t2_max_side_mean_scope,conditional_vs_exact_box_max_abs_px_n,conditional_vs_exact_box_max_abs_px_finite_n,conditional_vs_exact_box_max_abs_px_nan_n,conditional_vs_exact_box_max_abs_px_posinf_n,conditional_vs_exact_box_max_abs_px_neginf_n,conditional_vs_exact_box_max_abs_px_mean,conditional_vs_exact_box_max_abs_px_sd_population,conditional_vs_exact_box_max_abs_px_min,conditional_vs_exact_box_max_abs_px_max,conditional_vs_exact_box_max_abs_px_p05,conditional_vs_exact_box_max_abs_px_p50,conditional_vs_exact_box_max_abs_px_p95,conditional_vs_exact_box_max_abs_px_mean_scope,conditional_box_rgb_iou_n,conditional_box_rgb_iou_finite_n,conditional_box_rgb_iou_nan_n,conditional_box_rgb_iou_posinf_n,conditional_box_rgb_iou_neginf_n,conditional_box_rgb_iou_mean,conditional_box_rgb_iou_sd_population,conditional_box_rgb_iou_min,conditional_box_rgb_iou_max,conditional_box_rgb_iou_p05,conditional_box_rgb_iou_p50,conditional_box_rgb_iou_p95,conditional_box_rgb_iou_mean_scope
llvip,train,base,0,0,0,0,0.0,2728,1024,14,2728,1.0,23,23,23,1.0,0,1291,0.47324046920821117,1592,0.5835777126099707,2206,2728,0.8086510263929618,0.8086510263929618,2728,2728,0,0,0,0.8814847345414265,0.07928595709981222,0.1523562387402829,0.9942358756797879,0.7305453064878736,0.9002785525370072,0.9674450710382211,all_objects,2728,2728,0,0,0,0.8814847345414265,0.07928595709981222,0.1523562387402829,0.9942358756797879,0.7305453064878736,0.9002785525370072,0.9674450710382211,all_objects,2728,2728,0,0,0,-0.002332673926171332,0.07349020333556999,-0.5376026429240623,0.6274555679180605,-0.10988306215726501,-0.003142508729635396,0.10575581748803307,all_objects,2728,2728,0,0,0,0.680910342085046,0.2595697124979214,0.2307109253492022,5.040649458002111,0.4518092784470714,0.6328195135142862,1.0887949282180818,all_objects,2728,2728,0,0,0,0.6634900960982625,0.2462991525429694,0.21946909161605854,6.5486377894423216,0.438494265475068,0.6200021598314942,1.011072856023532,all_objects,2728,2728,0,0,0,-0.017420245986783527,0.19969077371566746,-3.9012904290905923,1.7029249430950388,-0.2132199944276144,-0.009077307757912101,0.16627286314497738,all_objects,2728,2728,0,0,0,0.20656855551802353,0.29172614608749986,0.0068214056925197265,6.22513878542919,0.0271037455371137,0.12876654899139167,0.6027861996720395,all_objects,2728,2728,0,0,0,0.36826177977101227,0.3951684257690834,-0.8281948934144528,0.9747058321798493,-0.3975238076380859,0.4429136345625124,0.8706307109739542,all_objects,2728,2728,0,0,0,0.007281033578541955,0.014877950772536655,-0.0531159496983479,0.2614411408072225,-0.0041862854045911,0.003585249306169307,0.029395257198885007,all_objects,2728,2728,0,0,0,0.11895855784907705,0.060856635583044154,0.012660584767459527,0.632461169948727,0.04586469740027511,0.10670087484090529,0.22736558972047755,all_objects,2728,2728,0,0,0,0.11792015104802878,0.06826041970271496,0.008174690143492648,0.4789180932973905,0.0373807395573382,0.10251135930739493,0.25759444845412016,all_objects,2728,2728,0,0,0,1.2249359967183793,0.8016934643925243,0.11288701731732255,14.019927352058152,0.4286427627783897,1.0704712356543926,2.4695146830289314,all_objects,2728,2728,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,2728,2728,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,2728,2728,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,2728,2728,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,2728,2728,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,2728,2728,0,0,0,0.8814847345414265,0.07928595709981222,0.1523562387402829,0.9942358756797879,0.7305453064878736,0.9002785525370072,0.9674450710382211,all_objects
llvip,train,n_iou_lt_070,0,0,0,0,0.0,82,73,13,82,1.0,23,23,23,1.0,0,72,0.8780487804878049,65,0.7926829268292683,72,82,0.8780487804878049,0.8780487804878049,82,82,0,0,0,0.7281261138210181,0.13964860982450852,0.1523562387402829,0.9455728400837885,0.5016932618334857,0.7604188757673318,0.9120352909148839,all_objects,82,82,0,0,0,0.7281261138210181,0.13964860982450852,0.1523562387402829,0.9455728400837885,0.5016932618334857,0.7604188757673318,0.9120352909148839,all_objects,82,82,0,0,0,0.13284988673463646,0.1455511689163198,-0.1908227799122693,0.6274555679180605,-0.07022258987407226,0.10548945061186976,0.3431267231629862,all_objects,82,82,0,0,0,1.5334687448175544,0.7647688205918972,0.7929635698187757,5.040649458002111,0.8679013923987137,1.3427683739816638,2.983705990080583,all_objects,82,82,0,0,0,1.1013831711585245,0.7602657560555233,0.4223842164127015,6.5486377894423216,0.5466263425680621,0.894512342035253,1.9473652552959948,all_objects,82,82,0,0,0,-0.4320855736590299,0.7369099342128201,-3.9012904290905923,1.5079883314402105,-1.262490428800555,-0.3622570355249624,0.5375104928004476,all_objects,82,82,0,0,0,0.8144504645295065,0.9752477810721634,0.06002907539944078,6.22513878542919,0.11486813219890801,0.538550670851766,2.2399154883791716,all_objects,82,82,0,0,0,0.5437822411286473,0.35546942773229495,-0.5031301276310765,0.955449385877573,-0.2639275260157216,0.6593975761960562,0.9113147099760367,all_objects,82,82,0,0,0,0.0478872590239027,0.050933838407243824,-0.02740191128007302,0.2614411408072225,-0.009516703896755406,0.035810969903236296,0.12851382097715708,all_objects,82,82,0,0,0,0.23231781523406078,0.11267506457722627,0.0715434682133829,0.632461169948727,0.09543189928181615,0.2072428634723102,0.41617594002915714,all_objects,82,82,0,0,0,0.2950183611650579,0.06983477943464111,0.16377375305143124,0.4789180932973905,0.18642605757071218,0.2860288092526103,0.42894910378168877,all_objects,82,82,0,0,0,0.7916312583655436,0.3283936877258037,0.25534378049143297,1.5438684617165557,0.32026891546117575,0.7229032491805338,1.393370490815051,all_objects,82,82,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,82,82,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,82,82,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,82,82,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,82,82,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,82,82,0,0,0,0.7281261138210181,0.13964860982450852,0.1523562387402829,0.9455728400837885,0.5016932618334857,0.7604188757673318,0.9120352909148839,all_objects
llvip,train,quality_gate070,0,0,0,0,0.0,23,22,10,23,1.0,23,23,23,1.0,0,23,1.0,22,0.9565217391304348,23,23,1.0,1.0,23,23,0,0,0,0.8040547438564228,0.08590634800531695,0.6268572073851029,0.9455728400837885,0.6426029715561464,0.7833902039328715,0.9431984180457023,all_objects,23,23,0,0,0,0.8040547438564228,0.08590634800531695,0.6268572073851029,0.9455728400837885,0.6426029715561464,0.7833902039328715,0.9431984180457023,all_objects,23,23,0,0,0,0.22221580310077768,0.1454124587369835,0.053274715483655144,0.6274555679180605,0.0641628386465275,0.19364193769344595,0.5166219100451329,all_objects,23,23,0,0,0,1.5602295811012972,0.8675419100842646,0.8444079983662671,4.737907360616081,0.875755745307193,1.3016217418434377,3.364608434650706,all_objects,23,23,0,0,0,0.7993784737280593,0.22870649846872382,0.5123302183001519,1.5780458025606439,0.5364410043868204,0.7337633663943238,1.198196045268047,all_objects,23,23,0,0,0,-0.760851107373238,0.8792634411965267,-3.9012904290905923,0.014895031663481495,-2.6080999046712514,-0.5970430912980002,-0.03240123969549984,all_objects,23,23,0,0,0,1.2579783122538788,1.5146249577436157,0.0712298382289638,6.22513878542919,0.19434771314143554,0.778399620303091,4.93816204895485,all_objects,23,23,0,0,0,0.7624319641238435,0.16914597218894292,0.40107026765133563,0.955449385877573,0.4312244255318114,0.8301810750219195,0.9443458515125536,all_objects,23,23,0,0,0,0.07503538319729523,0.06292553821091913,0.014022631900573786,0.2614411408072225,0.017451848892304025,0.053351627944237166,0.2273041764566869,all_objects,23,23,0,0,0,0.29182101090210893,0.1331001919097331,0.09399038429591301,0.632461169948727,0.13716373313668895,0.2578709500652177,0.5858262049577403,all_objects,23,23,0,0,0,0.2922976272256671,0.07049322033650486,0.16377375305143124,0.4532843179158149,0.19155322538519948,0.2780635786057447,0.4231893324850266,all_objects,23,23,0,0,0,0.9872378563155779,0.3131850863084384,0.45911804727315236,1.408948711782854,0.498423377427858,1.0633381313290236,1.3969859839180314,all_objects,23,23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,23,23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,23,23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,23,23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,23,23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,23,23,0,0,0,0.8040547438564228,0.08590634800531695,0.6268572073851029,0.9455728400837885,0.6426029715561464,0.7833902039328715,0.9431984180457023,all_objects
llvip,val,base,0,0,0,0,0.0,548,196,5,548,1.0,61,61,61,1.0,0,311,0.5675182481751825,335,0.6113138686131386,434,548,0.791970802919708,0.791970802919708,548,548,0,0,0,0.7676460573208522,0.13421512450777304,0.09269231977175821,0.9796382550299093,0.5106561715680635,0.7896524793682905,0.9358468825913908,all_objects,548,548,0,0,0,0.7676460573208522,0.13421512450777304,0.09269231977175821,0.9796382550299093,0.5106561715680635,0.7896524793682905,0.9358468825913908,all_objects,548,548,0,0,0,0.04116323182142807,0.15508302609671115,-0.48316547944615024,0.5684135336836198,-0.1780148798024614,0.021649759180238592,0.34788839040418473,all_objects,548,548,0,0,0,1.1296532567372595,0.6875356714472393,0.3527060457076785,5.001997555456926,0.535784429351183,0.9031641937197016,2.495684714640167,all_objects,548,548,0,0,0,0.9737552894161773,0.5903019222820617,0.3333937963806957,5.743750926716394,0.4998787332949084,0.7895362088308884,2.0808468295894875,all_objects,548,548,0,0,0,-0.15589796732108194,0.6834787775241781,-3.882544271125133,3.4741451604325024,-1.2300167936367996,-0.06248376311528395,0.6120001805458695,all_objects,548,548,0,0,0,0.8042054077872683,1.0434905995701855,0.02746238407569526,8.993409194768393,0.08338668432298506,0.4528061931291846,2.6261015752429517,all_objects,548,548,0,0,0,0.40631273010635316,0.4157241096444429,-0.7874480761037534,0.9636398036494007,-0.3805621772576237,0.517973086779508,0.9048493367874259,all_objects,548,548,0,0,0,0.03134879591117875,0.04586434473140951,-0.047597681437219964,0.2837158507629781,-0.01098279057500416,0.014741165338476804,0.12006575811103957,all_objects,548,548,0,0,0,0.23068243217218365,0.11547209726518509,0.04049672429112363,0.6807902516151868,0.0832159540912126,0.20542362959388083,0.4551946183196918,all_objects,548,548,0,0,0,0.22094331233387587,0.09853059840946579,0.03175749632088304,0.5018531537460809,0.08393298169206632,0.21053633216692952,0.3973736483626606,all_objects,548,548,0,0,0,1.1660335873519423,0.5925323443389942,0.19465021284815523,5.563053994160837,0.4053262762995423,1.10158756953417,2.257405099423221,all_objects,548,548,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,548,548,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,548,548,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,548,548,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,548,548,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,548,548,0,0,0,0.7676460573208522,0.13421512450777304,0.09269231977175821,0.9796382550299093,0.5106561715680635,0.7896524793682905,0.9358468825913908,all_objects
llvip,val,n_iou_lt_070,0,0,0,0,0.0,199,109,5,199,1.0,61,61,61,1.0,0,156,0.7839195979899497,160,0.8040201005025126,176,199,0.8844221105527639,0.8844221105527639,199,199,0,0,0,0.7076812921441968,0.16220496134123538,0.09269231977175821,0.9759079819193804,0.4273598637487151,0.7346162207088377,0.9146811867617033,all_objects,199,199,0,0,0,0.7076812921441968,0.16220496134123538,0.09269231977175821,0.9759079819193804,0.4273598637487151,0.7346162207088377,0.9146811867617033,all_objects,199,199,0,0,0,0.14629329977686598,0.17423092008298355,-0.4638613609350374,0.5684135336836198,-0.0871982059202447,0.14057492605033417,0.4211307401191402,all_objects,199,199,0,0,0,1.7359173322976793,0.7979102861211226,0.7802346682423353,5.001997555456926,0.8758429577319732,1.5544592925965315,3.357660916473895,all_objects,199,199,0,0,0,1.1974491962378941,0.7578480640499073,0.3333937963806957,5.743750926716394,0.5334009380616487,0.9851100471652542,2.7871875800228465,all_objects,199,199,0,0,0,-0.5384681360597853,0.8970422212736175,-3.882544271125133,2.5859939653165025,-2.1102537869698206,-0.4888660747211431,0.6047020827581782,all_objects,199,199,0,0,0,1.3792449510457245,1.3781221215486448,0.04004591604621775,8.993409194768393,0.1510475623414515,0.9889010566146079,4.117228855685351,all_objects,199,199,0,0,0,0.5544913931599923,0.37303958869923687,-0.7338289442679967,0.9496297768134653,-0.26138968799329343,0.6832043876662375,0.9301061028678832,all_objects,199,199,0,0,0,0.06461480476454584,0.05859899764024652,-0.047597681437219964,0.2837158507629781,-0.010693508469085063,0.056361872589888874,0.17546889359118373,all_objects,199,199,0,0,0,0.3021437060458265,0.13064204784825292,0.062322616591881486,0.6807902516151868,0.11857908908397671,0.29398021674534436,0.5149881319290301,all_objects,199,199,0,0,0,0.31668331667712996,0.06760143215060646,0.14747383833816738,0.5018531537460809,0.20423323313350353,0.3193137834123681,0.42770397153223966,all_objects,199,199,0,0,0,0.9608275193695541,0.37110023472924425,0.26895758384391116,1.968290079414538,0.35639660140330537,0.9644435405786805,1.5268565154710558,all_objects,199,199,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,199,199,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,199,199,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,199,199,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,199,199,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,199,199,0,0,0,0.7076812921441968,0.16220496134123538,0.09269231977175821,0.9759079819193804,0.4273598637487151,0.7346162207088377,0.9146811867617033,all_objects
llvip,val,quality_gate070,0,0,0,0,0.0,61,49,5,61,1.0,61,61,61,1.0,0,61,1.0,61,1.0,61,61,1.0,1.0,61,61,0,0,0,0.8098050248043989,0.0912461325181121,0.6037502610411088,0.9759079819193804,0.6483364646123067,0.82255766569166,0.9457156639731035,all_objects,61,61,0,0,0,0.8098050248043989,0.0912461325181121,0.6037502610411088,0.9759079819193804,0.6483364646123067,0.82255766569166,0.9457156639731035,all_objects,61,61,0,0,0,0.262153576063167,0.1242262501277571,0.05453191712823635,0.5567909903421778,0.09784203474211495,0.22176587160932693,0.4926448634282487,all_objects,61,61,0,0,0,1.738786075620742,0.8104125587372356,0.7802346682423353,5.001997555456926,0.8676732916761339,1.5549755958521454,3.138343399318902,all_objects,61,61,0,0,0,0.793332949031223,0.2946142062850949,0.38656640636637796,1.928202242719508,0.51668515474114,0.6880121807227912,1.209394249457172,all_objects,61,61,0,0,0,-0.9454531265895191,0.7626303086968609,-3.882544271125133,-0.0003946105039076553,-2.2322268924661053,-0.7117605293760856,-0.13356926278212344,all_objects,61,61,0,0,0,1.758663887002221,1.318724886917859,0.20532020503174153,6.6832491233092535,0.4338384828426595,1.224265425692054,4.315966480408633,all_objects,61,61,0,0,0,0.7849866146928555,0.15463623841841181,0.27498194796409264,0.9496297768134653,0.46543587357470845,0.8412914659055952,0.9355973590745227,all_objects,61,61,0,0,0,0.09754837926807881,0.0568194924334651,0.012933541772641065,0.2837158507629781,0.024255195046896383,0.08055484309442396,0.2050677465639933,all_objects,61,61,0,0,0,0.3651646071026894,0.11388101911403815,0.1486055840292323,0.6807902516151868,0.17533456760387928,0.34966237822385365,0.5818634273316063,all_objects,61,61,0,0,0,0.3148805214932809,0.06928139479603594,0.1705275573051086,0.5018531537460809,0.20442780651278783,0.31562101135508197,0.41631816797676113,all_objects,61,61,0,0,0,1.166773700664646,0.2801238941463129,0.6192827859063036,1.7102007890380926,0.6791771613933762,1.189753613462391,1.5198815923924807,all_objects,61,61,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,61,61,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,61,61,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,61,61,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,61,61,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_objects,61,61,0,0,0,0.8098050248043989,0.0912461325181121,0.6037502610411088,0.9759079819193804,0.6483364646123067,0.82255766569166,0.9457156639731035,all_objects
llvip,train,base,1,1,0,1,1.0,2728,1024,14,2728,1.0,24,23,23,1.0,1,1131,0.4145894428152493,1249,0.45784457478005863,2172,2728,0.7961876832844574,0.7961876832844574,2728,2728,0,0,0,0.8724897521783086,0.07909591947074421,0.16623465115327957,0.991995177042327,0.7227658711444007,0.8915315520268299,0.9605959281409895,all_objects,2728,2728,0,0,0,0.8724897521783086,0.07909591947074421,0.16623465115327957,0.991995177042327,0.7227658711444007,0.8915315520268299,0.9605959281409895,all_objects,2728,2728,0,0,0,-0.011327656289289119,0.07592663131747904,-0.5654707174260837,0.6660089584129341,-0.12344604678976015,-0.0112612981995458,0.10011054971843673,all_objects,2728,2728,0,0,0,0.680910342085046,0.2595697124979214,0.2307109253492022,5.040649458002111,0.4518092784470714,0.6328195135142862,1.0887949282180818,all_objects,2728,2728,0,0,0,0.6759784845437625,0.2354885994102725,0.23987649439100986,5.893174050531048,0.45614937564368846,0.633430046421917,1.0251958733412485,all_objects,2728,2728,0,0,0,-0.0049318575412834464,0.19591675929118793,-3.9330050770977034,1.6732857814806479,-0.2038571688407531,0.0053022798281658345,0.172805786081472,all_objects,2728,2728,0,0,0,0.21493601261920653,0.29011697526079006,0.012345795157362723,6.32415209193431,0.03792013173971403,0.13622085351313246,0.6063728328250306,all_objects,2728,2728,0,0,0,0.3370045038905355,0.39223129172237753,-0.7952926144038377,0.9723143848848285,-0.401948494618786,0.40971690496531793,0.8634617915823073,all_objects,2728,2728,0,0,0,0.006897588781218729,0.014615667369439698,-0.05295426035325014,0.2618056144661745,-0.0042090137156582386,0.0032297935082266213,0.02868812954645849,all_objects,2728,2728,0,0,0,0.11860685991483447,0.059591049949880584,0.019517697978483087,0.6315536862056387,0.047370820864502006,0.10612134563867201,0.22487657137353748,all_objects,2728,2728,0,0,0,0.11792015104802878,0.06826041970271496,0.008174690143492648,0.4789180932973905,0.0373807395573382,0.10251135930739493,0.25759444845412016,all_objects,2728,2728,0,0,0,1.2299399052384419,0.8128960523937905,0.15320365720789653,14.079321190960998,0.43806035354756884,1.0639786605392243,2.4869456448571796,all_objects,2728,2728,0,0,0,0.001442657909702845,0.0028498661424974513,9.726513638777352e-09,0.01607248703316465,5.361612211695192e-07,2.149953871475273e-05,0.008238281986217753,all_objects,2728,2728,0,0,0,0.0057697660167560375,0.011399402185650555,2.087911843055942e-08,0.06428090497375262,1.9908169661302415e-06,8.472577331649337e-05,0.03295293940583004,all_objects,2728,2728,0,0,0,0.0018983148394734939,0.0026711770391883894,1.1811390195357349e-05,0.015111257005944826,7.247890309254109e-05,0.000433521508795865,0.007718439196793551,all_objects,2728,2728,0,0,0,0.007481279748588594,0.010672951252317849,2.4670453607671206e-05,0.05987242547014363,0.00023672473937889663,0.0015801393665133027,0.030795059914893404,all_objects,2728,2728,0,0,0,0.13902135988012126,0.2530404677028156,5.150561548816768e-06,0.9888945365364634,0.00011572918676563403,0.0031518742286209545,0.7576487441409171,all_objects,2728,2728,0,0,0,0.873826590040142,0.07865496222092479,0.1662286393736601,0.9920670272994773,0.725724863828477,0.8930334458327998,0.9606621722756377,all_objects
