endpoint,threshold,AP,Cls,Loc,Both,Dupe,Bkg,Miss,FalsePos,FalseNeg
N_s0,0.5,76.77070078999334,10.472469992395958,1.7457054119477107,0.22138727245594225,0.2323788855439659,1.4506013474296537,1.5446119436669932,17.486724952580914,4.029928389080553
N_s0,0.75,63.81923085055706,6.322097747427975,14.653019047234864,0.7067062925393941,0.006376163921586908,0.98038937215658,1.702536001238002,16.972848357363745,14.074162542940087
C0_s0,0.5,76.75357223619653,10.498448043818982,1.9363541753318572,0.22386834449019943,0.2595274806369332,1.364722688819512,1.4866239009364364,16.513754496476736,4.801157324326283
C0_s0,0.75,64.05588441945902,6.355524892451584,14.56670344056586,0.6766445035231499,0.008096834807659548,0.9103545881661574,1.9804979025349212,15.944115580540995,14.807609398226688
N_s42,0.5,76.96429271176221,10.064580862681908,1.6733617908634386,0.21084543644988685,0.2563647329403267,1.418448450909338,1.8610433669305309,16.69907362487146,4.51344781574268
N_s42,0.75,64.05739162513188,5.782101864446105,14.587818521786346,0.7382597538431241,0.0112479603428568,0.9757632037012485,2.2248346126443437,16.536667780808727,14.33277729880308
C0_s42,0.5,76.87446209343071,10.301857488096346,1.7330786390087383,0.24083228866790307,0.2634698291274731,1.3395327161993862,1.5166649512434986,17.382963649143548,4.015275396609155
C0_s42,0.75,63.72526103088759,6.183047036968453,14.74579043302284,0.7603449857911713,0.010034024271639908,0.9082832767061788,1.6726382319073494,17.06681817703322,14.327853109845826
N_s123,0.5,76.72323339009026,10.541922371445693,1.7430091101691119,0.191760090705543,0.21167045747399982,1.370002716063425,1.7921684958849369,16.9401329465434,4.44024069179018
N_s123,0.75,63.56881293133633,6.551584324054467,14.80535537004905,0.6677481332348449,0.006175522650856635,0.9277971720978329,1.9103164343791192,16.827226672624086,14.378626075697532
C0_s123,0.5,77.06771747341294,10.736870868800523,1.7524907446618414,0.17443957573432556,0.250859778191483,1.397568695309431,1.5365611114636408,16.793668665200926,4.464397739254039
C0_s123,0.75,64.09586327732016,6.595613274079966,14.617125683742046,0.6251123603538815,0.007964226140430242,0.9178749943433644,1.9199941995212697,16.300176326640255,14.733901758635213
