epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_lld,train/kd_ccl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kd_lld,val/kd_ccl,lr/pg0,lr/pg1,lr/pg2
1,394.517,1.39904,1.66611,1.25468,4e-05,0.6906,0,0,0,0,0,0,0,0,0,0.00332741,0.00332741,0.0700533
2,773.861,1.32231,1.03456,1.19717,3e-05,0.69051,0,0,0,0,0,0,0,0,0,0.00662778,0.00662778,0.0400203
3,1140.41,1.33245,0.99803,1.19407,3e-05,0.69094,0,0,0,0,0,0,0,0,0,0.00989514,0.00989514,0.00995434
4,1493.57,1.32441,0.96894,1.19839,3e-05,0.69074,0,0,0,0,0,0,0,0,0,0.0098515,0.0098515,0.0098515
5,1851.45,1.29014,0.89509,1.17543,3e-05,0.6909,0,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
6,2201.51,1.2652,0.85556,1.16336,3e-05,0.69074,0,0,0,0,0,0,0,0,0,0.0097525,0.0097525,0.0097525
7,2894.64,1.24558,0.826,1.15373,3e-05,0.6907,0,0,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
8,3572.02,1.23761,0.80203,1.14815,3e-05,0.69055,0,0,0,0,0,0,0,0,0,0.0096535,0.0096535,0.0096535
9,4016.84,1.22649,0.78199,1.14535,3e-05,0.69063,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
10,4342.25,1.21192,0.76784,1.13765,2e-05,0.69113,0,0,0,0,0,0,0,0,0,0.0095545,0.0095545,0.0095545
11,4635.17,1.20336,0.75364,1.1315,2e-05,0.69105,0,0,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
12,4871.17,1.19805,0.73925,1.12518,2e-05,0.69063,0,0,0,0,0,0,0,0,0,0.0094555,0.0094555,0.0094555
13,5106.67,1.19505,0.7378,1.12444,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
14,5354.55,1.18464,0.72552,1.11962,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.0093565,0.0093565,0.0093565
15,5627.17,1.17762,0.71431,1.11779,2e-05,0.69105,0,0,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
16,5863.12,1.173,0.70664,1.11492,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.0092575,0.0092575,0.0092575
17,6095.03,1.16624,0.69955,1.11105,2e-05,0.69101,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
18,6327.74,1.16417,0.69549,1.10812,2e-05,0.69086,0,0,0,0,0,0,0,0,0,0.0091585,0.0091585,0.0091585
19,6557.6,1.1599,0.69047,1.11002,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
20,6787.03,1.15852,0.68565,1.10732,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.0090595,0.0090595,0.0090595
21,7016.17,1.15493,0.68201,1.1054,2e-05,0.69051,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
22,7245.13,1.14887,0.67247,1.10311,2e-05,0.69051,0,0,0,0,0,0,0,0,0,0.0089605,0.0089605,0.0089605
23,7473.95,1.14656,0.67023,1.10023,2e-05,0.69105,0,0,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
24,7702.19,1.14543,0.66703,1.0991,2e-05,0.69009,0,0,0,0,0,0,0,0,0,0.0088615,0.0088615,0.0088615
25,7931.46,1.13948,0.66492,1.0961,2e-05,0.69051,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
26,8161.74,1.13888,0.6589,1.09637,2e-05,0.69063,0,0,0,0,0,0,0,0,0,0.0087625,0.0087625,0.0087625
27,8390.98,1.13249,0.65507,1.09542,2e-05,0.69032,0,0,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
28,8620.7,1.13244,0.65354,1.09202,2e-05,0.6907,0,0,0,0,0,0,0,0,0,0.0086635,0.0086635,0.0086635
29,8850.9,1.13014,0.65035,1.09457,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
30,9082.77,1.1311,0.64567,1.09178,2e-05,0.69024,0,0,0,0,0,0,0,0,0,0.0085645,0.0085645,0.0085645
31,9445.72,1.12644,0.64455,1.09051,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
32,9786.51,1.12378,0.64028,1.08885,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.0084655,0.0084655,0.0084655
33,10021.4,1.12006,0.63823,1.0864,2e-05,0.69039,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
34,10270.5,1.11941,0.63587,1.08466,2e-05,0.69028,0,0,0,0,0,0,0,0,0,0.0083665,0.0083665,0.0083665
35,10558.4,1.11787,0.6324,1.08681,2e-05,0.69066,0,0,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
36,10791.5,1.11632,0.63165,1.08529,2e-05,0.69032,0,0,0,0,0,0,0,0,0,0.0082675,0.0082675,0.0082675
37,11023.2,1.11583,0.63247,1.08538,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
38,11302.8,1.11049,0.62638,1.08165,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.0081685,0.0081685,0.0081685
39,11587.9,1.11047,0.62468,1.07945,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
40,11833.4,1.11227,0.62415,1.08541,2e-05,0.69074,0,0,0,0,0,0,0,0,0,0.0080695,0.0080695,0.0080695
41,12068.8,1.10847,0.62301,1.07998,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
42,12307.5,1.10724,0.62084,1.07918,2e-05,0.69063,0,0,0,0,0,0,0,0,0,0.0079705,0.0079705,0.0079705
43,12543.8,1.10593,0.61894,1.07676,2e-05,0.69039,0,0,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
44,12780.1,1.10417,0.6161,1.07848,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.0078715,0.0078715,0.0078715
45,13016.2,1.10124,0.61471,1.07538,2e-05,0.69035,0,0,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
